"ID";"trials_runs.thisN";"secondStim";"trials_runs.visual_stim_left";"trials_runs.visual_stim_right";"trials_runs.correctKey";"trials_runs.presentationFrequncy";"response_runs.keys";"response_runs.rt";"trials_runs.correct_answer";"trials_runs.feedback_given";"session";"tsDifficulty";"prob.Feedback";"totalAccuracy";"totalError";"outlier200ms";"outlierSD";"omission";"validTrials";"modality";"stimType";"logfile"
"CBC_1027";"15";"2";"3";"1";"z";"27";"z";"2,32547079999858397";"1";"1";"3";"hard";"0,95";"0,562500000000000";"0,4375000000000000";"0";"0";"0";"1";"av";"env";"CBC_1027_MSI_AV_v3_Vset6_Aset2_2023-07-21_17h56.54.977.csv"
"CBC_1027";"16";"1";"2";"3";"b";"63";"b";"1,56240719999550493";"1";"1";"3";"hard";"0,95";"0,588235294117647";"0,4117647058823529";"0";"0";"0";"1";"av";"env";"CBC_1027_MSI_AV_v3_Vset6_Aset2_2023-07-21_17h56.54.977.csv"
"CBC_1027";"17";"3";"3";"2";"b";"63";"b";"1,34913479999886476";"1";"0";"3";"hard";"0,95";"0,611111111111111";"0,3888888888888888";"0";"0";"0";"1";"av";"env";"CBC_1027_MSI_AV_v3_Vset6_Aset2_2023-07-21_17h56.54.977.csv"
"CBC_1027";"18";"2";"0";"1";"z";"63";"z";"3,09766349999699742";"1";"1";"3";"hard";"0,95";"0,631578947368421";"0,3684210526315790";"0";"0";"0";"1";"av";"env";"CBC_1027_MSI_AV_v3_Vset6_Aset2_2023-07-21_17h56.54.977.csv"
"CBC_1027";"19";"0";"0";"2";"b";"27";"b";"1,48560359999828506";"1";"1";"3";"hard";"0,95";"0,650000000000000";"0,3500000000000000";"0";"0";"0";"1";"av";"env";"CBC_1027_MSI_AV_v3_Vset6_Aset2_2023-07-21_17h56.54.977.csv"
"CBC_1027";"20";"3";"3";"0";"b";"9";"b";"1,47691279999708058";"1";"1";"3";"hard";"0,95";"0,666666666666667";"0,3333333333333334";"0";"0";"0";"1";"av";"env";"CBC_1027_MSI_AV_v3_Vset6_Aset2_2023-07-21_17h56.54.977.csv"
"CBC_1027";"21";"1";"3";"2";"z";"63";"z";"1,30740699999660137";"1";"1";"3";"hard";"0,95";"0,681818181818182";"0,3181818181818182";"0";"0";"0";"1";"av";"env";"CBC_1027_MSI_AV_v3_Vset6_Aset2_2023-07-21_17h56.54.977.csv"
"CBC_1027";"22";"2";"1";"3";"b";"27";"z";"2,25603419999970356";"0";"0";"3";"hard";"0,95";"0,652173913043478";"0,3478260869565217";"0";"0";"0";"1";"av";"env";"CBC_1027_MSI_AV_v3_Vset6_Aset2_2023-07-21_17h56.54.977.csv"
"CBC_1027";"23";"1";"2";"3";"b";"63";"b";"0,88273579999804497";"1";"1";"3";"hard";"0,95";"0,666666666666667";"0,3333333333333334";"0";"0";"0";"1";"av";"env";"CBC_1027_MSI_AV_v3_Vset6_Aset2_2023-07-21_17h56.54.977.csv"
"CBC_1027";"24";"3";"3";"2";"b";"63";"z";"2,31833179999739514";"0";"0";"3";"hard";"0,95";"0,640000000000000";"0,3600000000000000";"0";"0";"0";"1";"av";"env";"CBC_1027_MSI_AV_v3_Vset6_Aset2_2023-07-21_17h56.54.977.csv"
"CBC_1027";"25";"2";"0";"1";"z";"63";"z";"1,10529399999722955";"1";"1";"3";"hard";"0,95";"0,653846153846154";"0,3461538461538461";"0";"0";"0";"1";"av";"env";"CBC_1027_MSI_AV_v3_Vset6_Aset2_2023-07-21_17h56.54.977.csv"
"CBC_1027";"26";"0";"3";"0";"z";"9";"z";"1,43489769999723649";"1";"1";"3";"hard";"0,95";"0,666666666666667";"0,3333333333333334";"0";"0";"0";"1";"av";"env";"CBC_1027_MSI_AV_v3_Vset6_Aset2_2023-07-21_17h56.54.977.csv"
"CBC_1027";"27";"3";"3";"2";"b";"63";"z";"2,76712479999696370";"0";"0";"3";"hard";"0,95";"0,642857142857143";"0,3571428571428571";"0";"0";"0";"1";"av";"env";"CBC_1027_MSI_AV_v3_Vset6_Aset2_2023-07-21_17h56.54.977.csv"
"CBC_1027";"28";"1";"0";"2";"z";"27";"z";"0,92725869999776478";"1";"1";"3";"hard";"0,95";"0,655172413793103";"0,3448275862068966";"0";"0";"0";"1";"av";"env";"CBC_1027_MSI_AV_v3_Vset6_Aset2_2023-07-21_17h56.54.977.csv"
