ID,filename,session,trial,visStimLeft,secondStim,mod2Type,frequency,rewardAccurate,yesKey,mod2Stim,stimPair,match,key,reactionTime,choice,choiceAccurate,reward,simpleSurprise
CBC_1056,CBC_1056_MSI_TV_v1_Vset6_Aset1_2024-02-07_14h52.41.463.csv,2,18,1,2,tac,0.5,1,z,B,1B,1,z,1.3642544999966,1,1,1,1.87180217690159
CBC_1056,CBC_1056_MSI_TV_v1_Vset6_Aset1_2024-02-07_14h52.41.463.csv,2,19,0,1,tac,0.5,1,z,A,0A,1,z,1.34819649999918,1,1,1,2.19722457733622
CBC_1056,CBC_1056_MSI_TV_v1_Vset6_Aset1_2024-02-07_14h52.41.463.csv,2,20,2,0,tac,0.5,1,z,C,2C,1,z,1.52784009999596,1,1,1,1.94591014905531
CBC_1056,CBC_1056_MSI_TV_v1_Vset6_Aset1_2024-02-07_14h52.41.463.csv,2,21,0,2,tac,0.36,1,z,B,0B,0,b,1.31050049999612,0,1,1,2.26868354131836
CBC_1056,CBC_1056_MSI_TV_v1_Vset6_Aset1_2024-02-07_14h52.41.463.csv,2,22,2,0,tac,0.5,1,z,C,2C,1,z,2.46616939999512,1,1,1,1.79175946922805
CBC_1056,CBC_1056_MSI_TV_v1_Vset6_Aset1_2024-02-07_14h52.41.463.csv,2,23,1,1,tac,0.14,1,z,A,1A,0,b,1.98750999999902,0,1,1,2.7408400239252
CBC_1056,CBC_1056_MSI_TV_v1_Vset6_Aset1_2024-02-07_14h52.41.463.csv,2,24,2,2,tac,0.14,1,z,B,2B,0,b,1.39062019999619,0,1,1,3.46573590279973
CBC_1056,CBC_1056_MSI_TV_v1_Vset6_Aset1_2024-02-07_14h52.41.463.csv,2,25,0,1,tac,0.5,0,z,A,0A,1,z,3.36028159999842,1,1,0,2.11021320034659
CBC_1056,CBC_1056_MSI_TV_v1_Vset6_Aset1_2024-02-07_14h52.41.463.csv,2,26,1,0,tac,0.36,1,z,C,1C,0,b,1.44495559999996,0,1,1,2.42774823594805
CBC_1056,CBC_1056_MSI_TV_v1_Vset6_Aset1_2024-02-07_14h52.41.463.csv,2,27,0,1,tac,0.5,1,z,A,0A,1,z,1.31933249999565,1,1,1,1.94591014905531
CBC_1056,CBC_1056_MSI_TV_v1_Vset6_Aset1_2024-02-07_14h52.41.463.csv,2,28,1,0,tac,0.36,1,z,C,1C,0,b,1.203216599999,0,1,1,2.19722457733622
CBC_1056,CBC_1056_MSI_TV_v1_Vset6_Aset1_2024-02-07_14h52.41.463.csv,2,29,2,2,tac,0.14,1,z,B,2B,0,b,1.41883469999811,0,1,1,2.91777073208428
CBC_1056,CBC_1056_MSI_TV_v1_Vset6_Aset1_2024-02-07_14h52.41.463.csv,2,30,0,1,tac,0.5,1,z,A,0A,1,z,2.13273199999821,1,1,1,1.84582669049833
CBC_1056,CBC_1056_MSI_TV_v1_Vset6_Aset1_2024-02-07_14h52.41.463.csv,2,31,1,2,tac,0.5,0,z,B,1B,1,z,1.79175739999846,1,1,0,2.05412373369555
CBC_1056,CBC_1056_MSI_TV_v1_Vset6_Aset1_2024-02-07_14h52.41.463.csv,2,32,0,1,tac,0.5,1,z,A,0A,1,z,3.36502489999839,1,1,1,1.74296930505862
CBC_1056,CBC_1056_MSI_TV_v1_Vset6_Aset1_2024-02-07_14h52.41.463.csv,2,33,1,0,tac,0.36,1,z,C,1C,0,b,1.66662019999785,0,1,1,2.10413415427021
CBC_1056,CBC_1056_MSI_TV_v1_Vset6_Aset1_2024-02-07_14h52.41.463.csv,2,34,0,2,tac,0.36,1,z,B,0B,0,b,2.46281819999786,0,1,1,2.35137525716348
CBC_1056,CBC_1056_MSI_TV_v1_Vset6_Aset1_2024-02-07_14h52.41.463.csv,2,35,2,0,tac,0.5,1,z,C,2C,1,z,2.02572619999773,1,1,1,1.96944064646551
CBC_1056,CBC_1056_MSI_TV_v1_Vset6_Aset1_2024-02-07_14h52.41.463.csv,2,36,0,2,tac,0.36,1,z,B,0B,0,b,1.8133224000012,0,1,1,2.17475172148416
CBC_1056,CBC_1056_MSI_TV_v1_Vset6_Aset1_2024-02-07_14h52.41.463.csv,2,37,2,0,tac,0.5,1,z,C,2C,1,z,1.51977109999643,1,1,1,1.86075234071501
CBC_1056,CBC_1056_MSI_TV_v1_Vset6_Aset1_2024-02-07_14h52.41.463.csv,2,38,1,2,tac,0.5,1,z,B,1B,1,z,1.64259839999795,1,1,1,2.03688192726104
CBC_1056,CBC_1056_MSI_TV_v1_Vset6_Aset1_2024-02-07_14h52.41.463.csv,2,39,0,0,tac,0.14,1,z,C,0C,0,b,2.90611479999643,0,1,1,3.15700042115011
CBC_1056,CBC_1056_MSI_TV_v1_Vset6_Aset1_2024-02-07_14h52.41.463.csv,2,40,2,1,tac,0.36,1,z,A,2A,0,b,1.37985669999762,0,1,1,2.484906649788
CBC_1056,CBC_1056_MSI_TV_v1_Vset6_Aset1_2024-02-07_14h52.41.463.csv,2,41,1,2,tac,0.5,1,z,B,1B,1,z,1.47149999999601,1,1,1,1.94591014905531
CBC_1056,CBC_1056_MSI_TV_v1_Vset6_Aset1_2024-02-07_14h52.41.463.csv,2,42,2,1,tac,0.36,1,z,A,2A,0,b,1.88334269999905,0,1,1,2.30258509299405
