ID,filename,session,trial,visStimLeft,visStimRight,correctKey,leftCorrect,rightCorrect,secondStim,mod2Type,mod2Stim,frequency,rewardAccurate,stimPairLeft,stimPairRight,pCorrectLeft,pCorrectRight,key,reactionTime,choiceLeft,choiceRight,choiceAccurate,reward,chosenPair,otherPair,triplet,surprise,0 belief,1 belief,2 belief,3 belief,beliefPair,beliefOtherPair,beliefPairNorm,beliefOtherPairNorm,prob,lik,rewardPE,update2,fitCBCuniVsimpleRW_CBCsimpleSigmoid_startBelief,fitCBCuniVsimpleRW_CBCsimpleSigmoid_alpha1,fitCBCuniVsimpleRW_CBCsimpleSigmoid_beta,fit_CBCuniVsimpleRW_CBCsimpleSigmoid_NLL
CBC_1020,CBC_1020_MSI_AV_v3_Vset6_Aset1_2023-06-28_15h13.22.031.csv,2,3,3,2,b,1,0,1,aud,D,63,1,3,2,1,0,b,1.8037675000005,1,0,1,1,3,2,D32,2.89037175789616,0.753620382434518,0.79979702062113,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.29979702062113,0.5,0.59959404124226,1,29.8001047386136
CBC_1020,CBC_1020_MSI_AV_v3_Vset6_Aset1_2023-06-28_15h13.22.031.csv,2,4,1,2,b,1,0,0,aud,B,9,1,1,2,1,0,b,1.3017721999995,1,0,1,1,1,2,B12,2.94443897916644,0.753620382434518,0.79979702062113,0.5,0.79979702062113,0.79979702062113,0.5,0.615324552935914,0.384675447064086,0.557407997784367,0.557407997784367,0.384675447064086,0.230649105871828,0.5,0.59959404124226,1,29.8001047386136
CBC_1020,CBC_1020_MSI_AV_v3_Vset6_Aset1_2023-06-28_15h13.22.031.csv,2,5,2,0,z,0,1,3,aud,A,27,1,2,0,0,1,z,2.26319260000037,0,1,1,1,0,2,A20,2.99573227355399,0.753620382434518,0.845973658807742,0.5,0.79979702062113,0.753620382434518,0.5,0.60115517663409,0.39884482336591,0.550405781948904,0.550405781948904,0.39884482336591,0.239144979470521,0.5,0.59959404124226,1,29.8001047386136
CBC_1020,CBC_1020_MSI_AV_v3_Vset6_Aset1_2023-06-28_15h13.22.031.csv,2,6,3,2,z,0,1,2,aud,C,63,1,3,2,0,1,z,2.27805660000013,0,1,1,1,2,3,C32,3.04452243772342,0.840300156104611,0.845973658807742,0.5,0.79979702062113,0.5,0.79979702062113,0.384675447064086,0.615324552935914,0.442592002215633,0.442592002215633,0.615324552935914,0.368944935370432,0.5,0.59959404124226,1,29.8001047386136
CBC_1020,CBC_1020_MSI_AV_v3_Vset6_Aset1_2023-06-28_15h13.22.031.csv,2,7,3,1,b,1,0,1,aud,D,27,1,3,1,1,0,b,1.46785999999975,1,0,1,1,3,1,D31,3.09104245335832,0.840300156104611,0.845973658807742,0.753620382434518,0.79979702062113,0.79979702062113,0.845973658807742,0.485971120167654,0.514028879832346,0.492986020217003,0.492986020217003,0.514028879832346,0.308208653373908,0.5,0.59959404124226,1,29.8001047386136
CBC_1020,CBC_1020_MSI_AV_v3_Vset6_Aset1_2023-06-28_15h13.22.031.csv,2,8,0,1,b,1,0,3,aud,A,63,1,0,1,1,0,b,1.82522979999976,1,0,1,1,0,1,A01,3.13549421592915,0.840300156104611,0.845973658807742,0.753620382434518,0.794179773541562,0.840300156104611,0.845973658807742,0.498317739784323,0.501682260215677,0.499158870685626,0.499158870685626,0.501682260215677,0.300805693822269,0.5,0.59959404124226,1,29.8001047386136
CBC_1020,CBC_1020_MSI_AV_v3_Vset6_Aset1_2023-06-28_15h13.22.031.csv,2,9,0,2,z,0,1,2,aud,C,27,1,0,2,0,1,z,1.61318829999982,0,1,1,1,2,0,C02,3.17805383034795,0.799123433606592,0.845973658807742,0.753620382434518,0.794179773541562,0.753620382434518,0.799123433606592,0.485347534248087,0.514652465751913,0.492674291380273,0.492674291380273,0.514652465751913,0.308582551775483,0.5,0.59959404124226,1,29.8001047386136
CBC_1020,CBC_1020_MSI_AV_v3_Vset6_Aset1_2023-06-28_15h13.22.031.csv,2,10,3,2,b,1,0,1,aud,D,63,1,3,2,1,0,b,1.19458780000059,1,0,1,1,3,2,D32,2.52572864430826,0.799123433606592,0.845973658807742,0.79393008602357,0.794179773541562,0.794179773541562,0.79393008602357,0.500078611538266,0.499921388461734,0.500039305769052,0.500039305769052,0.499921388461734,0.299749885611213,0.5,0.59959404124226,1,29.8001047386136
CBC_1020,CBC_1020_MSI_AV_v3_Vset6_Aset1_2023-06-28_15h13.22.031.csv,2,11,0,1,z,0,1,0,aud,B,63,0,0,1,1,0,z,1.17611959999977,0,1,1,0,1,0,B01,3.25809653802148,0.799123433606592,0.845973658807742,0.79393008602357,0.799828497149479,0.845973658807742,0.799123433606592,0.514239349585256,0.485760650414744,0.507119193638755,0.507119193638755,-0.514239349585256,-0.308334849783615,0.5,0.59959404124226,1,29.8001047386136
CBC_1020,CBC_1020_MSI_AV_v3_Vset6_Aset1_2023-06-28_15h13.22.031.csv,2,12,1,0,z,0,1,3,aud,A,63,1,1,0,0,1,z,2.74980460000097,0,1,1,1,0,1,A10,2.60268968544438,0.799123433606592,0.205904499801641,0.79393008602357,0.799828497149479,0.799123433606592,0.205904499801641,0.795125595063431,0.204874404936569,0.643422778297755,0.643422778297755,0.204874404936569,0.12284147240302,0.5,0.59959404124226,1,29.8001047386136
