trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,allKeys.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
8,0,8,0,,,,,,,,,,2,0.0,3.0,r,9.0,1.0,3.02234236141277,3.1963008326951,None,649.8525191000008,None,653.0196503300006,653.0196503300006,653.0359617300012,None,[],['r'],[0.35951310000018566],655.023084800001,None,r,2.3595131000001857,1,1,0.4444444444444444,None,658.0502238000008,None,658.0502238000008,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1102,001,4,3,7,7,0.95,2024-05-26_11h06.10.825,MSI_TV_v3,2022.1.1,60.09377031876917,
9,0,9,0,,,,,,,,,,0,1.0,0.0,b,63.0,1.0,2.294664843639333,1.60731937853708,None,659.8525608,None,661.4361456300005,661.4361456300005,661.452671530001,None,[],['b'],[1.9924140000002808],663.4397577,None,b,3.992414000000281,1,1,0.5,None,665.7465759000006,None,665.7465759000006,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1102,001,4,3,7,7,0.95,2024-05-26_11h06.10.825,MSI_TV_v3,2022.1.1,60.09377031876917,
10,0,10,0,,,,,,,,,,1,1.0,0.0,r,63.0,1.0,4.11514536789087,2.10421507306074,None,667.5526217000006,None,669.6366215299997,669.6366215299997,669.6525910299999,None,[],['b'],[0.3156033999985084],671.6421793999998,None,b,2.3156033999985084,0,0,0.45454545454545453,None,675.7425514000006,None,675.7425514000006,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1102,001,4,3,7,7,0.95,2024-05-26_11h06.10.825,MSI_TV_v3,2022.1.1,60.09377031876917,
11,0,11,0,,,,,,,,,,0,0.0,1.0,r,63.0,1.0,2.592312596923728,3.40155979865722,None,677.5524796000009,None,680.9360333300003,680.9360333300003,680.9524741300004,None,[],['r'],[0.774283300001116],682.9417900000008,None,r,2.774283300001116,1,1,0.5,None,685.5320683999998,None,685.5320683999998,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1102,001,4,3,7,7,0.95,2024-05-26_11h06.10.825,MSI_TV_v3,2022.1.1,60.09377031876917,
12,0,12,0,,,,,,,,,,2,2.0,3.0,r,63.0,1.0,4.01714354611405,1.53122835510861,None,687.3362680999999,None,688.8531446300015,688.8531446300015,688.8691726300015,None,[],['b'],[0.6172452999999223],690.8580683,None,b,2.6172452999999223,0,0,0.46153846153846156,None,694.8738262000006,None,694.8738262000006,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1102,001,4,3,7,7,0.95,2024-05-26_11h06.10.825,MSI_TV_v3,2022.1.1,60.09377031876917,
13,0,13,0,,,,,,,,,,0,1.0,3.0,b,27.0,1.0,2.6391747348430608,1.96568735158996,None,696.6860105000014,None,698.6366684300003,698.6366684300003,698.6525333300008,None,[],['r'],[1.3738181000007899],700.6409218999997,None,r,3.37381810000079,0,0,0.42857142857142855,None,703.2765377000014,None,703.2765377000014,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1102,001,4,3,7,7,0.95,2024-05-26_11h06.10.825,MSI_TV_v3,2022.1.1,60.09377031876917,
14,0,14,0,,,,,,,,,,3,3.0,2.0,r,63.0,1.0,3.71372710086949,1.53243550275999,None,705.0861616000002,None,706.6024807300012,706.6024807300012,706.6193362300012,None,[],['b'],[0.4509046000002854],708.609042600001,None,b,2.4509046000002854,0,0,0.4,None,712.3215501000013,None,712.3215501000013,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1102,001,4,3,7,7,0.95,2024-05-26_11h06.10.825,MSI_TV_v3,2022.1.1,60.09377031876917,
15,0,15,0,,,,,,,,,,3,2.0,0.0,b,27.0,1.0,2.82320408183943,1.25920145784721,None,714.136193100001,None,715.3696622300006,715.3696622300006,715.3863929299998,None,[],['b'],[0.46456769999895187],717.3774110000013,None,b,2.464567699998952,1,1,0.4375,None,720.1892118000014,None,720.1892118000014,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1102,001,4,3,7,7,0.95,2024-05-26_11h06.10.825,MSI_TV_v3,2022.1.1,60.09377031876917,
16,0,16,0,,,,,,,,,,1,0.0,3.0,b,9.0,1.0,3.6438386551209,3.24569326556923,None,722.0030143000004,None,725.2363360299998,725.2363360299998,725.2527353300004,None,[],None,,727.2428278000007,None,None,[],0,3,0.4117647058823529,None,730.899761300001,None,730.899761300001,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1102,001,4,3,7,7,0.95,2024-05-26_11h06.10.825,MSI_TV_v3,2022.1.1,60.09377031876917,
17,0,17,0,,,,,,,,,,3,2.0,3.0,b,63.0,0.0,2.92731383428727,1.94858485820231,None,732.6858209000002,None,734.6194047300007,734.6194047300007,734.6366387299997,b,['b'],None,,736.6652215000013,None,b,1.6025941000007151,1,0,0.4444444444444444,None,739.5968025000002,None,739.5968025000002,None,1.6025941000007151,[1.6025941000007151],,,,,,,,,,,,,,,,,,,,,,CBC_1102,001,4,3,7,7,0.95,2024-05-26_11h06.10.825,MSI_TV_v3,2022.1.1,60.09377031876917,
