trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
20,0,20,0,,,,,,,,,,2,0.0,3.0,z,9.0,1.0,2.949122761,2.407383959,None,672.0880947000005,None,674.511880099999,None,674.511880099999,None,674.5215641399991,None,['z'],674.511880099999,None,None,,676.5080466,None,z,1.4050714999993943,1,1,0.6190476190476191,679.4612433999991,None,None,679.4612433999991,None,[1.4050714999993943],,,,,,,,,,,,,,,,,,,CBC_1007,003,2,1,0,4,0.9,2023-06-21_15h59.48.192,MSI_AV_v3,2022.1.1,59.99876402565381,
21,0,21,0,,,,,,,,,,1,2.0,3.0,b,63.0,1.0,1.874984683,2.573610938,None,681.4715027999991,None,684.0604330000006,None,684.0604330000006,None,684.0714944399988,None,['b'],684.0604330000006,None,None,,686.0574610000003,None,b,1.322068199999194,1,1,0.6363636363636364,687.9447944999993,None,None,687.9447944999993,None,[1.322068199999194],,,,,,,,,,,,,,,,,,,CBC_1007,003,2,1,0,4,0.9,2023-06-21_15h59.48.192,MSI_AV_v3,2022.1.1,59.99876402565381,
22,0,22,0,,,,,,,,,,3,3.0,1.0,z,27.0,1.0,3.478547126,2.684881281,None,689.9549224000002,None,692.6590978000004,None,692.6590978000004,None,692.6549162799993,None,None,692.6590978000004,None,['z'],[0.2545449000008375],694.6387388999992,None,z,2.2545449000008375,1,1,0.6521739130434783,698.1001049000006,None,None,698.1001049000006,None,,,,,,,,,,,,,,,,,,,,CBC_1007,003,2,1,0,4,0.9,2023-06-21_15h59.48.192,MSI_AV_v3,2022.1.1,59.99876402565381,
23,0,23,0,,,,,,,,,,1,3.0,2.0,z,63.0,1.0,2.372527466,2.648704933,None,700.104905799999,None,702.7764845999991,None,702.7764845999991,None,702.7883221399989,None,['z'],702.7764845999991,None,None,,704.7725126000005,None,z,1.901261400000294,1,1,0.6666666666666666,707.1623804999999,None,None,707.1623804999999,None,[1.901261400000294],,,,,,,,,,,,,,,,,,,CBC_1007,003,2,1,0,4,0.9,2023-06-21_15h59.48.192,MSI_AV_v3,2022.1.1,59.99876402565381,
24,0,24,0,,,,,,,,,,2,2.0,3.0,z,63.0,1.0,2.518459073,2.935368129,None,709.1716225,None,712.1262146999998,None,712.1262146999998,None,712.1383153400002,None,['z'],712.1262146999998,None,None,,714.1226712999996,None,z,1.2921306999996887,1,1,0.68,716.6461940999998,None,None,716.6461940999998,None,[1.2921306999996887],,,,,,,,,,,,,,,,,,,CBC_1007,003,2,1,0,4,0.9,2023-06-21_15h59.48.192,MSI_AV_v3,2022.1.1,59.99876402565381,
25,0,25,0,,,,,,,,,,3,1.0,0.0,b,63.0,1.0,4.268032915,0.977134615,None,718.6558100000002,None,719.6432368000005,None,719.6432368000005,None,719.654999639999,None,['b'],719.6432368000005,None,None,,721.6401575,None,b,1.4574757999998837,1,1,0.6923076923076923,725.9123091999991,None,None,725.9123091999991,None,[1.4574757999998837],,,,,,,,,,,,,,,,,,,CBC_1007,003,2,1,0,4,0.9,2023-06-21_15h59.48.192,MSI_AV_v3,2022.1.1,59.99876402565381,
26,0,26,0,,,,,,,,,,0,0.0,3.0,b,9.0,1.0,1.6718976049999998,1.313600181,None,727.9217559999997,None,729.2604338000001,None,729.2604338000001,None,729.2716769399995,None,['b'],729.2604338000001,None,None,,731.2562815000001,None,b,1.8102951999990182,1,1,0.7037037037037037,732.9284506999993,None,None,732.9284506999993,None,[1.8102951999990182],,,,,,,,,,,,,,,,,,,CBC_1007,003,2,1,0,4,0.9,2023-06-21_15h59.48.192,MSI_AV_v3,2022.1.1,59.99876402565381,
27,0,27,0,,,,,,,,,,2,2.0,3.0,z,63.0,1.0,3.589438522,2.071213329,None,734.9387069999993,None,737.0265935999996,None,737.0265935999996,None,737.0384083400004,None,['z'],737.0265935999996,None,None,,739.0247199000005,None,z,0.9827337999995507,1,1,0.7142857142857143,742.6292969000006,None,None,742.6292969000006,None,[0.9827337999995507],,,,,,,,,,,,,,,,,,,CBC_1007,003,2,1,0,4,0.9,2023-06-21_15h59.48.192,MSI_AV_v3,2022.1.1,59.99876402565381,
28,0,28,0,,,,,,,,,,1,2.0,0.0,b,27.0,1.0,2.232488062,3.321420384,None,744.6386803000005,None,747.9778418999995,None,747.9778418999995,None,747.9884442399998,None,None,747.9778418999995,None,['b'],[0.22869250000076136],749.9551372000005,None,b,2.2286925000007614,1,1,0.7241379310344828,752.1714902000003,None,None,752.1714902000003,None,,,,,,,,,,,,,,,,,,,,CBC_1007,003,2,1,0,4,0.9,2023-06-21_15h59.48.192,MSI_AV_v3,2022.1.1,59.99876402565381,
29,0,29,0,,,,,,,,,,0,1.0,0.0,z,63.0,0.0,2.278602942,2.297139377,None,754.1717795000004,None,756.4916054999994,None,756.4916054999994,None,756.4885940800004,None,['z'],756.4916054999994,None,None,,758.4829497999999,None,z,1.4014040000001842,1,0,0.7333333333333333,760.7604632000002,None,None,760.7604632000002,None,[1.4014040000001842],,,,,,,,,,,,,,,,,,,CBC_1007,003,2,1,0,4,0.9,2023-06-21_15h59.48.192,MSI_AV_v3,2022.1.1,59.99876402565381,
30,0,30,0,,,,,,,,,,3,1.0,0.0,b,63.0,1.0,2.397501916,2.210349838,None,762.7717367000005,None,764.9931424000006,None,764.9931424000006,None,765.0051143399996,None,None,764.9931424000006,None,['b'],[0.32691349999913655],766.9710591999992,None,b,2.3269134999991365,1,1,0.7419354838709677,769.3567237999996,None,None,769.3567237999996,None,,,,,,,,,,,,,,,,,,,,CBC_1007,003,2,1,0,4,0.9,2023-06-21_15h59.48.192,MSI_AV_v3,2022.1.1,59.99876402565381,
31,0,31,0,,,,,,,,,,2,3.0,1.0,b,27.0,1.0,1.758742576,0.971483559,None,771.3718764999994,None,772.3643388,None,772.3643388,None,772.37227084,None,['b'],772.3643388,None,None,,774.3568624999989,None,b,1.1837992000000668,1,1,0.75,776.1288576999996,None,None,776.1288576999996,None,[1.1837992000000668],,,,,,,,,,,,,,,,,,,CBC_1007,003,2,1,0,4,0.9,2023-06-21_15h59.48.192,MSI_AV_v3,2022.1.1,59.99876402565381,
