trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,allKeys.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
18,0,18,0,,,,,,,,,,1,1.0,0.0,b,63.0,1.0,3.02234236141277,2.09887870490381,None,616.0475446,None,618.1309118900001,618.1309118900001,618.1476142899999,None,[],['z'],[0.047895600000174454],620.1358823,None,z,2.0478956000001745,0,0,0.5263157894736842,None,623.1597214999997,None,623.1597214999997,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1144,1,5,2,0,1,0.9,2024-10-16_13h57.49.373,MSI_TV_v3,2022.1.1,60.15298106144861,
19,0,19,0,,,,,,,,,,0,2.0,0.0,z,27.0,1.0,2.792365600763554,1.25920145784721,None,624.9639397000001,None,626.1975125900001,626.1975125900001,626.2141311899998,None,[],['z'],[0.664500500000031],628.2024360999999,None,z,2.664500500000031,1,1,0.55,None,631.0072772999997,None,631.0072772999997,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1144,1,5,2,0,1,0.9,2024-10-16_13h57.49.373,MSI_TV_v3,2022.1.1,60.15298106144861,
20,0,20,0,,,,,,,,,,2,0.0,3.0,z,9.0,1.0,2.433630701072358,1.21250262048173,None,632.8138389000001,None,634.01413759,634.01413759,634.0307939900001,None,[],['z'],[0.012033799999699113],636.0203462,None,z,2.012033799999699,1,1,0.5714285714285714,None,638.4411743000001,None,638.4411743000001,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1144,1,5,2,0,1,0.9,2024-10-16_13h57.49.373,MSI_TV_v3,2022.1.1,60.15298106144861,
21,0,21,0,,,,,,,,,,3,2.0,3.0,b,63.0,1.0,2.6391747348430608,1.52290599571961,None,640.2477073,None,641.7469067899999,641.7469067899999,641.7639313899997,None,[],['b'],[0.4242493000001559],643.7520438000001,None,b,2.424249300000156,1,1,0.5909090909090909,None,646.3784562000001,None,646.3784562000001,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1144,1,5,2,0,1,0.9,2024-10-16_13h57.49.373,MSI_TV_v3,2022.1.1,60.15298106144861,
22,0,22,0,,,,,,,,,,1,3.0,1.0,z,27.0,1.0,2.2759877950103027,3.33124983260532,None,648.1807206999997,None,651.4969918899999,651.4969918899999,651.51340439,None,[],['b'],[0.1899677999999767],653.5013527000001,None,b,2.1899677999999767,0,0,0.5652173913043478,None,655.7767979,None,655.7767979,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1144,1,5,2,0,1,0.9,2024-10-16_13h57.49.373,MSI_TV_v3,2022.1.1,60.15298106144861,
23,0,23,0,,,,,,,,,,3,3.0,2.0,z,63.0,1.0,2.517541937862754,1.1243895841892,None,657.5806339000001,None,658.6810604899999,658.6810604899999,658.6974388900001,z,['z'],None,,660.7263017,None,z,1.576944899999944,1,1,0.5833333333333334,None,663.2415860000001,None,663.2415860000001,None,1.576944899999944,[1.576944899999944],,,,,,,,,,,,,,,,,,,,,CBC_1144,1,5,2,0,1,0.9,2024-10-16_13h57.49.373,MSI_TV_v3,2022.1.1,60.15298106144861,
24,0,24,0,,,,,,,,,,2,2.0,3.0,z,63.0,1.0,2.7134565917469198,1.38289892513751,None,665.0476525999998,None,666.4142778899998,666.4142778899998,666.4308709899999,None,[],['z'],[0.009998699999869132],668.4204829,None,z,2.009998699999869,1,1,0.6,None,671.1368066999999,None,671.1368066999999,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1144,1,5,2,0,1,0.9,2024-10-16_13h57.49.373,MSI_TV_v3,2022.1.1,60.15298106144861,
25,0,25,0,,,,,,,,,,1,1.0,0.0,b,63.0,1.0,2.496959177995529,0.952147612306987,None,672.9473914,None,673.88092239,673.88092239,673.89735399,z,['z'],None,,675.9257079999998,None,z,1.8486920000000282,0,0,0.5769230769230769,None,678.4252618,None,678.4252618,None,1.8486920000000282,[1.8486920000000282],,,,,,,,,,,,,,,,,,,,,CBC_1144,1,5,2,0,1,0.9,2024-10-16_13h57.49.373,MSI_TV_v3,2022.1.1,60.15298106144861,
26,0,26,0,,,,,,,,,,0,0.0,3.0,b,9.0,1.0,2.629554641171433,1.27538462653558,None,680.2308011999999,None,681.4808189899998,681.4808189899998,681.4969363899997,None,[],['b'],[0.8950956999997288],683.4843735999998,None,b,2.895095699999729,1,1,0.5925925925925926,None,686.1158009000001,None,686.1158009000001,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1144,1,5,2,0,1,0.9,2024-10-16_13h57.49.373,MSI_TV_v3,2022.1.1,60.15298106144861,
27,0,27,0,,,,,,,,,,2,2.0,3.0,z,63.0,1.0,4.82531807167306,1.94858485820231,None,687.9304145000001,None,689.86381009,689.86381009,689.88081919,z,['z'],None,,691.9086093000001,None,z,1.9438419999996768,1,1,0.6071428571428571,None,696.7435720999997,None,696.7435720999997,None,1.9438419999996768,[1.9438419999996768],,,,,,,,,,,,,,,,,,,,,CBC_1144,1,5,2,0,1,0.9,2024-10-16_13h57.49.373,MSI_TV_v3,2022.1.1,60.15298106144861,
28,0,28,0,,,,,,,,,,3,2.0,0.0,b,27.0,1.0,2.91303524001082,2.49839527409216,None,698.5473394999999,None,701.0307425899998,701.0307425899998,701.0475072900001,b,['b'],None,,703.0743226,None,b,1.9637039000003824,1,1,0.6206896551724138,None,705.9941982,None,705.9941982,None,1.9637039000003824,[1.9637039000003824],,,,,,,,,,,,,,,,,,,,,CBC_1144,1,5,2,0,1,0.9,2024-10-16_13h57.49.373,MSI_TV_v3,2022.1.1,60.15298106144861,
29,0,29,0,,,,,,,,,,0,1.0,0.0,z,63.0,0.0,4.77723667052879,2.15533949826702,None,707.7971724999998,None,709.93081009,709.93081009,709.9474747900001,None,[],['b'],[0.3363635000000613],711.9359891999998,None,b,2.3363635000000613,0,1,0.6,None,716.7121452000001,None,716.7121452000001,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1144,1,5,2,0,1,0.9,2024-10-16_13h57.49.373,MSI_TV_v3,2022.1.1,60.15298106144861,
30,0,30,0,,,,,,,,,,1,1.0,0.0,b,63.0,1.0,3.76873691643126,1.34668860557497,None,718.5138425999999,None,719.8473610899998,719.8473610899998,719.86407399,z,['z'],None,,721.8944882999999,None,z,1.8715076000003137,0,0,0.5806451612903226,None,725.6764027999998,None,725.6764027999998,None,1.8715076000003137,[1.8715076000003137],,,,,,,,,,,,,,,,,,,,,CBC_1144,1,5,2,0,1,0.9,2024-10-16_13h57.49.373,MSI_TV_v3,2022.1.1,60.15298106144861,
31,0,31,0,,,,,,,,,,2,3.0,1.0,b,27.0,1.0,2.678526077912375,2.6299100644723,None,727.4803223999997,None,730.09775319,730.09775319,730.1140851899997,None,[],['b'],[0.26870699999972203],732.1018494999998,None,b,2.268706999999722,1,1,0.59375,None,734.7897849999999,None,734.7897849999999,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1144,1,5,2,0,1,0.9,2024-10-16_13h57.49.373,MSI_TV_v3,2022.1.1,60.15298106144861,
