trials_runs.thisRepN;trials_runs.thisTrialN;trials_runs.thisN;trials_runs.thisIndex;standbild_start.started;standbild_start.stopped;trigger.keys;trigger.rt;trigger.started;trigger.stopped;keys_2.keys;keys_2.started;keys_2.stopped;trials_runs.tactile_stim;trials_runs.visual_stim_left;trials_runs.visual_stim_right;trials_runs.correctKey;trials_runs.presentationFrequncy;trials_runs.FBaccuracy;trials_runs.ISI_s;trials_runs.ITI_s;keys_3.keys;keys_3.started;keys_3.stopped;image_stim_left.started;image_stim_right.started;tactile.started;response_4.keys;allKeys.keys;response_4.rt;allKeys.rt;response_5.keys;response_5.started;response_5.stopped;response_runs.keys;response_runs.rt;trials_runs.correct_answer;trials_runs.feedback_given;trials_runs.running_mean;feedback_6.stopped;feedback_6.started;keys_6.keys;keys_6.started;keys_6.stopped;response_5.rt;keys_3.rt;keys_7.keys;keys_7.started;keys_7.stopped;standbild_end.started;standbild_end.stopped;Stop_exp.keys;Stop_exp.started;Stop_exp.stopped;trials_runs.rightKey;trials_runs.leftKey;ts_difficulty;visualPair;tactilePair;trials_runs.mean_acc_1stFourth;trials_runs.mean_acc_2ndFourth;trials_runs.mean_acc_3rdFourth;trials_runs.mean_acc_4thFourth;nbCorrect;nbOmissions;nbIncorrect;participant;session;visual set [1-6];tactile set [1-3];trial structure [0-3 / 4-7];pairing [0-23];prob Feedback;date;expName;psychopyVersion;frameRate
30;0;30;0;;;;;;;;;;3;0;1;b;63;1;4.469240022;0.952147612;None;355.8436702;None;356.777449;356.777449;356.7938179;b;['b'];1.3902008;[1.390200799998638];None;358.7933234;None;b;1.3902008;1;1;0.677419355;None;363.2719374;None;363.2719374;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1019;2;5;2;2;18;0.9;2023-06-28_16h17.24.850;MSI_TV_v3;01.01.2022;59.98922594
31;0;31;0;;;;;;;;;;2;2;3;z;63;1;3.351334582;1.522905996;None;365.0869895;None;366.5767317;366.5767317;366.5926675;None;[];;;['b'];368.5702859;None;b;3.4218016;0;0;0.65625;None;371.9253422;None;371.9253422;None;[1.421801599999526];;;;;;;;;;;;;;;;;;;;;;CBC_1019;2;5;2;2;18;0.9;2023-06-28_16h17.24.850;MSI_TV_v3;01.01.2022;59.98922594
32;0;32;0;;;;;;;;;;0;1;2;b;9;1;4.770344255;1.346688606;None;373.7271079;None;375.0606512;375.0606512;375.0773394;b;['b'];1.6670956;[1.6670955999998114];None;377.1212456;None;b;1.6670956;1;1;0.666666667;None;381.8931175;None;381.8931175;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1019;2;5;2;2;18;0.9;2023-06-28_16h17.24.850;MSI_TV_v3;01.01.2022;59.98922594
33;0;33;0;;;;;;;;;;3;0;1;b;63;1;4.53337422;1.275384627;None;383.6936958;None;384.9438992;384.9438992;384.9605132;b;['b'];1.4035191;[1.403519099998448];None;386.9566241;None;b;1.4035191;1;1;0.676470588;None;391.505025;None;391.505025;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1019;2;5;2;2;18;0.9;2023-06-28_16h17.24.850;MSI_TV_v3;01.01.2022;59.98922594
34;0;34;0;;;;;;;;;;1;1;2;z;9;1;4.825318072;0.91751991;None;393.3106669;None;394.2107517;394.2107517;394.2274193;z;['z'];1.1644528;[1.164452799999708];None;396.2530251;None;z;1.1644528;1;1;0.685714286;None;401.08907;None;401.08907;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1019;2;5;2;2;18;0.9;2023-06-28_16h17.24.850;MSI_TV_v3;01.01.2022;59.98922594
35;0;35;0;;;;;;;;;;0;0;1;z;63;1;2.517541938;1.382898925;None;402.8943295;None;404.2608269;404.2608269;404.2775335;z;['z'];1.3694181;[1.3694180999991659];None;406.3018719;None;z;1.3694181;1;1;0.694444444;None;408.8215203;None;408.8215203;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1019;2;5;2;2;18;0.9;2023-06-28_16h17.24.850;MSI_TV_v3;01.01.2022;59.98922594
36;0;36;0;;;;;;;;;;3;1;0;z;63;0;2.792365601;2.783469325;None;410.6272394;None;413.3943858;413.3943858;413.4108006;z;['z'];1.2886122;[1.2886121999981697];None;415.4113848;None;z;1.2886122;1;0;0.702702703;None;418.2224512;None;418.2224512;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1019;2;5;2;2;18;0.9;2023-06-28_16h17.24.850;MSI_TV_v3;01.01.2022;59.98922594
37;0;37;0;;;;;;;;;;0;1;0;b;63;1;3.643838655;0.761758675;None;420.0274867;None;420.7613942;420.7613942;420.7773178;b;['b'];1.7449358;[1.744935799999439];None;422.7736462;None;b;1.7449358;1;1;0.710526316;None;426.4226987;None;426.4226987;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1019;2;5;2;2;18;0.9;2023-06-28_16h17.24.850;MSI_TV_v3;01.01.2022;59.98922594
38;0;38;0;;;;;;;;;;2;3;1;b;27;1;2.927313834;2.224271879;None;428.2263721;None;430.4269369;430.4269369;430.4431919;b;['b'];1.8735198;[1.8735197999994853];None;432.4595207;None;b;1.8735198;1;1;0.717948718;None;435.4062916;None;435.4062916;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1019;2;5;2;2;18;0.9;2023-06-28_16h17.24.850;MSI_TV_v3;01.01.2022;59.98922594
39;0;39;0;;;;;;;;;;1;2;3;b;63;1;2.294664844;3.245693266;None;437.2108243;None;440.4444215;440.4444215;440.4611193;None;[];;;['z'];442.446492;None;z;2.1863712;0;0;0.7;None;444.7405218;None;444.7405218;None;[0.18637119999948482];;;;;;;;;;;;;;;;;;;;;;CBC_1019;2;5;2;2;18;0.9;2023-06-28_16h17.24.850;MSI_TV_v3;01.01.2022;59.98922594
40;0;40;0;;;;;;;;;;3;2;0;z;27;1;4.753330511;0.97977615;None;446.5446385;None;447.5112451;447.5112451;447.5279667;z;['z'];1.4287192;[1.4287191999992501];None;449.5526883;None;z;1.4287192;1;1;0.707317073;None;454.3049734;None;454.3049734;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1019;2;5;2;2;18;0.9;2023-06-28_16h17.24.850;MSI_TV_v3;01.01.2022;59.98922594
41;0;41;0;;;;;;;;;;2;3;2;b;63;1;2.693348633;1.531228355;None;456.1100532;None;457.6111254;457.6111254;457.6278042;None;[];;;['b'];459.6122157;None;b;2.3927048;1;1;0.714285714;None;462.3050881;None;462.3050881;None;[0.39270480000050156];;;;;;;;;;;;;;;;;;;;;;CBC_1019;2;5;2;2;18;0.9;2023-06-28_16h17.24.850;MSI_TV_v3;01.01.2022;59.98922594
42;0;42;0;;;;;;;;;;0;3;1;z;27;1;2.666404968;1.948584858;None;464.1104812;None;466.0275343;466.0275343;466.0442047;z;['z'];1.6080262;[1.6080261999995855];None;468.0815315;None;z;1.6080262;1;1;0.720930233;None;470.7569629;None;470.7569629;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1019;2;5;2;2;18;0.9;2023-06-28_16h17.24.850;MSI_TV_v3;01.01.2022;59.98922594
43;0;43;0;;;;;;;;;;1;2;3;b;63;1;3.319294193;0.807880636;None;472.5610419;None;473.3445636;473.3445636;473.361308;None;[];;;['b'];475.3475621;None;b;2.1314321;1;1;0.727272727;None;478.6833924;None;478.6833924;None;[0.13143209999907413];;;;;;;;;;;;;;;;;;;;;;CBC_1019;2;5;2;2;18;0.9;2023-06-28_16h17.24.850;MSI_TV_v3;01.01.2022;59.98922594
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;None;480.4944918;None;;;;;;;;;;;;;;;;;;CBC_1019;2;5;2;2;18;0.9;2023-06-28_16h17.24.850;MSI_TV_v3;01.01.2022;59.98922594
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;485.4778364;None;None;485.4778364;490.4611484;;;;;;;;;;;;;CBC_1019;2;5;2;2;18;0.9;2023-06-28_16h17.24.850;MSI_TV_v3;01.01.2022;59.98922594
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;z;b;hard;[0, 1, 2, 3];[3, 0, 1, 2];0.454545455;0.727272727;0.818181818;0.909090909;30;1;13;;;;;;;;;;;
