ID;EPIfilename;run;logfile;session;modality;stimType;version
CBC_1016;mr5247_cbc_1016_20230625_150249_3_1_epi_msi_tv_44slices_v3.nii;20230625_150249_3_1;CBC_1016_MSI_TV_v3_Vset2_Tset3_2023-06-25_14h56.17.212.csv;1;tv;vib;v3
CBC_1016;mr5247_cbc_1016_20230625_151110_4_1_epi_msi_av_44slices_v3.nii;20230625_151110_4_1;CBC_1016_MSI_AV_v3_Vset5_Aset2_2023-06-25_15h04.51.235.csv;2;av;env;v3
CBC_1016;mr5247_cbc_1016_20230625_152616_6_1_epi_msi_av_44slices_v3.nii;20230625_152616_6_1;CBC_1016_MSI_AV_v3_Vset4_Aset1_2023-06-25_15h20.06.953.csv;3;av;env;v3
CBC_1016;mr5247_cbc_1016_20230625_163933_10_1_epi_msi_tv_44slices_v3.nii;20230625_163933_10_1;CBC_1016_MSI_TV_v3_Vset3_Tset2_2023-06-25_16h33.10.466.csv;4;tv;vib;v3
CBC_1016;mr5247_cbc_1016_20230625_164742_11_1_epi_msi_av_44slices_v3.nii;20230625_164742_11_1;CBC_1016_MSI_AV_v3_Vset6_Aset3_2023-06-25_16h41.28.303.csv;5;av;env;v3
CBC_1017;mr5248_cbc_1017_20230625_095432_4_1_epi_msi_tv_44slices_v3.nii;20230625_095432_4_1;CBC_1017_MSI_TV_v3_Vset5_Tset1_2023-06-25_09h48.15.887.csv;1;tv;vib;v3
CBC_1017;mr5248_cbc_1017_20230625_101020_6_1_epi_msi_av_44slices_v3.nii;20230625_101020_6_1;CBC_1017_MSI_AV_v3_Vset3_Aset3_2023-06-25_10h04.01.692.csv;2;av;env;v3
CBC_1017;mr5248_cbc_1017_20230625_113818_10_1_epi_msi_av_44slices_v3.nii;20230625_113818_10_1;CBC_1017_MSI_AV_v3_Vset1_Aset2_2023-06-25_11h31.46.540.csv;3;av;env;v3
CBC_1017;mr5248_cbc_1017_20230625_115559_12_1_epi_msi_tv_44slices_v3.nii;20230625_115559_12_1;CBC_1017_MSI_TV_v3_Vset6_Tset2_2023-06-25_11h49.37.760.csv;4;tv;vib;v3
CBC_1018;mr5289_cbc_1018_20230728_140743_3_1_epi_msi_tv_44slices_v3.nii;20230728_140743_3_1;CBC_1018_MSI_TV_v3_Vset2_Tset2_2023-07-28_14h00.56.927.csv;1;tv;vib;v3
CBC_1018;mr5289_cbc_1018_20230728_141620_4_1_epi_msi_av_44slices_v3.nii;20230728_141620_4_1;CBC_1018_MSI_AV_v3_Vset5_Aset3_2023-07-28_14h09.48.835.csv;2;av;env;v3
CBC_1018;mr5289_cbc_1018_20230728_143330_6_1_epi_msi_av_44slices_v3.nii;20230728_143330_6_1;CBC_1018_MSI_AV_v3_Vset6_Aset2_2023-07-28_14h27.02.226.csv;3;av;env;v3
CBC_1018;mr5289_cbc_1018_20230728_151834_10_1_epi_msi_tv_44slices_v3.nii;20230728_151834_10_1;CBC_1018_MSI_TV_v3_Vset1_Tset3_2023-07-28_15h11.50.359.csv;4;tv;vib;v3
CBC_1018;mr5289_cbc_1018_20230728_152714_11_1_epi_msi_av_44slices_v3.nii;20230728_152714_11_1;CBC_1018_MSI_AV_v3_Vset4_Aset1_2023-07-28_15h20.37.012.csv;5;av;env;v3
CBC_1019;mr5253_cbc_1019_20230628_161517_3_1_epi_msi_av_44slices_v3.nii;20230628_161517_3_1;CBC_1019_MSI_AV_v3_Vset2_Aset1_2023-06-28_16h08.36.821.csv;1;av;env;v3
CBC_1019;mr5253_cbc_1019_20230628_162341_4_1_epi_msi_tv_44slices_v3.nii;20230628_162341_4_1;CBC_1019_MSI_TV_v3_Vset5_Tset2_2023-06-28_16h17.24.850.csv;2;tv;vib;v3
CBC_1019;mr5253_cbc_1019_20230628_175650_9_1_epi_msi_av_44slices_v3.nii;20230628_175650_9_1;CBC_1019_MSI_AV_v3_Vset4_Aset3_2023-06-28_17h50.15.634.csv;3;av;env;v3
CBC_1019;mr5253_cbc_1019_20230628_180638_10_1_epi_msi_tv_44slices_v3.nii;20230628_180638_10_1;CBC_1019_MSI_TV_v3_Vset1_Tset3_2023-06-28_18h00.13.129.csv;4;tv;vib;v3
CBC_1020;mr5252_cbc_1020_20230628_151003_4_1_epi_msi_tv_44slices_v3.nii;20230628_151003_4_1;CBC_1020_MSI_TV_v3_Vset1_Tset2_2023-06-28_15h03.37.595.csv;1;tv;vib;v3
CBC_1020;mr5252_cbc_1020_20230628_151859_5_1_epi_msi_av_44slices_v3.nii;20230628_151859_5_1;CBC_1020_MSI_AV_v3_Vset6_Aset1_2023-06-28_15h13.22.031.csv;2;av;env;v3
CBC_1020;mr5252_cbc_1020_20230628_170222_10_1_epi_msi_tv_44slices_v3.nii;20230628_170222_10_1;CBC_1020_MSI_TV_v3_Vset5_Tset1_2023-06-28_16h55.43.253.csv;3;tv;vib;v3
CBC_1020;mr5252_cbc_1020_20230628_171051_11_1_epi_msi_av_44slices_v3.nii;20230628_171051_11_1;CBC_1020_MSI_AV_v3_Vset2_Aset2_2023-06-28_17h04.34.667.csv;4;av;env;v3
CBC_1020;mr5252_cbc_1020_20230628_172604_13_1_epi_msi_av_44slices_v3.nii;20230628_172604_13_1;CBC_1020_MSI_AV_v3_Vset4_Aset3_2023-06-28_17h19.47.712.csv;5;av;env;v3
CBC_1021;mr5277_cbc_1021_20230718_144738_3_1_epi_msi_av_44slices_v3.nii;20230718_144738_3_1;CBC_1021_MSI_AV_v3_Vset5_Aset2_2023-07-18_14h40.56.369.csv;1;av;env;v3
CBC_1021;mr5277_cbc_1021_20230718_145606_4_1_epi_msi_tv_44slices_v3.nii;20230718_145606_4_1;CBC_1021_MSI_TV_v3_Vset2_Tset3_2023-07-18_14h49.36.888.csv;2;tv;vib;v3
CBC_1021;mr5277_cbc_1021_20230718_162243_9_1_epi_msi_av_44slices_v3.nii;20230718_162243_9_1;CBC_1021_MSI_AV_v3_Vset4_Aset3_2023-07-18_16h15.57.561.csv;3;av;env;v3
CBC_1021;mr5277_cbc_1021_20230718_163103_10_1_epi_msi_tv_44slices_v3.nii;20230718_163103_10_1;CBC_1021_MSI_TV_v3_Vset1_Tset2_2023-07-18_16h24.41.177.csv;4;tv;vib;v3
CBC_1022;mr5278_cbc_1022_20230718_134257_3_1_epi_msi_tv_44slices_v3.nii;20230718_134257_3_1;CBC_1022_MSI_TV_v3_Vset1_Tset1_2023-07-18_13h36.12.008.csv;1;tv;vib;v3
CBC_1022;mr5278_cbc_1022_20230718_135126_4_1_epi_msi_av_44slices_v3.nii;20230718_135126_4_1;CBC_1022_MSI_AV_v3_Vset4_Aset1_2023-07-18_13h44.55.295.csv;2;av;env;v3
CBC_1022;mr5278_cbc_1022_20230718_153933_9_1_epi_msi_tv_44slices_v3.nii;20230718_153933_9_1;CBC_1022_MSI_TV_v3_Vset3_Tset3_2023-07-18_15h32.56.687.csv;3;tv;vib;v3
CBC_1023;mr5551_cbc_1023_20240524_142148_4_1_epi_msi_tv_44slices_v3.nii;20240524_142148_4_1;CBC_1023_MSI_TV_v3_Vset6_Tset3_2024-05-24_14h20.55.260.csv;1;tv;vib;v3
CBC_1023;mr5551_cbc_1023_20240524_143014_5_1_epi_msi_av_44slices_v3.nii;20240524_143014_5_1;CBC_1023_MSI_AV_v3_Vset5_Aset1_2024-05-24_14h29.23.210.csv;2;av;env;v3
CBC_1023;mr5551_cbc_1023_20240524_152807_10_1_epi_msi_av_44slices_v3.nii;20240524_152807_10_1;CBC_1023_MSI_AV_v3_Vset4_Aset6_2024-05-24_15h26.58.267.csv;3;av;syll;v3
CBC_1023;mr5551_cbc_1023_20240524_153632_11_1_epi_msi_av_44slices_v3.nii;20240524_153632_11_1;CBC_1023_MSI_AV_v3_Vset3_Aset2_2024-05-24_15h35.45.193.csv;4;av;env;v3
CBC_1024;mr5261_cbc_1024_20230705_150950_3_1_epi_msi_tv_44slices_v3.nii;20230705_150950_3_1;CBC_1024_MSI_TV_v3_Vset3_Tset1_2023-07-05_15h02.58.307.csv;1;tv;vib;v3
CBC_1024;mr5261_cbc_1024_20230705_151831_4_1_epi_msi_av_44slices_v3.nii;20230705_151831_4_1;CBC_1024_MSI_AV_v3_Vset6_Aset3_2023-07-05_15h12.04.977.csv;2;av;env;v3
CBC_1024;mr5261_cbc_1024_20230705_161423_10_1_epi_msi_tv_44slices_v3.nii;20230705_161423_10_1;CBC_1024_MSI_TV_v3_Vset1_Tset2_2023-07-05_16h07.59.104.csv;3;tv;vib;v3
CBC_1024;mr5261_cbc_1024_20230705_162313_11_1_epi_msi_av_44slices_v3.nii;20230705_162313_11_1;CBC_1024_MSI_AV_v3_Vset4_Aset2_2023-07-05_16h16.42.189.csv;4;av;env;v3
CBC_1026;mr5279_cbc_1026_20230720_115435_3_1_epi_msi_tv_44slices_v3.nii;20230720_115435_3_1;CBC_1026_MSI_TV_v3_Vset6_Tset1_2023-07-20_11h47.13.772.csv;1;tv;vib;v3
CBC_1026;mr5279_cbc_1026_20230720_120305_4_1_epi_msi_av_44slices_v3.nii;20230720_120305_4_1;CBC_1026_MSI_AV_v3_Vset3_Aset2_2023-07-20_11h56.22.418.csv;2;av;env;v3
CBC_1026;mr5279_cbc_1026_20230720_130218_9_1_epi_msi_tv_44slices_v3.nii;20230720_130218_9_1;CBC_1026_MSI_TV_v3_Vset4_Tset3_2023-07-20_12h55.31.545.csv;3;tv;vib;v3
CBC_1026;mr5279_cbc_1026_20230720_131033_10_1_epi_msi_av_44slices_v3.nii;20230720_131033_10_1;CBC_1026_MSI_AV_v3_Vset1_Aset3_2023-07-20_13h03.59.061.csv;4;av;env;v3
CBC_1027;mr5281_cbc_1027_20230721_163418_3_1_epi_msi_av_44slices_v3.nii;20230721_163418_3_1;CBC_1027_MSI_AV_v3_Vset5_Aset1_2023-07-21_16h27.29.899.csv;1;av;env;v3
CBC_1027;mr5281_cbc_1027_20230721_164238_4_1_epi_msi_tv_44slices_v3.nii;20230721_164238_4_1;CBC_1027_MSI_TV_v3_Vset2_Tset2_2023-07-21_16h36.05.936.csv;2;tv;vib;v3
CBC_1027;mr5281_cbc_1027_20230721_180338_10_1_epi_msi_av_44slices_v3.nii;20230721_180338_10_1;CBC_1027_MSI_AV_v3_Vset6_Aset2_2023-07-21_17h56.54.977.csv;3;av;env;v3
CBC_1027;mr5281_cbc_1027_20230721_181203_11_1_epi_msi_tv_44slices_v3.nii;20230721_181203_11_1;CBC_1027_MSI_TV_v3_Vset3_Tset3_2023-07-21_18h05.28.896.csv;4;tv;vib;v3
CBC_1028;mr5282_cbc_1028_20230721_135507_3_1_epi_msi_tv_44slices_v3.nii;20230721_135507_3_1;CBC_1028_MSI_TV_v3_Vset6_Tset3_2023-07-21_13h48.20.813.csv;1;tv;vib;v3
CBC_1028;mr5282_cbc_1028_20230721_140645_5_1_epi_msi_av_44slices_v3.nii;20230721_140645_5_1;CBC_1028_MSI_AV_v3_Vset3_Aset1_2023-07-21_14h00.16.706.csv;2;av;env;v3
CBC_1028;mr5282_cbc_1028_20230721_142159_7_1_epi_msi_tv_44slices_v3.nii;20230721_142159_7_1;CBC_1028_MSI_TV_v3_Vset1_Tset2_2023-07-21_14h15.28.088.csv;3;tv;vib;v3
CBC_1028;mr5282_cbc_1028_20230721_154733_11_1_epi_msi_tv_44slices_v3.nii;20230721_154733_11_1;CBC_1028_MSI_TV_v3_Vset5_Tset1_2023-07-21_15h40.51.865.csv;4;tv;vib;v3
CBC_1028;mr5282_cbc_1028_20230721_155555_12_1_epi_msi_av_44slices_v3.nii;20230721_155555_12_1;CBC_1028_MSI_AV_v3_Vset2_Aset3_2023-07-21_15h49.22.200.csv;5;av;env;v3
CBC_1029;mr5283_cbc_1029_20230721_145747_3_1_epi_msi_av_44slices_v3.nii;20230721_145747_3_1;CBC_1029_MSI_AV_v3_Vset2_Aset2_2023-07-21_14h51.03.497.csv;1;av;env;v3
CBC_1029;mr5283_cbc_1029_20230721_150615_4_1_epi_msi_tv_44slices_v3.nii;20230721_150615_4_1;CBC_1029_MSI_TV_v3_Vset5_Tset2_2023-07-21_14h59.39.665.csv;2;tv;vib;v3
CBC_1029;mr5283_cbc_1029_20230721_172307_9_1_epi_msi_av_44slices_v3.nii;20230721_172307_9_1;CBC_1029_MSI_AV_v3_Vset6_Aset1_2023-07-21_17h16.24.897.csv;3;av;env;v3
CBC_1029;mr5283_cbc_1029_20230721_173140_10_1_epi_msi_tv_44slices_v3.nii;20230721_173140_10_1;CBC_1029_MSI_TV_v3_Vset3_Tset1_2023-07-21_17h25.06.255.csv;4;tv;vib;v3
