ID,session,fit_percModel,fit_respModel,sim_percModel,sim_respModel,sim_startBelief,sim_alpha1,sim_nonDecisionTime,sim_weight,sim_startingBoundary,sim_startingPoint,fit_startBelief,fit_alpha1,fit_nonDecisionTime,fit_weight,fit_startingBoundary,fit_startingPoint,fit_NLL,accuracy,probFB,model
128,1,CBCsimpleRW,CBCdriftDiffusionLR,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.684781023239645,2.18449410906481,12.9618805364017,3.65764515424716,0.5,0.5,0.655136209033995,2.21945847975591,13.8454159342403,3.50570972490062,0.5,-31.5342583751813,0.9090909090909091,1,CBCsimpleRW_CBCdriftDiffusionLR
129,1,CBCsimpleRW,CBCdriftDiffusionLR,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.565929576041802,2.58589421950978,10.0718120807386,3.95479118132795,0.5,0.5,0.552531548351007,2.64613589252878,10.135025223235,3.47401648184325,0.5,5.43837245300312,0.8863636363636364,0.95,CBCsimpleRW_CBCdriftDiffusionLR
130,1,CBCsimpleRW,CBCdriftDiffusionLR,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.292140047862259,1.77936169972564,14.3769330047058,4.85763974001239,0.5,0.5,0.292561588510399,1.84586861704124,13.8929265947111,4.17957551941889,0.5,5.0241384375232,0.9318181818181818,0.95,CBCsimpleRW_CBCdriftDiffusionLR
131,1,CBCsimpleRW,CBCdriftDiffusionLR,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.921786870547763,0.583504893809235,5.21545326595647,3.11927317459145,0.5,0.5,0.951412509233479,0.553165905807547,4.53685647557482,3.31080755792604,0.5,19.1465865047145,0.7272727272727273,0.73,CBCsimpleRW_CBCdriftDiffusionLR
132,1,CBCsimpleRW,CBCdriftDiffusionLR,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.152391763331023,1.99151032413847,7.14472158214041,1.00447548875639,0.5,0.5,0.651684871384122,1.99164936665393,2.66171076935684,1.00616285520239,0.5,-11.6863610865578,0.7272727272727273,1,CBCsimpleRW_CBCdriftDiffusionLR
133,1,CBCsimpleRW,CBCdriftDiffusionLR,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.490097415107511,1.73607093950249,4.49951601491644,2.09226836805101,0.5,0.5,0.529117821433945,1.71807037557148,5.68920328243403,2.33793169508694,0.5,36.8827028102973,0.8409090909090909,0.82,CBCsimpleRW_CBCdriftDiffusionLR
134,1,CBCsimpleRW,CBCdriftDiffusionLR,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.739216551383418,1.29950702302411,9.49645106552262,2.99738655946887,0.5,0.5,0.706664858195618,1.24935321527444,10.9249906685281,3.69384365549194,0.5,-2.95383531473058,0.6363636363636364,0.73,CBCsimpleRW_CBCdriftDiffusionLR
135,1,CBCsimpleRW,CBCdriftDiffusionLR,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.239042241751382,2.4126232521727,6.65491997212684,4.27965498425853,0.5,0.5,0.222477992755585,2.63205038661036,6.97596262278666,3.83962908239937,0.5,76.0800558547787,0.8409090909090909,0.73,CBCsimpleRW_CBCdriftDiffusionLR
136,1,CBCsimpleRW,CBCdriftDiffusionLR,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.521281332679732,0.279019509249464,6.81925767772125,2.37924680661267,0.5,0.5,0.4171412555773,0.288107024290347,7.38056104623994,2.40512919532439,0.5,9.55867708980168,0.9090909090909091,0.95,CBCsimpleRW_CBCdriftDiffusionLR
137,1,CBCsimpleRW,CBCdriftDiffusionLR,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0942971168676645,1.5762442662803,0.713279863966176,4.68727404717168,0.5,0.5,0.198936604331912,1.41516869376075,0.864641621138108,4.99420742135797,0.5,135.672769153465,0.7272727272727273,0.95,CBCsimpleRW_CBCdriftDiffusionLR
138,1,CBCsimpleRW,CBCdriftDiffusionLR,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.360101536403324,0.95136053679215,14.7111571227859,1.75613293600613,0.5,0.5,0.59309929357486,0.956188663261117,13.9499987323931,2.06680282185756,0.5,-36.6962616894681,0.9318181818181818,0.95,CBCsimpleRW_CBCdriftDiffusionLR
139,1,CBCsimpleRW,CBCdriftDiffusionLR,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.999479631252404,1.7018414838854,4.89533064996039,3.14997888399949,0.5,0.5,0.999929266982113,1.65823600304125,4.26991721369247,2.83979137117728,0.5,20.3186320250597,0.9090909090909091,1,CBCsimpleRW_CBCdriftDiffusionLR
140,1,CBCsimpleRW,CBCdriftDiffusionLR,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.37832749815447,2.51479283282421,10.2702532504237,1.0468458304071,0.5,0.5,0.45436886956703,2.49402721175272,10.0779486554946,1.2356724469854,0.5,-26.3144376956101,0.9318181818181818,0.95,CBCsimpleRW_CBCdriftDiffusionLR
141,1,CBCsimpleRW,CBCdriftDiffusionLR,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.260940864178938,1.88349564905707,1.7342423868138,1.69878145589319,0.5,0.5,0.988345742343858,1.87411089918401,0.983799125798253,1.74545112683787,0.5,44.1961340622479,0.7045454545454546,0.95,CBCsimpleRW_CBCdriftDiffusionLR
142,1,CBCsimpleRW,CBCdriftDiffusionLR,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.327614121221373,0.475559575618331,3.08894031013325,3.17360447050446,0.5,0.5,0.34159092503148,0.520575768992056,3.25795898842357,3.15642807843412,0.5,74.2302992241744,0.9090909090909091,0.91,CBCsimpleRW_CBCdriftDiffusionLR
143,1,CBCsimpleRW,CBCdriftDiffusionLR,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.911535920803368,1.06240440681857,8.20098008783917,1.38426151294437,0.5,0.5,0.94656506203353,1.06779788130133,9.14850811895706,1.54809837810507,0.5,-29.452507555797,0.9772727272727273,1,CBCsimpleRW_CBCdriftDiffusionLR
144,1,CBCsimpleRW,CBCdriftDiffusionLR,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.846469901782261,0.878756529160582,6.51036799110477,1.33033604935241,0.5,0.5,0.933978923271502,0.890942249008657,5.90740195164369,1.06445721146366,0.5,-38.3761325666552,0.6818181818181818,0.73,CBCsimpleRW_CBCdriftDiffusionLR
145,1,CBCsimpleRW,CBCdriftDiffusionLR,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.608872555992793,0.35588586239397,4.90011145811337,3.41244792622956,0.5,0.5,0.709258349956658,0.346302686407366,4.99292718757158,3.34053645735887,0.5,32.6515148750468,0.7045454545454546,0.73,CBCsimpleRW_CBCdriftDiffusionLR
146,1,CBCsimpleRW,CBCdriftDiffusionLR,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.534134322206633,0.331359108722401,9.07866078256272,1.5711537833423,0.5,0.5,0.699276343272043,0.32789038643995,5.80708156763001,1.46036005304043,0.5,-12.9924780666664,0.7045454545454546,0.82,CBCsimpleRW_CBCdriftDiffusionLR
147,1,CBCsimpleRW,CBCdriftDiffusionLR,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.956450940026231,2.1367932131944,10.8826641960557,4.3675382356667,0.5,0.5,0.989550963644924,2.14407585011432,10.6008270928941,3.92018657890999,0.5,-18.6451129559102,0.8863636363636364,0.95,CBCsimpleRW_CBCdriftDiffusionLR
148,1,CBCsimpleRW,CBCdriftDiffusionLR,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.455037634019304,2.72616471286875,12.5717204796193,3.09815491161836,0.5,0.5,0.391611703154267,2.75655111969949,14.9573351209713,3.1458639325798,0.5,-11.7572790023596,0.9545454545454546,1,CBCsimpleRW_CBCdriftDiffusionLR
149,1,CBCsimpleRW,CBCdriftDiffusionLR,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.441639569647081,0.489143741932347,7.59124327695816,4.73844754851279,0.5,0.5,0.533394055092142,0.623916454142862,7.16151277815663,3.82297847820585,0.5,20.1346020440746,0.9318181818181818,0.95,CBCsimpleRW_CBCdriftDiffusionLR
150,1,CBCsimpleRW,CBCdriftDiffusionLR,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.041367636687665,2.18725989852208,2.02829245585198,3.20798562746348,0.5,0.5,0.364855712196266,2.18396631400785,0.129469899497141,3.04626001073886,0.5,105.554217349113,0.5454545454545454,0.91,CBCsimpleRW_CBCdriftDiffusionLR
151,1,CBCsimpleRW,CBCdriftDiffusionLR,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.2530048300518,0.675116368964664,8.43797554383141,4.98889649009262,0.5,0.5,0.253559740953344,0.782682189209969,7.74820237104414,4.30381039979547,0.5,38.096521277683,0.9545454545454546,1,CBCsimpleRW_CBCdriftDiffusionLR
152,1,CBCsimpleRW,CBCdriftDiffusionLR,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.743668507642654,1.45636912713776,2.28954500844518,3.91447584596393,0.5,0.5,0.693395426895655,1.51355842569537,2.63305854791879,4.06612728229888,0.5,54.3673442775017,0.8409090909090909,0.95,CBCsimpleRW_CBCdriftDiffusionLR
153,1,CBCsimpleRW,CBCdriftDiffusionLR,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0406333642004296,0.462806232561348,10.2673442689357,3.50317769262139,0.5,0.5,0.068171215836512,0.323333190087144,7.73197994104156,4.10866036981441,0.5,78.1531926355355,0.8409090909090909,1,CBCsimpleRW_CBCdriftDiffusionLR
