"ID";"trials_runs.thisN";"secondStim";"trials_runs.visual_stim_left";"trials_runs.presentationFrequncy";"response_runs.keys";"response_runs.rt";"trials_runs.correct_answer";"trials_runs.feedback_given";"session";"tsDifficulty";"prob.Feedback";"version";"totalAccuracy";"totalError";"outlier200ms";"outlierSD";"omission";"validTrials";"modality";"stimType";"logfile";"group";"trials_runs.visual_stim_right";"trials_runs.correctKey"
"CBC_1032";"12";"0";"0";"50";"z";"1,89266140000108862";"0";"0";"2";"easy";"0,95";"v1";"0,583333333333333";"0,4166666666666666";"0";"0";"0";"1";"tv";"vib";"CBC_1032_MSI_TV_v1_Vset3_Aset2_2023-10-20_11h31.15.953.csv";"children";NA;NA
"CBC_1032";"13";"1";"1";"36";"z";"2,68460700000105135";"1";"1";"2";"easy";"0,95";"v1";"0,615384615384615";"0,3846153846153846";"0";"0";"0";"1";"tv";"vib";"CBC_1032_MSI_TV_v1_Vset3_Aset2_2023-10-20_11h31.15.953.csv";"children";NA;NA
"CBC_1032";"14";"0";"0";"50";"b";"2,77736190000177885";"1";"1";"2";"easy";"0,95";"v1";"0,642857142857143";"0,3571428571428571";"0";"0";"0";"1";"tv";"vib";"CBC_1032_MSI_TV_v1_Vset3_Aset2_2023-10-20_11h31.15.953.csv";"children";NA;NA
"CBC_1032";"15";"2";"2";"14";"z";"2,19327140000132204";"1";"1";"2";"easy";"0,95";"v1";"0,666666666666667";"0,3333333333333334";"0";"0";"0";"1";"tv";"vib";"CBC_1032_MSI_TV_v1_Vset3_Aset2_2023-10-20_11h31.15.953.csv";"children";NA;NA
"CBC_1032";"16";"1";"1";"36";"z";"1,74300039999980072";"1";"1";"2";"easy";"0,95";"v1";"0,687500000000000";"0,3125000000000000";"0";"0";"0";"1";"tv";"vib";"CBC_1032_MSI_TV_v1_Vset3_Aset2_2023-10-20_11h31.15.953.csv";"children";NA;NA
"CBC_1032";"17";"0";"0";"50";"b";"2,29708650000065973";"1";"0";"2";"easy";"0,95";"v1";"0,705882352941177";"0,2941176470588235";"0";"0";"0";"1";"tv";"vib";"CBC_1032_MSI_TV_v1_Vset3_Aset2_2023-10-20_11h31.15.953.csv";"children";NA;NA
"CBC_1032";"18";"1";"2";"50";"None";NA;NA;"3";"2";"easy";"0,95";"v1";"0,705882352941177";"0,2941176470588235";NA;NA;"1";"0";"tv";"vib";"CBC_1032_MSI_TV_v1_Vset3_Aset2_2023-10-20_11h31.15.953.csv";"children";NA;NA
"CBC_1032";"19";"2";"1";"50";"b";"2,19262580000031448";"1";"1";"2";"easy";"0,95";"v1";"0,722222222222222";"0,2777777777777778";"0";"0";"0";"1";"tv";"vib";"CBC_1032_MSI_TV_v1_Vset3_Aset2_2023-10-20_11h31.15.953.csv";"children";NA;NA
"CBC_1032";"20";"0";"2";"36";"z";"2,36330540000017209";"1";"1";"2";"easy";"0,95";"v1";"0,736842105263158";"0,2631578947368421";"0";"0";"0";"1";"tv";"vib";"CBC_1032_MSI_TV_v1_Vset3_Aset2_2023-10-20_11h31.15.953.csv";"children";NA;NA
"CBC_1032";"21";"1";"1";"36";"z";"1,85094330000174523";"1";"1";"2";"easy";"0,95";"v1";"0,750000000000000";"0,2500000000000000";"0";"0";"0";"1";"tv";"vib";"CBC_1032_MSI_TV_v1_Vset3_Aset2_2023-10-20_11h31.15.953.csv";"children";NA;NA
