"ID";"session";"tsDifficulty";"prob.Feedback";"version";"ACC";"minACC";"maxACC";"RT";"minRT";"maxRT";"omissions";"outliers";"idxOmission";"idxOutlier";"modality";"stimType";"group";"logfile";"participant"
"CBC_P020";"1";"hard";"0,7";"v1";"0,756097560975610";"0,000000000000000";"0,800000000000000";"2,084098339023845";"1,063802900000155";"2,83566279999650";"0,0238095238095238";"0,0000000000000000";;;"tv";"vib";"adults";"CBC_P020_TV_prob0.7_Vset1_Tset2_2023-03-31_18h12.03.082.csv";"CBC_P020"
"CBC_P020";"2";"hard";"0,7";"v1";"0,975000000000000";"0,937500000000000";"1,000000000000000";"1,584185064999383";"0,875836999999592";"2,55887589999838";"0,0476190476190476";"0,0000000000000000";;;"av";"env";"adults";"CBC_P020_AV_prob0.7_Vset3_Aset3_2023-03-31_18h19.39.958.csv";"CBC_P020"
"CBC_P022";"1";"hard";"0,9";"v1";"0,648648648648649";"0,000000000000000";"0,648648648648649";"2,757105135134987";"2,205387899999550";"3,65787170000112";"0,1190476190476190";"0,0000000000000000";;;"tv";"vib";"adults";"CBC_P022_TV_prob0.9_Vset4_Tset1_2023-04-02_15h00.38.402.csv";"CBC_P022"
"CBC_P022";"2";"hard";"0,9";"v1";"0,902439024390244";"0,750000000000000";"1,000000000000000";"1,711028799998752";"0,933577799998602";"3,37467069999911";"0,0238095238095238";"0,0000000000000000";;;"av";"env";"adults";"CBC_P022_AV_prob0.9_Vset2_Aset2_2023-04-02_15h08.21.873.csv";"CBC_P022"
"CBC_P026";"1";"hard";"0,9";"v1";"0,540540540540541";"0,352941176470588";"1,000000000000000";"1,960800094594880";"-0,929666300000463";"2,79495659999975";"0,1190476190476190";"0,0000000000000000";;;"tv";"vib";"adults";"CBC_P026_TV_prob0.9_Vset4_Tset2_2023-04-04_14h59.29.053.csv";"CBC_P026"
"CBC_P026";"2";"hard";"0,9";"v1";"0,657894736842105";"0,555555555555556";"1,000000000000000";"1,817981531579311";"0,614555699999983";"3,27829689999999";"0,0952380952380952";"0,0000000000000000";;;"av";"env";"adults";"CBC_P026_AV_prob0.9_Vset1_Aset4_2023-04-04_15h07.25.481.csv";"CBC_P026"
"CBC_P027";"1";"hard";"0,8";"v1";"0,560975609756098";"0,320000000000000";"1,000000000000000";"2,296169280487647";"1,112422100000003";"4,68229070000007";"0,0238095238095238";"0,0000000000000000";;;"av";"env";"adults";"CBC_P027_AV_prob0.8_Vset4_Aset3_2023-04-05_14h07.04.127.csv";"CBC_P027"
"CBC_P027";"2";"hard";"0,8";"v1";"0,809523809523810";"0,750000000000000";"1,000000000000000";"1,964471883333339";"0,907212099999924";"3,93582779999997";"0,0000000000000000";"0,0000000000000000";;;"tv";"vib";"adults";"CBC_P027_TV_prob0.8_Vset3_Tset2_2023-04-05_14h14.43.405.csv";"CBC_P027"
"CBC_P029";"1";"hard";"0,8";"v1";"0,853658536585366";"0,647058823529412";"1,000000000000000";"1,478949263414440";"0,796708499998203";"2,86165620000247";"0,0238095238095238";"0,0000000000000000";;;"av";"env";"adults";"CBC_P029_AV_prob0.8_Vset1_Aset1_2023-04-05_17h36.40.315.csv";"CBC_P029"
"CBC_P029";"2";"hard";"0,8";"v1";"0,714285714285714";"0,250000000000000";"1,000000000000000";"1,682005645238643";"0,924125300003652";"2,62750649999725";"0,0000000000000000";"0,0000000000000000";;;"tv";"vib";"adults";"CBC_P029_TV_prob0.8_Vset3_Tset2_2023-04-05_17h44.17.440.csv";"CBC_P029"
"CBC_P030";"1";"hard";"0,9";"v1";"0,731707317073171";"0,000000000000000";"0,731707317073171";"1,768391463414623";"0,680190099999891";"5,75392400000055";"0,0238095238095238";"0,0243902439024390";;;"tv";"vib";"adults";"CBC_P030_TV_prob0.9_Vset3_Tset1_2024-05-15_15h11.00.190.csv";"CBC_P030"
