ID,filename,session,trial,mod2Type,stimPair,triplet,matchingPair,nonMatchingPair,frequency,reactionTime,version,run,simpleSurprise,nonMatchPairSurprise,group
CBC_P005,CBC_P005_AV_prob0.9_Vset2_Aset2_2023-03-15_17h40.11.534.csv,1,9,aud,0A,NA,NA,NA,0.5,1.32141350000165,v1,MR,2.83321334405622,NA,adults
CBC_P005,CBC_P005_AV_prob0.9_Vset2_Aset2_2023-03-15_17h40.11.534.csv,1,10,aud,2C,NA,NA,NA,0.5,1.69742039999983,v1,MR,1.79175946922805,NA,adults
CBC_P005,CBC_P005_AV_prob0.9_Vset2_Aset2_2023-03-15_17h40.11.534.csv,1,11,aud,0A,NA,NA,NA,0.5,1.54252509999787,v1,MR,2.2512917986065,NA,adults
CBC_P005,CBC_P005_AV_prob0.9_Vset2_Aset2_2023-03-15_17h40.11.534.csv,1,12,aud,1C,NA,NA,NA,0.35,1.19581130000006,v1,MR,2.30258509299405,NA,adults
CBC_P005,CBC_P005_AV_prob0.9_Vset2_Aset2_2023-03-15_17h40.11.534.csv,1,13,aud,2B,NA,NA,NA,0.15,1.47797249998985,v1,MR,3.04452243772342,NA,adults
CBC_P005,CBC_P005_AV_prob0.9_Vset2_Aset2_2023-03-15_17h40.11.534.csv,1,14,aud,1A,NA,NA,NA,0.15,1.40993579999486,v1,MR,3.09104245335832,NA,adults
CBC_P005,CBC_P005_AV_prob0.9_Vset2_Aset2_2023-03-15_17h40.11.534.csv,1,15,aud,2C,NA,NA,NA,0.5,1.11078439999255,v1,MR,1.74919985480926,NA,adults
CBC_P005,CBC_P005_AV_prob0.9_Vset2_Aset2_2023-03-15_17h40.11.534.csv,1,16,aud,0A,NA,NA,NA,0.5,1.512241299999,v1,MR,2.07944154167984,NA,adults
CBC_P005,CBC_P005_AV_prob0.9_Vset2_Aset2_2023-03-15_17h40.11.534.csv,1,17,aud,1C,NA,NA,NA,0.35,1.91935149999335,v1,MR,2.12026353620009,NA,adults
CBC_P005,CBC_P005_AV_prob0.9_Vset2_Aset2_2023-03-15_17h40.11.534.csv,1,18,aud,2B,NA,NA,NA,0.15,1.11290419999568,v1,MR,2.56494935746154,NA,adults
CBC_P005,CBC_P005_AV_prob0.9_Vset2_Aset2_2023-03-15_17h40.11.534.csv,1,19,aud,1C,NA,NA,NA,0.35,1.28139289999672,v1,MR,1.90954250488444,NA,adults
CBC_P005,CBC_P005_AV_prob0.9_Vset2_Aset2_2023-03-15_17h40.11.534.csv,1,20,aud,0A,NA,NA,NA,0.5,1.85833339999226,v1,MR,1.94591014905531,NA,adults
CBC_P005,CBC_P005_AV_prob0.9_Vset2_Aset2_2023-03-15_17h40.11.534.csv,1,21,aud,2C,NA,NA,NA,0.5,1.71257979999791,v1,MR,1.75785791755237,NA,adults
CBC_P005,CBC_P005_AV_prob0.9_Vset2_Aset2_2023-03-15_17h40.11.534.csv,1,22,aud,1B,NA,NA,NA,0.5,1.58712739999464,v1,MR,2.30258509299405,NA,adults
CBC_P005,CBC_P005_AV_prob0.9_Vset2_Aset2_2023-03-15_17h40.11.534.csv,1,23,aud,0C,NA,NA,NA,0.15,1.67368249999708,v1,MR,3.43398720448515,NA,adults
CBC_P005,CBC_P005_AV_prob0.9_Vset2_Aset2_2023-03-15_17h40.11.534.csv,1,24,aud,1B,NA,NA,NA,0.5,1.58504040000116,v1,MR,2.07944154167984,NA,adults
CBC_P005,CBC_P005_AV_prob0.9_Vset2_Aset2_2023-03-15_17h40.11.534.csv,1,25,aud,2A,NA,NA,NA,0.35,2.02921069999138,v1,MR,2.80336038090653,NA,adults
CBC_P005,CBC_P005_AV_prob0.9_Vset2_Aset2_2023-03-15_17h40.11.534.csv,1,26,aud,0B,NA,NA,NA,0.35,1.14141999999265,v1,MR,2.42774823594805,NA,adults
CBC_P005,CBC_P005_AV_prob0.9_Vset2_Aset2_2023-03-15_17h40.11.534.csv,1,27,aud,2A,NA,NA,NA,0.35,1.53272109999671,v1,MR,2.4567357728213,NA,adults
CBC_P005,CBC_P005_AV_prob0.9_Vset2_Aset2_2023-03-15_17h40.11.534.csv,1,28,aud,1B,NA,NA,NA,0.5,1.76820739999675,v1,MR,1.97408102602201,NA,adults
CBC_P005,CBC_P005_AV_prob0.9_Vset2_Aset2_2023-03-15_17h40.11.534.csv,1,29,aud,0A,NA,NA,NA,0.5,NA,v1,MR,2.00148000021012,NA,adults
CBC_P005,CBC_P005_AV_prob0.9_Vset2_Aset2_2023-03-15_17h40.11.534.csv,1,30,aud,1B,NA,NA,NA,0.5,1.98348469999473,v1,MR,1.84582669049833,NA,adults
CBC_P005,CBC_P005_AV_prob0.9_Vset2_Aset2_2023-03-15_17h40.11.534.csv,1,31,aud,2A,NA,NA,NA,0.35,1.26110629999312,v1,MR,2.27726728500976,NA,adults
CBC_P005,CBC_P005_AV_prob0.9_Vset2_Aset2_2023-03-15_17h40.11.534.csv,1,32,aud,0C,NA,NA,NA,0.15,1.2847702999934,v1,MR,2.99573227355399,NA,adults
CBC_P005,CBC_P005_AV_prob0.9_Vset2_Aset2_2023-03-15_17h40.11.534.csv,1,33,aud,1B,NA,NA,NA,0.5,2.11410129999422,v1,MR,1.76766191764899,NA,adults
CBC_P005,CBC_P005_AV_prob0.9_Vset2_Aset2_2023-03-15_17h40.11.534.csv,1,34,aud,0A,NA,NA,NA,0.5,1.07624239999132,v1,MR,1.94591014905531,NA,adults
CBC_P005,CBC_P005_AV_prob0.9_Vset2_Aset2_2023-03-15_17h40.11.534.csv,1,35,aud,1C,NA,NA,NA,0.35,2.23081879999518,v1,MR,2.15176220325946,NA,adults
CBC_P005,CBC_P005_AV_prob0.9_Vset2_Aset2_2023-03-15_17h40.11.534.csv,1,36,aud,0B,NA,NA,NA,0.35,NA,v1,MR,2.39789527279837,NA,adults
CBC_P005,CBC_P005_AV_prob0.9_Vset2_Aset2_2023-03-15_17h40.11.534.csv,1,37,aud,1A,NA,NA,NA,0.15,1.35069520000252,v1,MR,3.11351530921037,NA,adults
CBC_P005,CBC_P005_AV_prob0.9_Vset2_Aset2_2023-03-15_17h40.11.534.csv,1,38,aud,2C,NA,NA,NA,0.5,1.69493249999505,v1,MR,2.03688192726104,NA,adults
CBC_P005,CBC_P005_AV_prob0.9_Vset2_Aset2_2023-03-15_17h40.11.534.csv,1,39,aud,0A,NA,NA,NA,0.5,1.25386179999623,v1,MR,1.90423745265475,NA,adults
CBC_P005,CBC_P005_AV_prob0.9_Vset2_Aset2_2023-03-15_17h40.11.534.csv,1,40,aud,2C,NA,NA,NA,0.5,1.2459732999996,v1,MR,1.92529086185258,NA,adults
CBC_P005,CBC_P005_AV_prob0.9_Vset2_Aset2_2023-03-15_17h40.11.534.csv,1,41,aud,0B,NA,NA,NA,0.35,1.36508809999941,v1,MR,2.28238238567653,NA,adults
CBC_P005,CBC_P005_AV_prob0.9_Vset2_Aset2_2023-03-15_17h40.11.534.csv,1,42,aud,1C,NA,NA,NA,0.35,1.64507399999275,v1,MR,2.12026353620009,NA,adults
CBC_P005,CBC_P005_TV_prob0.9_Vset1_Aset1_2023-03-15_17h48.53.126.csv,2,1,tac,2C,NA,NA,NA,0.5,2.18728290000581,v1,MR,2.19722457733622,NA,adults
CBC_P005,CBC_P005_TV_prob0.9_Vset1_Aset1_2023-03-15_17h48.53.126.csv,2,2,tac,1B,NA,NA,NA,0.5,0.950893900007941,v1,MR,2.30258509299405,NA,adults
CBC_P005,CBC_P005_TV_prob0.9_Vset1_Aset1_2023-03-15_17h48.53.126.csv,2,3,tac,0C,NA,NA,NA,0.15,1.33636070000648,v1,MR,2.39789527279837,NA,adults
CBC_P005,CBC_P005_TV_prob0.9_Vset1_Aset1_2023-03-15_17h48.53.126.csv,2,4,tac,2A,NA,NA,NA,0.35,1.23848220000946,v1,MR,2.484906649788,NA,adults
CBC_P005,CBC_P005_TV_prob0.9_Vset1_Aset1_2023-03-15_17h48.53.126.csv,2,5,tac,1C,NA,NA,NA,0.35,1.41117160000431,v1,MR,2.56494935746154,NA,adults
CBC_P005,CBC_P005_TV_prob0.9_Vset1_Aset1_2023-03-15_17h48.53.126.csv,2,6,tac,2A,NA,NA,NA,0.35,1.1764364000046,v1,MR,1.94591014905531,NA,adults
CBC_P005,CBC_P005_TV_prob0.9_Vset1_Aset1_2023-03-15_17h48.53.126.csv,2,7,tac,1B,NA,NA,NA,0.5,1.77513100000215,v1,MR,2.01490302054226,NA,adults
CBC_P005,CBC_P005_TV_prob0.9_Vset1_Aset1_2023-03-15_17h48.53.126.csv,2,8,tac,0A,NA,NA,NA,0.5,1.6398659000115,v1,MR,2.77258872223978,NA,adults
