ID,filename,session,trial,mod2Type,stimPair,frequency,rewardAccurate,reactionTime,choice,choiceAccurate,reward,beliefPair,rewardPE,fit_percModel,fit_respModel,fit_startBelief,fit_alpha1,fit_alpha12,fit_alpha2,fit_nonDecisionTime,fit_weight,fit_startingBoundary,fit_startingPoint,fit_NLL,fit_delta1,version,run,alphaT,model,mBIC
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,42,aud,2C,0.5,0,0.575192200005404,1,1,0,0.681044295858773,-0.681044295858773,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0721878370473416,NA,NA,0.419464626523405,6.94235738511333,2.82503312817105,0.5,57.8293744317312,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,130.79550739913546
CBC_P004,CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv,2,1,tac,2C,0.5,1,2.99273069999617,1,1,1,0.5,0.5,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.080935557136251,NA,NA,0.782347901638628,6.11146939370626,2.75519805664209,0.5,57.2380015412305,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,129.61276161813404
CBC_P004,CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv,2,2,tac,1B,0.5,1,NA,NA,NA,NA,0.5,0,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.080935557136251,NA,NA,0.782347901638628,6.11146939370626,2.75519805664209,0.5,57.2380015412305,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,129.61276161813404
CBC_P004,CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv,2,3,tac,0C,0.15,1,3.13294119999773,0,1,1,0.5,0.5,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.080935557136251,NA,NA,0.782347901638628,6.11146939370626,2.75519805664209,0.5,57.2380015412305,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,129.61276161813404
CBC_P004,CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv,2,4,tac,2A,0.35,1,2.45535669999663,1,0,0,0.5,-0.5,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.080935557136251,NA,NA,0.782347901638628,6.11146939370626,2.75519805664209,0.5,57.2380015412305,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,129.61276161813404
CBC_P004,CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv,2,5,tac,1C,0.35,0,2.51796579999791,0,1,0,0.5,-0.5,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.080935557136251,NA,NA,0.782347901638628,6.11146939370626,2.75519805664209,0.5,57.2380015412305,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,129.61276161813404
CBC_P004,CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv,2,6,tac,2A,0.35,0,NA,NA,NA,NA,0.459532221431874,0,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.080935557136251,NA,NA,0.782347901638628,6.11146939370626,2.75519805664209,0.5,57.2380015412305,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,129.61276161813404
CBC_P004,CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv,2,7,tac,1B,0.5,1,2.15779809999367,1,1,1,0.5,0.5,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.080935557136251,NA,NA,0.782347901638628,6.11146939370626,2.75519805664209,0.5,57.2380015412305,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,129.61276161813404
CBC_P004,CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv,2,8,tac,0A,0.5,1,2.40315840000403,0,0,0,0.5,-0.5,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.080935557136251,NA,NA,0.782347901638628,6.11146939370626,2.75519805664209,0.5,57.2380015412305,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,129.61276161813404
CBC_P004,CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv,2,9,tac,1B,0.5,1,2.36734330000036,1,1,1,0.540467778568126,0.459532221431874,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.080935557136251,NA,NA,0.782347901638628,6.11146939370626,2.75519805664209,0.5,57.2380015412305,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,129.61276161813404
CBC_P004,CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv,2,10,tac,2C,0.5,1,2.40268420000211,1,1,1,0.540467778568126,0.459532221431874,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.080935557136251,NA,NA,0.782347901638628,6.11146939370626,2.75519805664209,0.5,57.2380015412305,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,129.61276161813404
CBC_P004,CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv,2,11,tac,0B,0.35,0,NA,NA,NA,NA,0.5,0,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.080935557136251,NA,NA,0.782347901638628,6.11146939370626,2.75519805664209,0.5,57.2380015412305,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,129.61276161813404
CBC_P004,CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv,2,12,tac,1C,0.35,1,1.81463909999729,1,0,0,0.540467778568126,-0.540467778568126,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.080935557136251,NA,NA,0.782347901638628,6.11146939370626,2.75519805664209,0.5,57.2380015412305,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,129.61276161813404
CBC_P004,CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv,2,13,tac,0A,0.5,1,2.55410219999612,1,1,1,0.540467778568126,0.459532221431874,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.080935557136251,NA,NA,0.782347901638628,6.11146939370626,2.75519805664209,0.5,57.2380015412305,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,129.61276161813404
CBC_P004,CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv,2,14,tac,2B,0.15,1,2.19264419999672,1,0,0,0.5,-0.5,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.080935557136251,NA,NA,0.782347901638628,6.11146939370626,2.75519805664209,0.5,57.2380015412305,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,129.61276161813404
CBC_P004,CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv,2,15,tac,1A,0.15,1,3.29750729999796,1,0,0,0.5,-0.5,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.080935557136251,NA,NA,0.782347901638628,6.11146939370626,2.75519805664209,0.5,57.2380015412305,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,129.61276161813404
CBC_P004,CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv,2,16,tac,0C,0.15,0,2.06024439999601,0,1,0,0.459532221431874,-0.540467778568126,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.080935557136251,NA,NA,0.782347901638628,6.11146939370626,2.75519805664209,0.5,57.2380015412305,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,129.61276161813404
CBC_P004,CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv,2,17,tac,1B,0.5,1,2.91315739999118,0,0,0,0.577660274931773,-0.422339725068227,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.080935557136251,NA,NA,0.782347901638628,6.11146939370626,2.75519805664209,0.5,57.2380015412305,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,129.61276161813404
CBC_P004,CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv,2,18,tac,2C,0.5,1,2.02408749999449,1,1,1,0.577660274931773,0.422339725068227,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.080935557136251,NA,NA,0.782347901638628,6.11146939370626,2.75519805664209,0.5,57.2380015412305,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,129.61276161813404
CBC_P004,CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv,2,19,tac,0B,0.35,1,2.59727510000084,0,1,1,0.5,0.5,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.080935557136251,NA,NA,0.782347901638628,6.11146939370626,2.75519805664209,0.5,57.2380015412305,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,129.61276161813404
