ID,session,version,sim_percModel,sim_respModel,sim_startBelief,sim_alpha1,sim_alpha12,sim_alpha2,sim_alpha22,sim_nonDecisionTime,sim_weight,sim_startingBoundary,sim_startingPoint,sim_delta1,fit_percModel,fit_respModel,fit_startBelief,fit_alpha1,fit_alpha12,fit_alpha2,fit_alpha22,fit_nonDecisionTime,fit_weight,fit_startingBoundary,fit_startingPoint,fit_NLL,fit_delta1,accuracy,probFB,model
175,1,v3,CBCsimpleRW,CBCdriftDiffusionLR_pwBelief,0.5,0.408894750285115,NA,NA,NA,0.912227975289274,5.5920664705331,1.21217799927622,0.5,NA,CBCsimpleRW,CBCdriftDiffusionLR_pwBelief,0.5,0.486144079129817,NA,NA,NA,0.907542768385649,6.95553133102418,1.26625543195275,0.5,-57.8074981338571,NA,0.9545454545454546,0.95,CBCsimpleRW_CBCdriftDiffusionLR_pwBelief
176,1,v1,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.995398456418494,0.0709062896425865,0.523705001542026,NA,0.901603511802361,3.79847636774269,4.65544025292431,0.5,NA,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.9869046144878,0.0759229379731625,0.233937992795883,NA,0.987984649360098,3.73863105615685,3.88602562837007,0.5,13.7678557589048,NA,0.8333333333333334,0.71,CBC2StepAsymRW_CBCdriftDiffusionLR
176,1,v1,CBC2StepRW,CBCdriftDiffusionLR,0.5,0.958084219442652,NA,0.511523797234743,NA,2.93915342696583,8.44977624488601,1.00458730295677,0.5,NA,CBC2StepRW,CBCdriftDiffusionLR,0.5,0.985294102579513,NA,0.488553121465723,NA,2.90785883791881,9.30689565896582,1.67844542744932,0.5,-77.111715865529,NA,0.6428571428571429,0.71,CBC2StepRW_CBCdriftDiffusionLR
176,1,v1,CBCpearceHall,CBCdriftDiffusionLR,0.5,0.574558252400331,NA,NA,NA,1.72959909001792,6.39128321965508,3.5237235904803,0.5,0.71754126674085,CBCpearceHall,CBCdriftDiffusionLR,0.5,0.739464324794917,NA,NA,NA,1.718802999116,7.18801215230578,3.9511858919167002,0.5,22.6678654969687,0.551989260902024,0.6666666666666666,0.71,CBCpearceHall_CBCdriftDiffusionLR
176,1,v1,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.986059961921549,0.536799973136471,NA,NA,1.44854896010027,12.2046082569474,2.55599392426534,0.5,NA,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.978330452687413,0.488772215642952,NA,NA,1.45702708940004,12.7216440026614,2.332410719248,0.5,-13.1204047706877,NA,0.5476190476190477,0.71,CBCsimpleAsymRW_CBCdriftDiffusionLR
176,1,v1,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.929087593678799,NA,NA,NA,0.48871655570441,14.331291470296,2.19232187528805,0.5,NA,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.985693105341744,NA,NA,NA,0.488616744129978,12.7513008425987,2.11740876814369,0.5,-66.6591355809977,NA,0.6428571428571429,0.71,CBCsimpleRW_CBCdriftDiffusionLR
176,1,v3,CBCbothPairsAsymRW,CBCdriftDiffusionLR,0.5,0.766465204931707,0.354864885578883,0.82278531816293,0.947662323366767,1.37058502504009,13.0714463615719,1.40770094622566,0.5,NA,CBCbothPairsAsymRW,CBCdriftDiffusionLR,0.5,0.89606630546674,0.3071915894482,0.744299299140269,0.987454612375241,1.35767515146582,14.9967088001018,1.70881906392052,0.5,-48.5675947100547,NA,0.8181818181818182,0.73,CBCbothPairsAsymRW_CBCdriftDiffusionLR
176,1,v3,CBCbothPairsAsymRW,CBCdriftDiffusionLR_pwBelief,0.5,0.513039647731474,0.891042400724517,0.163351643731023,0.916164369646946,2.72349352601509,12.3490158273524,1.28017018502275,0.5,NA,CBCbothPairsAsymRW,CBCdriftDiffusionLR_pwBelief,0.5,0.554187896729904,0.914164798284959,0.17569445285076,0.996489789326932,2.70690490488222,11.9915515485749,1.63734821235908,0.5,-71.6904952018125,NA,0.7045454545454546,0.73,CBCbothPairsAsymRW_CBCdriftDiffusionLR_pwBelief
176,1,v3,CBCbothPairsRW,CBCdriftDiffusionLR,0.5,0.0528796335948964,NA,0.147092928867216,NA,1.32654193567418,13.4485543548693,2.77492336113184,0.5,NA,CBCbothPairsRW,CBCdriftDiffusionLR,0.5,0.0522072170251726,NA,0.199153223800295,NA,1.30795634686605,11.132489069604,2.70102234232313,0.5,28.8221241429298,NA,0.8636363636363636,0.73,CBCbothPairsRW_CBCdriftDiffusionLR
176,1,v3,CBCbothPairsRW,CBCdriftDiffusionLR_pwBelief,0.5,0.480079816814838,NA,0.837416134536966,NA,2.78553115202089,12.8347452072294,2.72083128169751,0.5,NA,CBCbothPairsRW,CBCdriftDiffusionLR_pwBelief,0.5,0.514320440442108,NA,0.871520516712854,NA,2.76759456042005,12.6051958840206,3.12754967897756,0.5,-46.0098126266843,NA,0.75,0.73,CBCbothPairsRW_CBCdriftDiffusionLR_pwBelief
176,1,v3,CBCpearceHall,CBCdriftDiffusionLR,0.5,0.310769812030676,NA,NA,NA,2.65533608013286,0.555623062573833,3.43673512484001,0.5,0.39972065823451,CBCpearceHall,CBCdriftDiffusionLR,0.5,0.667893557923496,NA,NA,NA,2.8198933079564,0.348838430367892,3.41250218878695,0.5,112.415393197844,0.983192010382307,0.6363636363636364,0.73,CBCpearceHall_CBCdriftDiffusionLR
176,1,v3,CBCpearceHall,CBCdriftDiffusionLR_pwBelief,0.5,0.897287101568983,NA,NA,NA,1.09545722703552,0.0110011581411201,3.64627945247981,0.5,0.887403243235947,CBCpearceHall,CBCdriftDiffusionLR_pwBelief,0.5,0.0259612482856707,NA,NA,NA,1.12681536618051,0.0156953562141788,3.45271954129831,0.5,115.821539032122,0.0350836337643473,0.5,0.73,CBCpearceHall_CBCdriftDiffusionLR_pwBelief
176,1,v3,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.656433298664551,0.786891528505613,NA,NA,0.47300517892467703,3.89168224368071,3.50525959467977,0.5,NA,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.505428340871779,0.714303268622791,NA,NA,0.55951310068487,4.75021764764466,3.13070909376729,0.5,51.0261815233404,NA,0.6590909090909091,0.73,CBCsimpleAsymRW_CBCdriftDiffusionLR
176,1,v3,CBCsimpleAsymRW,CBCdriftDiffusionLR_pwBelief,0.5,0.0378980607163407,0.412662258124822,NA,NA,2.62571436803339,7.37239522125706,1.83440821104151,0.5,NA,CBCsimpleAsymRW,CBCdriftDiffusionLR_pwBelief,0.5,0.0631179351553297,0.630802021928344,NA,NA,2.62676914647908,4.53907604422665,1.87593244084486,0.5,22.2468624555397,NA,0.4772727272727273,0.73,CBCsimpleAsymRW_CBCdriftDiffusionLR_pwBelief
176,1,v3,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.594333941541461,NA,NA,NA,2.43995517489126,10.5686738752196,1.15051027955544,0.5,NA,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.54105769031106,NA,NA,NA,2.43559507868504,14.9737807231217,1.33414370060638,0.5,-42.0505458957864,NA,0.7045454545454546,0.73,CBCsimpleRW_CBCdriftDiffusionLR
176,1,v3,CBCsimpleRW,CBCdriftDiffusionLR_pwBelief,0.5,0.470440526592965,NA,NA,NA,0.49907944634587,14.5398269984174,2.2071998810887,0.5,NA,CBCsimpleRW,CBCdriftDiffusionLR_pwBelief,0.5,0.461118204850086,NA,NA,NA,0.494877357207486,13.2752168852998,2.16460427863295,0.5,-30.8626768025008,NA,0.7272727272727273,0.73,CBCsimpleRW_CBCdriftDiffusionLR_pwBelief
177,1,v1,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.505423160159797,0.0454274773552427,0.047315616350593,NA,2.36759938473956,2.13016571150273,3.30603276539568,0.5,NA,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.162910516330523,0.0480450383432085,0.229468219073468,NA,2.47300619554683,3.39966320409627,2.61908412176654,0.5,35.7378701293046,NA,0.9285714285714286,1,CBC2StepAsymRW_CBCdriftDiffusionLR
177,1,v1,CBC2StepRW,CBCdriftDiffusionLR,0.5,0.125601315357802,NA,0.246441502163047,NA,2.23820149117336,6.10910114427129,3.40287094735133,0.5,NA,CBC2StepRW,CBCdriftDiffusionLR,0.5,0.115336191082761,NA,0.214239751067985,NA,2.25860638251408,6.6159582397147,3.39222800348598,0.5,10.8335763858125,NA,0.9047619047619048,1,CBC2StepRW_CBCdriftDiffusionLR
