trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_4.rt,allKeys.rt,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_6.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
19,0,19,0,,,,,,,,,,0,0.0,2.0,b,27.0,1.0,1.556335756,2.495793893,None,677.9064001000002,None,680.37315079,680.37315079,680.3898897899996,None,[],,,['b'],682.3763893,None,b,2.469994200000201,1,1,0.5,None,683.9306104000002,None,683.9306104000002,None,[0.4699942000002011],,,,,,,,,,,,,,,,,,,,CBC_1001,2,1,1,4,0,0.9,2023-06-08_11h53.34.814,MSI_TV_v3,2022.1.1,60.07983408336667,
20,0,20,0,,,,,,,,,,3,3.0,0.0,b,9.0,1.0,2.518459073,0.789129603,None,685.9397109999995,None,686.70616829,686.70616829,686.7225579899994,None,[],,,['b'],688.7011048999998,None,b,3.0529568000006293,1,1,0.5238095238095238,None,691.228318,None,691.228318,None,[1.0529568000006293],,,,,,,,,,,,,,,,,,,,CBC_1001,2,1,1,4,0,0.9,2023-06-08_11h53.34.814,MSI_TV_v3,2022.1.1,60.07983408336667,
21,0,21,0,,,,,,,,,,2,3.0,2.0,z,63.0,1.0,3.622505815,2.071213329,None,693.2399081999997,None,695.28984139,695.28984139,695.3065115899997,None,[],,,['z'],697.2922555,None,z,2.240720600000259,1,1,0.5454545454545454,None,700.9050067000003,None,700.9050067000003,None,[0.24072060000025886],,,,,,,,,,,,,,,,,,,,CBC_1001,2,1,1,4,0,0.9,2023-06-08_11h53.34.814,MSI_TV_v3,2022.1.1,60.07983408336667,
22,0,22,0,,,,,,,,,,1,1.0,3.0,b,27.0,1.0,1.6718976049999998,1.448890429,None,702.9064242999998,None,704.3400209899999,704.3400209899999,704.3566170900001,None,[],,,['b'],706.3439244999995,None,b,2.4749729000000116,1,1,0.5652173913043478,None,708.0172086999996,None,708.0172086999996,None,[0.4749729000000116],,,,,,,,,,,,,,,,,,,,CBC_1001,2,1,1,4,0,0.9,2023-06-08_11h53.34.814,MSI_TV_v3,2022.1.1,60.07983408336667,
23,0,23,0,,,,,,,,,,2,2.0,3.0,b,63.0,1.0,3.869831913,0.977134615,None,710.0220771999998,None,710.9731925899994,710.9731925899994,710.9898216899999,None,[],,,['z'],712.9933012999995,None,z,2.5461503000001358,0,0,0.5416666666666666,None,716.8513004000001,None,716.8513004000001,None,[0.5461503000001358],,,,,,,,,,,,,,,,,,,,CBC_1001,2,1,1,4,0,0.9,2023-06-08_11h53.34.814,MSI_TV_v3,2022.1.1,60.07983408336667,
24,0,24,0,,,,,,,,,,3,3.0,2.0,b,63.0,1.0,1.874984683,3.274187802,None,718.8566472999996,None,722.1063880899999,722.1063880899999,722.1228995899999,None,[],,,['b'],724.1265744999996,None,b,2.971165700000256,1,1,0.56,None,725.994048,None,725.994048,None,[0.971165700000256],,,,,,,,,,,,,,,,,,,,CBC_1001,2,1,1,4,0,0.9,2023-06-08_11h53.34.814,MSI_TV_v3,2022.1.1,60.07983408336667,
25,0,25,0,,,,,,,,,,1,0.0,1.0,z,63.0,1.0,1.3262934849999999,2.232990834,None,728.0056253999996,None,730.2223917899998,730.2223917899998,730.2397667900002,None,[],,,['b'],732.2177263999997,None,b,2.716715000000022,0,0,0.5384615384615384,None,733.5389021999995,None,733.5389021999995,None,[0.716715000000022],,,,,,,,,,,,,,,,,,,,CBC_1001,2,1,1,4,0,0.9,2023-06-08_11h53.34.814,MSI_TV_v3,2022.1.1,60.07983408336667,
26,0,26,0,,,,,,,,,,0,3.0,0.0,z,9.0,1.0,2.232488062,2.297139377,None,735.5395162999998,None,737.8064805900001,737.8064805900001,737.8224793899997,b,['b'],1.9934355000000323,[1.9934355000000323],None,739.8403409999996,None,b,1.9934355000000323,0,0,0.5185185185185185,None,742.0650781999998,None,742.0650781999998,None,,,,,,,,,,,,,,,,,,,,,CBC_1001,2,1,1,4,0,0.9,2023-06-08_11h53.34.814,MSI_TV_v3,2022.1.1,60.07983408336667,
27,0,27,0,,,,,,,,,,3,3.0,2.0,b,63.0,1.0,4.334629553,2.648704933,None,744.0732657000003,None,746.7070852899994,746.7070852899994,746.7237447899995,None,[],,,['z'],748.7094543999997,None,z,2.7295793000007507,0,0,0.5,None,753.0462170999995,None,753.0462170999995,None,[0.7295793000007507],,,,,,,,,,,,,,,,,,,,CBC_1001,2,1,1,4,0,0.9,2023-06-08_11h53.34.814,MSI_TV_v3,2022.1.1,60.07983408336667,
28,0,28,0,,,,,,,,,,2,0.0,2.0,z,27.0,1.0,2.397501916,1.53162701,None,755.0681619000002,None,756.5736379899997,756.5736379899997,756.5903885899995,None,[],,,['b'],758.5723280999996,None,b,4.168217100000675,0,0,0.4827586206896552,None,760.9547822999998,None,760.9547822999998,None,[2.1682171000006747],,,,,,,,,,,,,,,,,,,,CBC_1001,2,1,1,4,0,0.9,2023-06-08_11h53.34.814,MSI_TV_v3,2022.1.1,60.07983408336667,
