trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.rt,response_4.started,response_4.stopped,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
28,0,28,0,,,,,,,,,,3,0.0,2.0,z,27.0,1.0,2.517541937862754,2.78346932462847,None,346.8964610000003,None,349.7037985999996,None,349.7037985999996,None,349.7136918200005,None,None,,349.7037985999996,None,"['z', 'z']",351.68042779999814,None,z,2.5121543999957794,1,1,0.5862068965517241,354.19136029999936,None,None,354.19136029999936,None,"[0.5121543999957794, 1.5686969999987923]",,,,,,,,,,,,,,,,,,,,,,CBC_1108,003,6,1,4,13,0.8,2024-05-11_15h05.16.460,MSI_AV_v3,2022.1.1,59.961672499400535,
29,0,29,0,,,,,,,,,,2,0.0,1.0,b,63.0,0.0,3.7500315165247198,0.77703640172831,None,355.9960609000009,None,356.7867737000015,None,356.7867737000015,None,356.7972414200005,None,['b'],[1.8377632000010635],356.7867737000015,None,['b'],358.7671760999983,None,b,1.8377632000010635,1,0,0.6,362.5212266999988,None,None,362.5212266999988,None,[0.11372109999865643],,,,,,,,,,,,,,,,,,,,,,CBC_1108,003,6,1,4,13,0.8,2024-05-11_15h05.16.460,MSI_AV_v3,2022.1.1,59.961672499400535,
30,0,30,0,,,,,,,,,,0,0.0,1.0,z,63.0,1.0,2.294664843639333,1.18065738546375,None,364.3309851999984,None,365.53074600000036,None,365.53074600000036,None,365.5300713899982,None,"['z', 'z']","[0.29222609999851556, 1.6342679999979737]",365.53074600000036,None,None,367.52826379999897,None,z,0.29222609999851556,1,1,0.6129032258064516,369.8209975999998,None,None,369.8209975999998,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1108,003,6,1,4,13,0.8,2024-05-11_15h05.16.460,MSI_AV_v3,2022.1.1,59.961672499400535,
31,0,31,0,,,,,,,,,,1,1.0,3.0,z,27.0,1.0,3.31929419319838,1.43470440954152,None,371.62995149999915,None,373.08308970000144,None,373.08308970000144,None,373.0803965899999,None,None,,373.08308970000144,None,['z'],375.06396369999857,None,z,2.7180867999995826,1,1,0.625,378.4052960000008,None,None,378.4052960000008,None,[0.7180867999995826],,,,,,,,,,,,,,,,,,,,,,CBC_1108,003,6,1,4,13,0.8,2024-05-11_15h05.16.460,MSI_AV_v3,2022.1.1,59.961672499400535,
32,0,32,0,,,,,,,,,,3,2.0,3.0,b,63.0,1.0,2.92731383428727,1.34668860557497,None,380.2139820000011,None,381.5796521000011,None,381.5796521000011,None,381.58047309000034,None,None,,381.5796521000011,None,['b'],383.56386460000067,None,b,2.6034227999989525,1,1,0.6363636363636364,386.4752254999985,None,None,386.4752254999985,None,[0.6034227999989525],,,,,,,,,,,,,,,,,,,,,,CBC_1108,003,6,1,4,13,0.8,2024-05-11_15h05.16.460,MSI_AV_v3,2022.1.1,59.961672499400535,
33,0,33,0,,,,,,,,,,0,0.0,1.0,z,63.0,0.0,2.7134565917469198,0.952147612306987,None,388.2803543000009,None,389.24747320000097,None,389.24747320000097,None,389.2468459899996,None,None,,389.24747320000097,None,['b'],391.2306113000013,None,b,3.0400310999975773,0,1,0.6176470588235294,393.94186529999934,None,None,393.94186529999934,None,[1.0400310999975773],,,,,,,,,,,,,,,,,,,,,,CBC_1108,003,6,1,4,13,0.8,2024-05-11_15h05.16.460,MSI_AV_v3,2022.1.1,59.961672499400535,
34,0,34,0,,,,,,,,,,2,1.0,0.0,z,63.0,1.0,2.526044641065533,1.1243895841892,None,395.7477824999987,None,396.8849306999982,None,396.8849306999982,None,396.89721171999844,None,None,,396.8849306999982,None,['z'],398.8641577999988,None,z,3.263349400000152,1,1,0.6285714285714286,401.38352980000127,None,None,401.38352980000127,None,[1.263349400000152],,,,,,,,,,,,,,,,,,,,,,CBC_1108,003,6,1,4,13,0.8,2024-05-11_15h05.16.460,MSI_AV_v3,2022.1.1,59.961672499400535,
35,0,35,0,,,,,,,,,,3,2.0,1.0,b,9.0,1.0,4.72585056748869,1.12425433982333,None,403.19739109999864,None,404.33683630000087,None,404.33683630000087,None,404.34731431999825,None,None,,404.33683630000087,None,"['z', 'z']",406.3140529000011,None,z,2.440736599997763,0,0,0.6111111111111112,411.03409159999865,None,None,411.03409159999865,None,"[0.4407365999977628, 1.6717103000009956]",,,,,,,,,,,,,,,,,,,,,,CBC_1108,003,6,1,4,13,0.8,2024-05-11_15h05.16.460,MSI_AV_v3,2022.1.1,59.961672499400535,
36,0,36,0,,,,,,,,,,2,0.0,1.0,b,63.0,1.0,4.01714354611405,3.33124983260532,None,412.8477404000005,None,416.20356360000005,None,416.20356360000005,None,416.21493001999914,None,None,,416.20356360000005,None,['b'],418.1808119000016,None,b,2.6690807999984827,1,1,0.6216216216216216,422.18201989999943,None,None,422.18201989999943,None,[0.6690807999984827],,,,,,,,,,,,,,,,,,,,,,CBC_1108,003,6,1,4,13,0.8,2024-05-11_15h05.16.460,MSI_AV_v3,2022.1.1,59.961672499400535,
37,0,37,0,,,,,,,,,,1,1.0,3.0,z,27.0,1.0,2.792365600763554,0.974903167432984,None,423.99768100000074,None,424.983464500001,None,424.983464500001,None,424.9810319900011,None,None,,424.983464500001,None,['z'],426.96387790000153,None,z,2.318028099998628,1,1,0.631578947368421,429.740034800001,None,None,429.740034800001,None,[0.318028099998628],,,,,,,,,,,,,,,,,,,,,,CBC_1108,003,6,1,4,13,0.8,2024-05-11_15h05.16.460,MSI_AV_v3,2022.1.1,59.961672499400535,
38,0,38,0,,,,,,,,,,0,1.0,0.0,b,63.0,1.0,2.693348633324513,2.96653053743745,None,431.5477241000008,None,434.52374979999877,None,434.52374979999877,None,434.5301054899996,None,['b'],[1.2473514999983308],434.52374979999877,None,None,436.531775200001,None,b,1.2473514999983308,1,1,0.6410256410256411,439.2380430000012,None,None,439.2380430000012,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1108,003,6,1,4,13,0.8,2024-05-11_15h05.16.460,MSI_AV_v3,2022.1.1,59.961672499400535,
39,0,39,0,,,,,,,,,,3,3.0,2.0,z,63.0,0.0,3.02234236141277,0.917519910446003,None,441.04756859999907,None,441.98440760000085,None,441.98440760000085,None,441.981046790001,None,None,,441.98440760000085,None,['b'],443.9638804999995,None,b,2.8342420000008133,0,1,0.625,446.9805320000014,None,None,446.9805320000014,None,[0.8342420000008133],,,,,,,,,,,,,,,,,,,,,,CBC_1108,003,6,1,4,13,0.8,2024-05-11_15h05.16.460,MSI_AV_v3,2022.1.1,59.961672499400535,
