trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,keys_6.rt,keys_3.rt,response_4.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
31,0,31,0,,,,,,,,,,3,3,2,b,63,1,4.268032915,3.274187802,None,392.9307337,None,396.21988880000026,None,396.21988880000026,None,396.2307323600002,None,['b'],396.21988880000026,None,None,,398.2138007000003,None,b,1.8963020000001052,1,1,0.8125,402.4899289,None,None,402.4899289,None,,,[1.8963020000001052],,,,,,,,,,,,,,,,,,CBC_1001,001,4,2,5,0,0.8,2023-06-08_11h37.59.527,MSI_AV_v3,2022.1.1,60.008197119707226,
32,0,32,0,,,,,,,,,,1,0,1,z,63,1,3.478547126,1.483424551,None,404.49679670000023,None,406.0043718000002,None,406.0043718000002,None,406.0142425600001,None,['z'],406.0043718000002,None,None,,407.99892260000024,None,z,1.2487684000002446,1,1,0.8181818181818182,411.48734000000013,None,None,411.48734000000013,None,,,[1.2487684000002446],,,,,,,,,,,,,,,,,,CBC_1001,001,4,2,5,0,0.8,2023-06-08_11h37.59.527,MSI_AV_v3,2022.1.1,60.008197119707226,
33,0,33,0,,,,,,,,,,0,1,0,z,63,1,4.309752164,2.962224669,None,413.4980071,None,416.48719040000015,None,416.48719040000015,None,416.49781105999995,None,['z'],416.48719040000015,None,None,,418.47979699999996,None,z,1.3421986000003017,1,1,0.8235294117647058,422.77996669999993,None,None,422.77996669999993,None,,,[1.3421986000003017],,,,,,,,,,,,,,,,,,CBC_1001,001,4,2,5,0,0.8,2023-06-08_11h37.59.527,MSI_AV_v3,2022.1.1,60.008197119707226,
34,0,34,0,,,,,,,,,,3,3,2,b,63,0,3.589438522,1.411911144,None,424.7813364000003,None,426.20206830000006,None,426.20206830000006,None,426.19749626999993,None,None,426.20206830000006,None,['b'],[0.7287100000003193],428.1811055000003,None,b,2.7287100000003193,1,0,0.8285714285714286,431.75295540000025,None,None,431.75295540000025,None,,,,,,,,,,,,,,,,,,,,,CBC_1001,001,4,2,5,0,0.8,2023-06-08_11h37.59.527,MSI_AV_v3,2022.1.1,60.008197119707226,
35,0,35,0,,,,,,,,,,2,0,2,z,27,1,1.543156518,1.910349838,None,433.7647245000003,None,435.66846970000006,None,435.66846970000006,None,435.6802544700002,None,['z'],435.66846970000006,None,None,,437.6663944000002,None,z,1.8918876000002456,1,1,0.8333333333333334,439.22118679999994,None,None,439.22118679999994,None,,,[1.8918876000002456],,,,,,,,,,,,,,,,,,CBC_1001,001,4,2,5,0,0.8,2023-06-08_11h37.59.527,MSI_AV_v3,2022.1.1,60.008197119707226,
36,0,36,0,,,,,,,,,,0,1,0,z,63,1,3.884449499,3.388090306,None,441.23145220000015,None,444.6359947000001,None,444.6359947000001,None,444.64796756000027,None,['z'],444.6359947000001,None,None,,446.6347326,None,z,1.1719153999997616,1,1,0.8378378378378378,450.5195031000003,None,None,450.5195031000003,None,,,[1.1719153999997616],,,,,,,,,,,,,,,,,,CBC_1001,001,4,2,5,0,0.8,2023-06-08_11h37.59.527,MSI_AV_v3,2022.1.1,60.008197119707226,
37,0,37,0,,,,,,,,,,1,3,1,z,27,1,2.518459073,3.264468617,None,452.53133019999996,None,455.80540080000037,None,455.80540080000037,None,455.8141005700002,None,['z'],455.80540080000037,None,None,,457.8133425000001,None,z,1.4469811999997546,1,1,0.8421052631578947,460.3385218000003,None,None,460.3385218000003,None,,,[1.4469811999997546],,,,,,,,,,,,,,,,,,CBC_1001,001,4,2,5,0,0.8,2023-06-08_11h37.59.527,MSI_AV_v3,2022.1.1,60.008197119707226,
38,0,38,0,,,,,,,,,,2,2,3,b,63,0,3.501824497,1.086048241,None,462.34775260000015,None,463.43494310000005,None,463.43494310000005,None,463.44681586999997,None,None,463.43494310000005,None,['b'],[0.9618212000000312],465.41476420000026,None,b,2.9618212000000312,1,0,0.8461538461538461,468.89612609999995,None,None,468.89612609999995,None,,,,,,,,,,,,,,,,,,,,,CBC_1001,001,4,2,5,0,0.8,2023-06-08_11h37.59.527,MSI_AV_v3,2022.1.1,60.008197119707226,
39,0,39,0,,,,,,,,,,3,2,3,z,63,1,2.242058058,1.915207301,None,470.897864,None,472.8376191000002,None,472.8376191000002,None,472.8481016600003,None,None,472.8376191000002,None,['b'],[0.3578319000002921],474.8149846000001,None,b,2.357831900000292,0,0,0.825,477.04497870000023,None,None,477.04497870000023,None,,,,,,,,,,,,,,,,,,,,,CBC_1001,001,4,2,5,0,0.8,2023-06-08_11h37.59.527,MSI_AV_v3,2022.1.1,60.008197119707226,
40,0,40,0,,,,,,,,,,1,1,0,b,63,1,3.622505815,2.757001452,None,479.0472501000004,None,481.82065490000014,None,481.82065490000014,None,481.8312572600002,None,['b'],481.82065490000014,None,None,,483.8109022000003,None,b,1.1933988000000681,1,1,0.8292682926829268,487.43794130000015,None,None,487.43794130000015,None,,,[1.1933988000000681],,,,,,,,,,,,,,,,,,CBC_1001,001,4,2,5,0,0.8,2023-06-08_11h37.59.527,MSI_AV_v3,2022.1.1,60.008197119707226,
41,0,41,0,,,,,,,,,,0,0,2,b,27,1,4.176609572,1.883772966,None,489.4482517000001,None,491.35238849999996,None,491.35238849999996,None,491.3644848600001,None,['b'],491.35238849999996,None,None,,493.3496100000002,None,b,1.4079689000000144,1,1,0.8333333333333334,497.5384704000003,None,None,497.5384704000003,None,,,[1.4079689000000144],,,,,,,,,,,,,,,,,,CBC_1001,001,4,2,5,0,0.8,2023-06-08_11h37.59.527,MSI_AV_v3,2022.1.1,60.008197119707226,
42,0,42,0,,,,,,,,,,3,0,3,z,9,1,1.90573091,1.84422311,None,499.5472162000001,None,501.404364,None,501.404364,None,501.41462736000034,None,None,501.404364,None,['z'],[0.7549550999997336],503.3813411000001,None,z,2.7549550999997336,1,1,0.8372093023255814,505.2744418000002,None,None,505.2744418000002,None,,,,,,,,,,,,,,,,,,,,,CBC_1001,001,4,2,5,0,0.8,2023-06-08_11h37.59.527,MSI_AV_v3,2022.1.1,60.008197119707226,
43,0,43,0,,,,,,,,,,2,2,3,b,63,1,3.956662465,2.407383959,None,507.28049750000037,None,509.6876258000002,None,509.6876258000002,None,509.69755427,None,None,509.6876258000002,None,['b'],[0.4829614999998739],511.66489950000005,None,b,2.482961499999874,1,1,0.8409090909090909,515.6064219,None,None,515.6064219,None,,,,,,,,,,,,,,,,,,,,,CBC_1001,001,4,2,5,0,0.8,2023-06-08_11h37.59.527,MSI_AV_v3,2022.1.1,60.008197119707226,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,517.6148881000004,None,,,,,,,,,,,,,,,CBC_1001,001,4,2,5,0,0.8,2023-06-08_11h37.59.527,MSI_AV_v3,2022.1.1,60.008197119707226,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,522.6140493000003,None,None,522.6140493000003,None,,,,,,,,,,CBC_1001,001,4,2,5,0,0.8,2023-06-08_11h37.59.527,MSI_AV_v3,2022.1.1,60.008197119707226,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z,b,hard,"[0, 1, 2, 3]","[0, 1, 2, 3]",0.7272727272727273,0.8181818181818182,0.9090909090909091,0.9090909090909091,,,,,,,,,,,,
