trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,keys_6.rt,response_4.rt,allKeys.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
37,0,37,0,,,,,,,,,,0,1.0,0.0,b,63.0,1.0,3.68371079902891,1.52290599571961,None,404.6942695999969,None,406.1942089399974,406.1942089399974,406.2106896399975,None,[],['b'],[1.8077239000012923],408.19718069999726,None,b,3.8077239000012923,1,1,0.5789473684210527,None,411.8722020999994,None,411.8722020999994,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1108,001,5,3,6,13,0.95,2024-05-11_13h20.10.697,MSI_TV_v3,2022.1.1,60.02065911008614,
38,0,38,0,,,,,,,,,,2,3.0,0.0,z,9.0,1.0,2.91303524001082,3.1424449555106,None,413.6771066000001,None,416.7940219399981,416.7940219399981,416.81094363999836,b,['b'],None,,418.8397683000003,None,b,1.8014776000018173,0,0,0.5641025641025641,None,421.7532601999992,None,421.7532601999992,None,,1.8014776000018173,[1.8014776000018173],,,,,,,,,,,,,,,,,,,,,CBC_1108,001,5,3,6,13,0.95,2024-05-11_13h20.10.697,MSI_TV_v3,2022.1.1,60.02065911008614,
39,0,39,0,,,,,,,,,,3,3.0,2.0,z,63.0,0.0,3.02234236141277,2.96653053743745,None,423.5607330999992,None,426.5111173399975,426.5111173399975,426.527383439997,None,[],['z'],[0.48182290000113426],428.516591399999,None,z,2.4818229000011343,1,0,0.575,None,431.5341322999993,None,431.5341322999993,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1108,001,5,3,6,13,0.95,2024-05-11_13h20.10.697,MSI_TV_v3,2022.1.1,60.02065911008614,
40,0,40,0,,,,,,,,,,2,1.0,0.0,z,63.0,1.0,2.82320408183943,2.10421507306074,None,433.3445956999967,None,435.42723863999817,435.42723863999817,435.4443493399969,None,[],None,,437.43277319999834,None,None,[],0,3,0.5609756097560976,None,440.2559524999997,['z'],440.2559524999997,None,[1.2492958000002545],,,,,,,,,,,,,,,,,,,,,,,CBC_1108,001,5,3,6,13,0.95,2024-05-11_13h20.10.697,MSI_TV_v3,2022.1.1,60.02065911008614,
41,0,41,0,,,,,,,,,,1,3.0,2.0,b,63.0,1.0,2.592312596923728,0.80788063606262,None,442.06093709999914,None,442.8445965399998,442.8445965399998,442.8609340399973,b,['b'],None,,444.87101419999817,None,b,1.9387387999995553,1,1,0.5714285714285714,None,447.47421549999854,None,447.47421549999854,None,,1.9387387999995553,[1.9387387999995553],,,,,,,,,,,,,,,,,,,,,CBC_1108,001,5,3,6,13,0.95,2024-05-11_13h20.10.697,MSI_TV_v3,2022.1.1,60.02065911008614,
42,0,42,0,,,,,,,,,,3,2.0,3.0,b,63.0,1.0,2.433630701072358,1.60731937853708,None,449.27759989999686,None,450.8617082399989,450.8617082399989,450.87770023999946,b,['b'],None,,452.9060288999972,None,b,1.7272682000002533,1,1,0.5813953488372093,None,455.3577949999999,None,455.3577949999999,None,,1.7272682000002533,[1.7272682000002533],,,,,,,,,,,,,,,,,,,,,CBC_1108,001,5,3,6,13,0.95,2024-05-11_13h20.10.697,MSI_TV_v3,2022.1.1,60.02065911008614,
43,0,43,0,,,,,,,,,,1,1.0,3.0,z,27.0,1.0,2.629554641171433,3.1963008326951,None,457.1609365999975,None,460.34425544000004,460.34425544000004,460.36106013999705,None,[],['z'],[0.3929830999986734],462.34847629999786,None,z,2.3929830999986734,1,1,0.5909090909090909,None,464.9821488999987,None,464.9821488999987,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1108,001,5,3,6,13,0.95,2024-05-11_13h20.10.697,MSI_TV_v3,2022.1.1,60.02065911008614,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,466.7947168999999,None,,,,,,,,,,,,,,,,,,CBC_1108,001,5,3,6,13,0.95,2024-05-11_13h20.10.697,MSI_TV_v3,2022.1.1,60.02065911008614,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,471.77787119999994,None,None,471.77787119999994,476.76155639999706,,,,,,,,,,,,,CBC_1108,001,5,3,6,13,0.95,2024-05-11_13h20.10.697,MSI_TV_v3,2022.1.1,60.02065911008614,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z,b,easy,"[0, 1, 2, 3]","[2, 0, 3, 1]",0.5454545454545454,0.45454545454545453,0.6363636363636364,0.7272727272727273,24,2,18,,,,,,,,,,,,
