trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_3.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
35,0,35,0,,,,,,,,,,3,3.0,2.0,z,63.0,1.0,2.629554641171433,2.40378712856304,None,404.4467936000001,None,406.86924440000075,None,406.86924440000075,None,406.88026095999993,None,None,406.86924440000075,None,['b'],[0.8379010000007838],408.84674460000133,None,b,2.837901000000784,0,0,0.6111111111111112,411.45864210000036,None,None,411.45864210000036,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,4,1,3,6,1,0.95,2023-07-20_13h03.59.061,MSI_AV_v3,2022.1.1,60.04293069578279,
36,0,36,0,,,,,,,,,,3,2.0,0.0,b,27.0,1.0,2.496959177995529,1.25817747924478,None,413.2635782000016,None,414.5349021000002,None,414.5349021000002,None,414.54696835999965,None,None,414.5349021000002,None,['z'],[0.5129471000000194],416.5135424,None,z,2.5129471000000194,0,0,0.5945945945945946,418.9954075000005,None,None,418.9954075000005,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,4,1,3,6,1,0.95,2023-07-20_13h03.59.061,MSI_AV_v3,2022.1.1,60.04293069578279,
37,0,37,0,,,,,,,,,,1,1.0,0.0,b,63.0,1.0,2.2759877950103027,1.38289892513751,None,420.79685000000063,None,422.20172750000165,None,422.20172750000165,None,422.2138370599998,None,None,422.20172750000165,None,None,,424.1801963000016,None,[],[],0,3,0.5789473684210527,426.43495860000075,None,['b'],426.43495860000075,None,,,[0.48321040000155335],,,,,,,,,,,,,,,,,,,,,CBC_1026,4,1,3,6,1,0.95,2023-07-20_13h03.59.061,MSI_AV_v3,2022.1.1,60.04293069578279,
38,0,38,0,,,,,,,,,,0,3.0,0.0,z,9.0,1.0,3.02234236141277,2.22427187882546,None,428.2462454000015,None,430.46649490000163,None,430.46649490000163,None,430.462623680001,None,None,430.46649490000163,None,['z'],[0.7832899000004545],432.44689500000095,None,z,2.7832899000004545,1,1,0.5897435897435898,435.46170450000136,None,None,435.46170450000136,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,4,1,3,6,1,0.95,2023-07-20_13h03.59.061,MSI_AV_v3,2022.1.1,60.04293069578279,
39,0,39,0,,,,,,,,,,3,3.0,2.0,z,63.0,0.0,2.693348633324513,0.917519910446003,None,437.2635906000014,None,438.1850099000003,None,438.1850099000003,None,438.19635281999984,None,None,438.1850099000003,None,['b'],[0.7884487999999692],440.16374240000005,None,b,2.788448799999969,0,1,0.575,442.8439511000015,None,None,442.8439511000015,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,4,1,3,6,1,0.95,2023-07-20_13h03.59.061,MSI_AV_v3,2022.1.1,60.04293069578279,
40,0,40,0,,,,,,,,,,0,1.0,0.0,z,63.0,1.0,3.31929419319838,1.94858485820231,None,444.6469347000002,None,446.61917280000125,None,446.61917280000125,None,446.61477641999994,None,None,446.61917280000125,None,['z'],[0.6202259000001504],448.5962159999999,None,z,2.6202259000001504,1,1,0.5853658536585366,451.89497800000026,None,None,451.89497800000026,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,4,1,3,6,1,0.95,2023-07-20_13h03.59.061,MSI_AV_v3,2022.1.1,60.04293069578279,
41,0,41,0,,,,,,,,,,2,3.0,2.0,b,63.0,1.0,2.792365600763554,3.24569326556923,None,453.69647310000073,None,456.95274430000063,None,456.95274430000063,None,456.96392545999987,None,None,456.95274430000063,None,['b'],[0.6373622999999498],458.92948180000167,None,b,2.6373622999999498,1,1,0.5952380952380952,461.70280940000157,None,None,461.70280940000157,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,4,1,3,6,1,0.95,2023-07-20_13h03.59.061,MSI_AV_v3,2022.1.1,60.04293069578279,
42,0,42,0,,,,,,,,,,3,2.0,3.0,b,63.0,1.0,3.35133458220192,2.10421507306074,None,463.5138110000007,None,465.6351030000005,None,465.6351030000005,None,465.6472385600002,None,None,465.6351030000005,None,['b'],[0.87247010000101],467.61372090000077,None,b,2.87247010000101,1,1,0.6046511627906976,470.94590100000096,None,None,470.94590100000096,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,4,1,3,6,1,0.95,2023-07-20_13h03.59.061,MSI_AV_v3,2022.1.1,60.04293069578279,
43,0,43,0,,,,,,,,,,2,1.0,3.0,z,27.0,1.0,2.91303524001082,1.53122835510861,None,472.7473869000005,None,474.2844875999999,None,474.2844875999999,None,474.2963803200004,None,None,474.2844875999999,None,['z'],[0.7309263999995892],476.2638738000005,None,z,2.730926399999589,1,1,0.6136363636363636,479.17430850000164,None,None,479.17430850000164,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,4,1,3,6,1,0.95,2023-07-20_13h03.59.061,MSI_AV_v3,2022.1.1,60.04293069578279,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,480.9804754000015,None,,,,,,,,,,,,,,,,,,CBC_1026,4,1,3,6,1,0.95,2023-07-20_13h03.59.061,MSI_AV_v3,2022.1.1,60.04293069578279,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485.98066260000087,None,None,485.98066260000087,None,,,,,,,,,,,,,CBC_1026,4,1,3,6,1,0.95,2023-07-20_13h03.59.061,MSI_AV_v3,2022.1.1,60.04293069578279,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z,b,easy,"[0, 1, 2, 3]","[0, 1, 3, 2]",0.45454545454545453,0.6363636363636364,0.7272727272727273,0.6363636363636364,27,1,16,,,,,,,,,,,,
