trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
8,0,8,0,,,,,,,,,,0,3.0,1.0,z,27.0,1.0,4.77723667052879,3.1963008326951,None,238.7704317000007,None,241.95390353000147,241.95390353000147,241.97120883000133,None,[],['z'],[0.713592999998582],243.9570046000008,None,z,2.713592999998582,1,1,0.4444444444444444,None,248.73399980000067,None,248.73399980000067,None,,,,,,,,,,,,,,,,,,CBC_1014,003,3,1,6,13,0.95,2023-06-25_12h29.13.889,MSI_TV_v3,2022.1.1,60.01622838836633,
9,0,9,0,,,,,,,,,,1,3.0,2.0,b,63.0,1.0,3.73326136168326,3.40155979865722,None,250.53769000000102,None,253.9205315300016,253.9205315300016,253.93721273000045,None,[],['b'],[0.47679779999816674],255.91736480000145,None,b,2.4767977999981667,1,1,0.5,None,259.65757180000037,None,259.65757180000037,None,,,,,,,,,,,,,,,,,,CBC_1014,003,3,1,6,13,0.95,2023-06-25_12h29.13.889,MSI_TV_v3,2022.1.1,60.01622838836633,
10,0,10,0,,,,,,,,,,0,1.0,0.0,b,63.0,1.0,3.68371079902891,3.1424449555106,None,261.46964480000133,None,264.5872602300016,264.5872602300016,264.6041080300012,None,[],['b'],[0.5190253999990091],266.5856786000004,None,b,2.519025399999009,1,1,0.5454545454545454,None,270.2723472000016,None,270.2723472000016,None,,,,,,,,,,,,,,,,,,CBC_1014,003,3,1,6,13,0.95,2023-06-25_12h29.13.889,MSI_TV_v3,2022.1.1,60.01622838836633,
11,0,11,0,,,,,,,,,,3,0.0,2.0,z,27.0,1.0,4.12485271162806,2.6299100644723,None,272.08732020000025,None,274.70414163000095,274.70414163000095,274.7208594300002,None,[],['b'],[0.7021156999981031],276.7023674000011,None,b,2.702115699998103,0,0,0.5,None,280.83406490000016,None,280.83406490000016,None,,,,,,,,,,,,,,,,,,CBC_1014,003,3,1,6,13,0.95,2023-06-25_12h29.13.889,MSI_TV_v3,2022.1.1,60.01622838836633,
12,0,12,0,,,,,,,,,,1,3.0,2.0,b,63.0,0.0,2.792365600763554,1.90743690794447,None,282.63741050000135,None,284.5198636300003,284.5198636300003,284.53654853000006,None,[],['z'],[1.3667307999985496],286.52180970000154,None,z,3.3667307999985496,0,1,0.46153846153846156,None,289.3081877000004,None,289.3081877000004,None,,,,,,,,,,,,,,,,,,CBC_1014,003,3,1,6,13,0.95,2023-06-25_12h29.13.889,MSI_TV_v3,2022.1.1,60.01622838836633,
13,0,13,0,,,,,,,,,,2,1.0,0.0,z,63.0,1.0,3.71372710086949,0.761758675042088,None,291.12063470000066,None,291.85292833000057,291.85292833000057,291.86980022999995,None,[],['b'],[0.8257477999995899],293.8489249000013,None,b,2.82574779999959,0,0,0.42857142857142855,None,297.56474510000044,None,297.56474510000044,None,,,,,,,,,,,,,,,,,,CBC_1014,003,3,1,6,13,0.95,2023-06-25_12h29.13.889,MSI_TV_v3,2022.1.1,60.01622838836633,
14,0,14,0,,,,,,,,,,3,2.0,3.0,b,63.0,1.0,4.01714354611405,3.06992456303453,None,299.37067190000016,None,302.4198725300004,302.4198725300004,302.4365670300005,None,[],['b'],[0.6926166999983252],304.41515510000136,None,b,2.692616699998325,1,1,0.4666666666666667,None,308.4267767000001,None,308.4267767000001,None,,,,,,,,,,,,,,,,,,CBC_1014,003,3,1,6,13,0.95,2023-06-25_12h29.13.889,MSI_TV_v3,2022.1.1,60.01622838836633,
15,0,15,0,,,,,,,,,,2,0.0,2.0,b,27.0,1.0,2.666404967794728,0.77703640172831,None,310.2373296000005,None,310.987934330001,310.987934330001,311.00394133000117,None,[],['z'],[0.2984989999986283],312.9903273,None,z,2.2984989999986283,0,0,0.4375,None,315.6655083000005,None,315.6655083000005,None,,,,,,,,,,,,,,,,,,CBC_1014,003,3,1,6,13,0.95,2023-06-25_12h29.13.889,MSI_TV_v3,2022.1.1,60.01622838836633,
16,0,16,0,,,,,,,,,,1,2.0,3.0,z,63.0,1.0,3.6438386551209,1.64421109900286,None,317.46986910000123,None,319.0872761300008,319.0872761300008,319.10412683000067,None,[],['z'],[0.772978899998634],321.09176950000074,None,z,2.772978899998634,1,1,0.47058823529411764,None,324.7444196000015,None,324.7444196000015,None,,,,,,,,,,,,,,,,,,CBC_1014,003,3,1,6,13,0.95,2023-06-25_12h29.13.889,MSI_TV_v3,2022.1.1,60.01622838836633,
17,0,17,0,,,,,,,,,,1,3.0,2.0,b,63.0,1.0,3.31929419319838,0.80788063606262,None,326.55451790000006,None,327.3374293300014,327.3374293300014,327.35408003000083,None,[],['z'],[0.3610259999986738],329.3409832000016,None,z,2.361025999998674,0,0,0.4444444444444444,None,332.6691232000012,None,332.6691232000012,None,,,,,,,,,,,,,,,,,,CBC_1014,003,3,1,6,13,0.95,2023-06-25_12h29.13.889,MSI_TV_v3,2022.1.1,60.01622838836633,
18,0,18,0,,,,,,,,,,0,3.0,1.0,z,27.0,1.0,3.3728785608729996,2.09887870490381,None,334.4706591000013,None,336.5541834300013,336.5541834300013,336.57122093000106,None,[],['b'],[1.0019579999989219],338.55796030000056,None,b,3.001957999998922,0,0,0.42105263157894735,None,341.92453710000154,None,341.92453710000154,None,,,,,,,,,,,,,,,,,,CBC_1014,003,3,1,6,13,0.95,2023-06-25_12h29.13.889,MSI_TV_v3,2022.1.1,60.01622838836633,
19,0,19,0,,,,,,,,,,1,0.0,3.0,z,9.0,1.0,2.693348633324513,3.4543169006169,None,343.73754929999996,None,347.17074323000014,347.17074323000014,347.1878105300013,None,[],['z'],[0.34731149999788613],349.1740254000015,None,z,2.347311499997886,1,1,0.45,None,351.8732353000014,None,351.8732353000014,None,,,,,,,,,,,,,,,,,,CBC_1014,003,3,1,6,13,0.95,2023-06-25_12h29.13.889,MSI_TV_v3,2022.1.1,60.01622838836633,
20,0,20,0,,,,,,,,,,0,1.0,0.0,b,63.0,1.0,3.35133458220192,1.43470440954152,None,353.6862308,None,355.1040306300012,355.1040306300012,355.12064603000107,None,[],['z'],[0.9786681999976281],357.1082952000015,None,z,2.978668199997628,0,0,0.42857142857142855,None,360.4701511000003,None,360.4701511000003,None,,,,,,,,,,,,,,,,,,CBC_1014,003,3,1,6,13,0.95,2023-06-25_12h29.13.889,MSI_TV_v3,2022.1.1,60.01622838836633,
21,0,21,0,,,,,,,,,,2,1.0,0.0,z,63.0,1.0,4.72585056748869,0.917519910446003,None,362.2706752000013,None,363.1707573300002,363.1707573300002,363.18741493000124,None,[],['z'],[0.34039209999900777],365.1733935000011,None,z,2.3403920999990078,1,1,0.45454545454545453,None,369.89234600000054,None,369.89234600000054,None,,,,,,,,,,,,,,,,,,CBC_1014,003,3,1,6,13,0.95,2023-06-25_12h29.13.889,MSI_TV_v3,2022.1.1,60.01622838836633,
22,0,22,0,,,,,,,,,,3,2.0,3.0,b,63.0,1.0,4.53337421950507,1.36309078069689,None,371.7041416000011,None,373.05408172999995,373.05408172999995,373.0713434300007,None,[],['b'],[0.7238220999988698],375.05804810000154,None,b,2.72382209999887,1,1,0.4782608695652174,None,379.6057980000005,None,379.6057980000005,None,,,,,,,,,,,,,,,,,,CBC_1014,003,3,1,6,13,0.95,2023-06-25_12h29.13.889,MSI_TV_v3,2022.1.1,60.01622838836633,
