trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_4.rt,allKeys.rt,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_6.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
35,0,35,0,,,,,,,,,,3,1,0,b,63,1,2.496959177995529,2.96653053743745,None,493.6723772000005,None,496.6222379200006,496.6222379200006,496.6390588200009,b,['b'],1.6656371999979456,[1.6656371999979456],None,498.6661808000008,None,b,1.6656371999979456,1,1,0.3888888888888889,None,501.1504388000012,None,501.1504388000012,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1087,003,2,3,6,16,0.95,2024-03-23_11h27.59.968,MSI_TV_v3,2022.1.1,60.347116615266756,
36,0,36,0,,,,,,,,,,2,0,1,b,63,0,3.3728785608729996,0.77703640172831,None,502.95532040000035,None,503.7059229200002,503.7059229200002,503.72234332000136,None,[],,,['z'],505.7114388000009,None,z,2.9943767999993725,0,1,0.3783783783783784,None,509.09608050000134,None,509.09608050000134,None,[0.9943767999993725],,,,,,,,,,,,,,,,,,,,,,,CBC_1087,003,2,3,6,16,0.95,2024-03-23_11h27.59.968,MSI_TV_v3,2022.1.1,60.347116615266756,
37,0,37,0,,,,,,,,,,3,0,1,z,63,1,2.666404967794728,3.4543169006169,None,510.90515120000055,None,514.3389391200014,514.3389391200014,514.3553799200015,b,['b'],1.259475899998506,[1.259475899998506],None,516.3810211,None,b,1.259475899998506,0,0,0.3684210526315789,None,519.0488912000001,None,519.0488912000001,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1087,003,2,3,6,16,0.95,2024-03-23_11h27.59.968,MSI_TV_v3,2022.1.1,60.347116615266756,
38,0,38,0,,,,,,,,,,1,1,3,z,27,1,3.73326136168326,3.1424449555106,None,520.855774900001,None,523.9719607200002,523.9719607200002,523.9889559200017,None,[],,,['b'],525.9757265000007,None,b,2.3535406999999395,0,0,0.358974358974359,None,529.7061769000011,None,529.7061769000011,None,[0.35354069999993953],,,,,,,,,,,,,,,,,,,,,,,CBC_1087,003,2,3,6,16,0.95,2024-03-23_11h27.59.968,MSI_TV_v3,2022.1.1,60.347116615266756,
39,0,39,0,,,,,,,,,,0,3,2,z,63,1,3.68371079902891,1.18065738546375,None,531.5055920000013,None,532.6722785200016,532.6722785200016,532.6890050200016,b,['b'],1.4160546000002796,[1.4160546000002796],None,534.7154874000007,None,b,1.4160546000002796,0,0,0.35,None,538.3983034000012,None,538.3983034000012,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1087,003,2,3,6,16,0.95,2024-03-23_11h27.59.968,MSI_TV_v3,2022.1.1,60.347116615266756,
40,0,40,0,,,,,,,,,,2,0,2,b,27,1,4.82531807167306,0.952147612306987,None,540.2054608000017,None,541.1390484200017,541.1390484200017,541.1557013200015,z,['z'],1.4698493999985658,[1.4698493999985658],None,543.1816193000013,None,z,1.4698493999985658,0,0,0.34146341463414637,None,548.0006036000013,None,548.0006036000013,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1087,003,2,3,6,16,0.95,2024-03-23_11h27.59.968,MSI_TV_v3,2022.1.1,60.347116615266756,
41,0,41,0,,,,,,,,,,1,2,3,z,63,1,4.61004669244928,1.43470440954152,None,549.8057196000009,None,551.2223053200012,551.2223053200012,551.2395396200006,None,[],,,['b'],553.2264632000006,None,b,3.9660270999993372,0,0,0.3333333333333333,None,557.8377415000014,None,557.8377415000014,None,[1.9660270999993372],,,,,,,,,,,,,,,,,,,,,,,CBC_1087,003,2,3,6,16,0.95,2024-03-23_11h27.59.968,MSI_TV_v3,2022.1.1,60.347116615266756,
42,0,42,0,,,,,,,,,,3,1,3,b,27,1,4.72585056748869,1.38289892513751,None,559.6394304000005,None,561.0062718200004,561.0062718200004,561.0225131200002,b,['b'],1.7137796000006347,[1.7137796000006347],None,563.049555900001,None,b,1.7137796000006347,1,1,0.3488372093023256,None,567.7686547000012,None,567.7686547000012,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1087,003,2,3,6,16,0.95,2024-03-23_11h27.59.968,MSI_TV_v3,2022.1.1,60.347116615266756,
43,0,43,0,,,,,,,,,,0,3,2,z,63,1,2.91303524001082,0.761758675042088,None,569.5723885000007,None,570.3058520200009,570.3058520200009,570.322378820001,z,['z'],1.9850775999984762,[1.9850775999984762],None,572.3479012000007,None,z,1.9850775999984762,1,1,0.36363636363636365,None,575.2528866000011,None,575.2528866000011,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1087,003,2,3,6,16,0.95,2024-03-23_11h27.59.968,MSI_TV_v3,2022.1.1,60.347116615266756,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,577.0556757000013,None,,,,,,,,,,,,,,,,,,CBC_1087,003,2,3,6,16,0.95,2024-03-23_11h27.59.968,MSI_TV_v3,2022.1.1,60.347116615266756,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,582.0381340000004,None,None,582.0381340000004,587.0061022000009,,,,,,,,,,,,,CBC_1087,003,2,3,6,16,0.95,2024-03-23_11h27.59.968,MSI_TV_v3,2022.1.1,60.347116615266756,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z,b,hard,"[0, 1, 2, 3]","[2, 3, 0, 1]",0.45454545454545453,0.18181818181818182,0.5454545454545454,0.2727272727272727,16,1,27,,,,,,,,,,,,
