trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.rt,keys_6.started,keys_6.stopped,response_4.rt,allKeys.rt,response_5.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
18,0,18,0,,,,,,,,,,0,0.0,1.0,z,63.0,1.0,4.72585056748869,1.95130344756745,None,626.0197109000001,None,627.9532002899999,627.9532002899999,627.9696355899999,None,[],['b'],629.9504323000001,None,b,3.00174190000007,0,0,0.5263157894736842,None,634.6715484000001,None,,634.6715484000001,None,,,[1.00174190000007],,,,,,,,,,,,,,,,,,CBC_1014,001,4,3,4,13,0.95,2023-06-25_10h42.28.156,MSI_TV_v3,2022.1.1,59.978072016931435,
19,0,19,0,,,,,,,,,,2,0.0,2.0,b,27.0,1.0,4.01714354611405,2.10421507306074,None,636.4860395000001,None,638.5695040899999,638.5695040899999,638.5861629899999,None,[],['z'],640.5728870000003,None,z,2.6559252000001834,0,0,0.5,None,644.5984342000002,None,,644.5984342000002,None,,,[0.6559252000001834],,,,,,,,,,,,,,,,,,CBC_1014,001,4,3,4,13,0.95,2023-06-25_10h42.28.156,MSI_TV_v3,2022.1.1,59.978072016931435,
20,0,20,0,,,,,,,,,,1,3.0,0.0,b,9.0,1.0,2.91303524001082,2.09887870490381,None,646.4027246,None,648.4862596900001,648.4862596900001,648.5028503900002,None,[],['b'],650.4866746000002,None,b,2.8950104000000465,1,1,0.5238095238095238,None,653.4010550000003,None,,653.4010550000003,None,,,[0.8950104000000465],,,,,,,,,,,,,,,,,,CBC_1014,001,4,3,4,13,0.95,2023-06-25_10h42.28.156,MSI_TV_v3,2022.1.1,59.978072016931435,
21,0,21,0,,,,,,,,,,3,3.0,2.0,z,63.0,1.0,4.11514536789087,1.21250262048173,None,655.2019141000001,None,656.3863843900002,656.3863843900002,656.4026261900002,None,[],['z'],658.3903202000001,None,z,2.6057724000002054,1,1,0.5454545454545454,None,662.5113722000001,None,,662.5113722000001,None,,,[0.6057724000002054],,,,,,,,,,,,,,,,,,CBC_1014,001,4,3,4,13,0.95,2023-06-25_10h42.28.156,MSI_TV_v3,2022.1.1,59.978072016931435,
22,0,22,0,,,,,,,,,,0,1.0,3.0,b,27.0,1.0,4.61004669244928,1.53122835510861,None,664.3198310000002,None,665.8352234900002,665.8352234900002,665.8519514900003,None,[],['b'],667.8309494999999,None,b,2.766054499999882,1,1,0.5652173913043478,None,672.4314797000002,None,,672.4314797000002,None,,,[0.766054499999882],,,,,,,,,,,,,,,,,,CBC_1014,001,4,3,4,13,0.95,2023-06-25_10h42.28.156,MSI_TV_v3,2022.1.1,59.978072016931435,
23,0,23,0,,,,,,,,,,3,2.0,3.0,b,63.0,1.0,2.342239579230602,1.53243550275999,None,674.2489974,None,675.7690130899999,675.7690130899999,675.7853572900002,None,[],['z'],677.7638244,None,z,2.8598722000001544,0,0,0.5416666666666666,None,680.1009678,None,,680.1009678,None,,,[0.8598722000001544],,,,,,,,,,,,,,,,,,CBC_1014,001,4,3,4,13,0.95,2023-06-25_10h42.28.156,MSI_TV_v3,2022.1.1,59.978072016931435,
24,0,24,0,,,,,,,,,,1,3.0,2.0,b,63.0,1.0,3.26539063535182,2.6299100644723,None,681.9030212000002,None,684.5194971899999,684.5194971899999,684.5362645900003,None,[],['b'],686.5222893,None,b,3.6755686000001333,1,1,0.56,None,689.7921723,None,,689.7921723,None,,,[1.6755686000001333],,,,,,,,,,,,,,,,,,CBC_1014,001,4,3,4,13,0.95,2023-06-25_10h42.28.156,MSI_TV_v3,2022.1.1,59.978072016931435,
25,0,25,0,,,,,,,,,,0,0.0,1.0,z,63.0,1.0,4.46924002178158,1.38289892513751,None,691.6028802000001,None,692.9696050900001,692.9696050900001,692.98627759,z,['z'],None,695.0116891000002,None,z,1.998482999999851,1,1,0.5769230769230769,None,699.4816842999999,None,,699.4816842999999,None,1.998482999999851,[1.998482999999851],,,,,,,,,,,,,,,,,,,CBC_1014,001,4,3,4,13,0.95,2023-06-25_10h42.28.156,MSI_TV_v3,2022.1.1,59.978072016931435,
26,0,26,0,,,,,,,,,,2,3.0,0.0,z,9.0,1.0,2.6391747348430608,3.4543169006169,None,701.2855281000002,None,704.7195535899999,704.7195535899999,704.7363962900002,None,[],['z'],706.7181881000001,None,z,2.8744715000002543,1,1,0.5925925925925926,None,709.3576655000002,None,,709.3576655000002,None,,,[0.8744715000002543],,,,,,,,,,,,,,,,,,CBC_1014,001,4,3,4,13,0.95,2023-06-25_10h42.28.156,MSI_TV_v3,2022.1.1,59.978072016931435,
27,0,27,0,,,,,,,,,,1,3.0,2.0,b,63.0,1.0,2.792365600763554,2.15533949826702,None,711.1696425,None,713.3034408900002,713.3034408900002,713.3198773900002,None,[],['b'],715.3063637999999,None,b,2.8727561000000605,1,1,0.6071428571428571,None,718.0956277999999,None,,718.0956277999999,None,,,[0.8727561000000605],,,,,,,,,,,,,,,,,,CBC_1014,001,4,3,4,13,0.95,2023-06-25_10h42.28.156,MSI_TV_v3,2022.1.1,59.978072016931435,
