trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_6.rt,keys_7.keys,keys_7.rt,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
8,0,8,0,,,,,,,,,,3,1.0,3.0,b,27.0,1.0,2.433630701072358,3.40155979865722,None,159.93841059999977,None,163.35938429999987,None,163.35938429999987,None,163.37127214000046,None,None,163.35938429999987,None,['b'],[0.509906499999488],165.33808379999937,None,b,2.509906499999488,1,1,0.7777777777777778,167.7618251999993,None,None,167.7618251999993,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1111,002,3,3,2,16,0.95,2024-06-04_14h44.38.349,MSI_AV_v3,2022.1.1,59.931486324881014,
9,0,9,0,,,,,,,,,,1,2.0,3.0,r,63.0,1.0,2.517541937862754,2.6299100644723,None,169.57154899999932,None,172.2078662999993,None,172.2078662999993,None,172.20478733000036,None,None,172.2078662999993,None,['r'],[0.8826864999991813],174.1876446999995,None,r,2.8826864999991813,1,1,0.8,176.69256309999946,None,None,176.69256309999946,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1111,002,3,3,2,16,0.95,2024-06-04_14h44.38.349,MSI_AV_v3,2022.1.1,59.931486324881014,
10,0,10,0,,,,,,,,,,3,0.0,1.0,r,63.0,1.0,2.666404967794728,1.25920145784721,None,178.5051442999993,None,179.77704600000015,None,179.77704600000015,None,179.77130482999982,None,None,179.77704600000015,None,['r'],[0.5267643999995926],181.75392239999928,None,r,2.5267643999995926,1,1,0.8181818181818182,184.39663279999968,None,None,184.39663279999968,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1111,002,3,3,2,16,0.95,2024-06-04_14h44.38.349,MSI_AV_v3,2022.1.1,59.931486324881014,
11,0,11,0,,,,,,,,,,0,2.0,0.0,b,27.0,1.0,2.294664843639333,0.80788063606262,None,186.20512509999935,None,187.02791709999929,None,187.02791709999929,None,187.0379717399999,None,None,187.02791709999929,None,['b'],[0.9346604000002117],189.00511409999945,None,b,2.9346604000002117,1,1,0.8333333333333334,191.29809159999968,None,None,191.29809159999968,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1111,002,3,3,2,16,0.95,2024-06-04_14h44.38.349,MSI_AV_v3,2022.1.1,59.931486324881014,
12,0,12,0,,,,,,,,,,1,2.0,3.0,r,63.0,0.0,2.693348633324513,1.96568735158996,None,193.10509289999936,None,195.0950888999996,None,195.0950888999996,None,195.1055629399996,None,None,195.0950888999996,None,['r'],[1.202448099999856],197.07067300000017,None,r,3.202448099999856,1,0,0.8461538461538461,199.75545759999932,None,None,199.75545759999932,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1111,002,3,3,2,16,0.95,2024-06-04_14h44.38.349,MSI_AV_v3,2022.1.1,59.931486324881014,
13,0,13,0,,,,,,,,,,2,0.0,1.0,b,63.0,1.0,2.6391747348430608,1.52290599571961,None,201.55514820000008,None,203.09221089999937,None,203.09221089999937,None,203.08876502999973,None,None,203.09221089999937,None,['b'],[1.2219469000001482],205.0717668999996,None,b,3.221946900000148,1,1,0.8571428571428571,207.69991899999968,None,None,207.69991899999968,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1111,002,3,3,2,16,0.95,2024-06-04_14h44.38.349,MSI_AV_v3,2022.1.1,59.931486324881014,
14,0,14,0,,,,,,,,,,0,3.0,2.0,r,63.0,1.0,2.496959177995529,0.974903167432984,None,209.5051954999999,None,210.4899005999996,None,210.4899005999996,None,210.48816493000012,None,None,210.4899005999996,None,['b'],[0.5822449999996024],212.47056280000015,None,b,2.5822449999996024,0,0,0.8,214.94823859999997,None,None,214.94823859999997,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1111,002,3,3,2,16,0.95,2024-06-04_14h44.38.349,MSI_AV_v3,2022.1.1,59.931486324881014,
15,0,15,0,,,,,,,,,,2,2.0,0.0,r,27.0,1.0,2.91303524001082,2.10421507306074,None,216.75503919999937,None,218.87828420000005,None,218.87828420000005,None,218.88825153999986,None,None,218.87828420000005,None,['r'],[0.5504980000005162],220.8553081,None,r,2.550498000000516,1,1,0.8125,223.75001599999996,None,None,223.75001599999996,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1111,002,3,3,2,16,0.95,2024-06-04_14h44.38.349,MSI_AV_v3,2022.1.1,59.931486324881014,
16,0,16,0,,,,,,,,,,1,3.0,2.0,b,63.0,1.0,2.526044641065533,2.22427187882546,None,225.55519269999968,None,227.77363409999998,None,227.77363409999998,None,227.77069611999957,None,None,227.77363409999998,None,['r'],[0.8942002000003413],229.75507599999946,None,r,2.8942002000003413,0,0,0.7647058823529411,232.26435309999943,None,None,232.26435309999943,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1111,002,3,3,2,16,0.95,2024-06-04_14h44.38.349,MSI_AV_v3,2022.1.1,59.931486324881014,
17,0,17,0,,,,,,,,,,1,2.0,3.0,r,63.0,1.0,2.592312596923728,3.1963008326951,None,234.0717264999994,None,237.2949767,None,237.2949767,None,237.30574393999976,None,None,237.2949767,None,['r'],[1.5192630000001373],239.2715236999993,None,r,3.5192630000001373,1,1,0.7777777777777778,241.8620259999998,None,None,241.8620259999998,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1111,002,3,3,2,16,0.95,2024-06-04_14h44.38.349,MSI_AV_v3,2022.1.1,59.931486324881014,
18,0,18,0,,,,,,,,,,3,1.0,3.0,b,27.0,1.0,4.46924002178158,1.21250262048173,None,243.6719267999997,None,244.8902207000001,None,244.8902207000001,None,244.8884106299998,None,None,244.8902207000001,None,['b'],[1.144782700000178],246.8718928999997,None,b,3.144782700000178,1,1,0.7894736842105263,251.34172039999976,None,None,251.34172039999976,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1111,002,3,3,2,16,0.95,2024-06-04_14h44.38.349,MSI_AV_v3,2022.1.1,59.931486324881014,
