trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.rt,response_4.started,response_4.stopped,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
8,0,8,0,,,,,,,,,,0,0.0,2.0,z,27.0,1.0,2.078483356,2.962224669,None,311.75359840000056,None,314.72462070000074,None,314.72462070000074,None,314.7210898300009,None,None,,314.72462070000074,None,['b'],316.70422360000157,None,b,2.4049142000003485,0,0,0.3333333333333333,318.77402190000066,None,None,318.77402190000066,None,[0.4049142000003485],,,,,,,,,,,,,,,,,,CBC_1006,3,2,2,4,8,0.95,2023-06-03_13h33.59.045,MSI_AV_v3,2022.1.1,59.856046208693954,
9,0,9,0,,,,,,,,,,3,3.0,2.0,b,63.0,1.0,4.334629553,3.264468617,None,320.78806710000026,None,324.0760306000011,None,324.0760306000011,None,324.0879973400006,None,None,,324.0760306000011,None,['z'],326.0546456000011,None,z,2.2401840000002267,0,0,0.3,330.37574620000123,None,None,330.37574620000123,None,[0.24018400000022666],,,,,,,,,,,,,,,,,,CBC_1006,3,2,2,4,8,0.95,2023-06-03_13h33.59.045,MSI_AV_v3,2022.1.1,59.856046208693954,
10,0,10,0,,,,,,,,,,2,0.0,1.0,z,63.0,1.0,2.232488062,0.789129603,None,332.3877510000002,None,333.19434790000014,None,333.19434790000014,None,333.2048727400015,None,['b'],[1.7305804999978136],333.19434790000014,None,None,335.18720850000136,None,b,1.7305804999978136,0,0,0.2727272727272727,337.4287520000016,None,None,337.4287520000016,None,,,,,,,,,,,,,,,,,,,CBC_1006,3,2,2,4,8,0.95,2023-06-03_13h33.59.045,MSI_AV_v3,2022.1.1,59.856046208693954,
11,0,11,0,,,,,,,,,,1,1.0,0.0,z,63.0,1.0,2.67601813,2.349749758,None,339.4380374000011,None,341.8099904999999,None,341.8099904999999,None,341.8212547400017,None,None,,341.8099904999999,None,['b'],343.7880365000001,None,b,2.7085155000004306,0,0,0.25,346.4543371,None,None,346.4543371,None,[0.7085155000004306],,,,,,,,,,,,,,,,,,CBC_1006,3,2,2,4,8,0.95,2023-06-03_13h33.59.045,MSI_AV_v3,2022.1.1,59.856046208693954,
12,0,12,0,,,,,,,,,,3,3.0,2.0,b,63.0,1.0,2.949122761,1.411911144,None,348.4545396000012,None,349.8744338000015,None,349.8744338000015,None,349.88712293000117,None,None,,349.8744338000015,None,['z'],351.8547187000004,None,z,2.5463274999983696,0,0,0.23076923076923078,354.7932417000011,None,None,354.7932417000011,None,[0.5463274999983696],,,,,,,,,,,,,,,,,,CBC_1006,3,2,2,4,8,0.95,2023-06-03_13h33.59.045,MSI_AV_v3,2022.1.1,59.856046208693954,
13,0,13,0,,,,,,,,,,0,0.0,2.0,z,27.0,1.0,3.622505815,2.757001452,None,356.8049740000006,None,359.5735093000003,None,359.5735093000003,None,359.5712280300004,None,None,,359.5735093000003,None,['b'],361.55472400000144,None,b,2.432763900000282,0,0,0.21428571428571427,365.15753360000053,None,None,365.15753360000053,None,[0.43276390000028186],,,,,,,,,,,,,,,,,,CBC_1006,3,2,2,4,8,0.95,2023-06-03_13h33.59.045,MSI_AV_v3,2022.1.1,59.856046208693954,
14,0,14,0,,,,,,,,,,1,1.0,0.0,z,63.0,1.0,1.899747326,2.502774076,None,367.1717021000004,None,369.69121200000154,None,369.69121200000154,None,369.6879929300003,None,None,,369.69121200000154,None,['b'],371.6712639000016,None,b,3.0758832999999868,0,0,0.2,373.55800270000145,None,None,373.55800270000145,None,[1.0758832999999868],,,,,,,,,,,,,,,,,,CBC_1006,3,2,2,4,8,0.95,2023-06-03_13h33.59.045,MSI_AV_v3,2022.1.1,59.856046208693954,
15,0,15,0,,,,,,,,,,2,3.0,1.0,z,27.0,1.0,1.758742576,1.142638656,None,375.57072530000005,None,376.7259941000011,None,376.7259941000011,None,376.73791814000106,None,None,,376.7259941000011,None,['b'],378.7048330000016,None,b,2.632524699998612,0,0,0.1875,380.4420996000008,None,None,380.4420996000008,None,[0.632524699998612],,,,,,,,,,,,,,,,,,CBC_1006,3,2,2,4,8,0.95,2023-06-03_13h33.59.045,MSI_AV_v3,2022.1.1,59.856046208693954,
16,0,16,0,,,,,,,,,,0,2.0,3.0,b,63.0,1.0,3.278108735,1.554037824,None,382.4548896000015,None,384.02579980000155,None,384.02579980000155,None,384.0214902300004,None,None,,384.02579980000155,None,['z'],386.00494940000135,None,z,2.560873599999468,0,0,0.17647058823529413,389.2740412000003,None,None,389.2740412000003,None,[0.5608735999994678],,,,,,,,,,,,,,,,,,CBC_1006,3,2,2,4,8,0.95,2023-06-03_13h33.59.045,MSI_AV_v3,2022.1.1,59.856046208693954,
17,0,17,0,,,,,,,,,,3,3.0,2.0,b,63.0,0.0,4.21669271,2.297139377,None,391.2880513,None,393.5916803,None,393.5916803,None,393.6042591300002,None,None,,393.5916803,None,['z'],395.5880436000007,None,z,3.059781199999634,0,1,0.16666666666666666,399.7920458000008,None,None,399.7920458000008,None,[1.0597811999996338],,,,,,,,,,,,,,,,,,CBC_1006,3,2,2,4,8,0.95,2023-06-03_13h33.59.045,MSI_AV_v3,2022.1.1,59.856046208693954,
18,0,18,0,,,,,,,,,,2,0.0,1.0,z,63.0,1.0,3.501824497,2.234398566,None,401.8048940000008,None,404.06307630000083,None,404.06307630000083,None,404.07185654000205,None,['b'],[1.719290600000022],404.06307630000083,None,None,406.04176160000134,None,b,1.719290600000022,0,0,0.15789473684210525,409.54393770000024,None,None,409.54393770000024,None,,,,,,,,,,,,,,,,,,,CBC_1006,3,2,2,4,8,0.95,2023-06-03_13h33.59.045,MSI_AV_v3,2022.1.1,59.856046208693954,
19,0,19,0,,,,,,,,,,1,0.0,2.0,b,27.0,1.0,1.595506577,1.53162701,None,411.5542738000004,None,413.0934347000002,None,413.0934347000002,None,413.10486844000116,None,None,,413.0934347000002,None,['z'],415.0716714000009,None,z,2.175308399999267,0,0,0.15,416.6522316999999,None,None,416.6522316999999,None,[0.17530839999926684],,,,,,,,,,,,,,,,,,CBC_1006,3,2,2,4,8,0.95,2023-06-03_13h33.59.045,MSI_AV_v3,2022.1.1,59.856046208693954,
20,0,20,0,,,,,,,,,,3,3.0,0.0,b,9.0,1.0,2.917714675,1.75396268,None,418.65499230000023,None,420.42605530000037,None,420.42605530000037,None,420.43809414000134,None,None,,420.42605530000037,None,['b'],422.4048403000015,None,b,2.5401055999991513,1,1,0.19047619047619047,425.31281750000016,None,None,425.31281750000016,None,[0.5401055999991513],,,,,,,,,,,,,,,,,,CBC_1006,3,2,2,4,8,0.95,2023-06-03_13h33.59.045,MSI_AV_v3,2022.1.1,59.856046208693954,
21,0,21,0,,,,,,,,,,0,3.0,2.0,z,63.0,1.0,3.884449499,2.7801224,None,427.3216633000011,None,430.12610160000077,None,430.12610160000077,None,430.1217651300003,None,None,,430.12610160000077,None,['z'],432.10448890000043,None,z,2.6387932999987243,1,1,0.22727272727272727,435.9649590000008,None,None,435.9649590000008,None,[0.6387932999987243],,,,,,,,,,,,,,,,,,CBC_1006,3,2,2,4,8,0.95,2023-06-03_13h33.59.045,MSI_AV_v3,2022.1.1,59.856046208693954,
22,0,22,0,,,,,,,,,,2,1.0,3.0,b,27.0,1.0,1.6718976049999998,1.448890429,None,437.97171620000154,None,439.42642720000003,None,439.42642720000003,None,439.43730533000144,None,['b'],[1.68570550000004],439.42642720000003,None,None,441.42225450000115,None,b,1.68570550000004,1,1,0.2608695652173913,443.09584330000143,None,None,443.09584330000143,None,,,,,,,,,,,,,,,,,,,CBC_1006,3,2,2,4,8,0.95,2023-06-03_13h33.59.045,MSI_AV_v3,2022.1.1,59.856046208693954,
23,0,23,0,,,,,,,,,,0,2.0,3.0,b,63.0,1.0,2.088920167,2.935368129,None,445.10513490000085,None,448.05754590000106,None,448.05754590000106,None,448.0551155300009,None,None,,448.05754590000106,None,['b'],450.0382845000004,None,b,3.927321099998153,1,1,0.2916666666666667,452.10718070000075,None,None,452.10718070000075,None,[1.927321099998153],,,,,,,,,,,,,,,,,,CBC_1006,3,2,2,4,8,0.95,2023-06-03_13h33.59.045,MSI_AV_v3,2022.1.1,59.856046208693954,
