trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_4.rt,allKeys.rt,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
18,0,18,0,,,,,,,,,,2,2,0,z,27,1,4.52047235037039,1.25920145784721,None,266.40929459999825,None,267.6428610199979,267.6428610199979,267.6594140199992,None,[],,,['b'],269.64488119999805,None,b,2.6140389000029245,0,0,0.631578947368421,None,274.1639925999989,None,274.1639925999989,None,[0.6140389000029245],,,,,,,,,,,,,,,,,,CBC_1016,4,3,2,1,15,0.95,2023-06-25_16h33.10.466,MSI_TV_v3,2022.1.1,59.97156148673703,
19,0,19,0,,,,,,,,,,0,3,2,b,63,1,4.01714354611405,1.12425433982333,None,275.9758776999988,None,277.0748597199996,277.0748597199996,277.09196931999725,None,[],,,['b'],279.0713408999982,None,b,2.836809299999004,1,1,0.65,None,283.0858499999995,None,283.0858499999995,None,[0.836809299999004],,,,,,,,,,,,,,,,,,CBC_1016,4,3,2,1,15,0.95,2023-06-25_16h33.10.466,MSI_TV_v3,2022.1.1,59.97156148673703,
20,0,20,0,,,,,,,,,,1,3,1,z,27,1,3.35133458220192,1.21250262048173,None,284.89176769999904,None,286.07585341999913,286.07585341999913,286.0925525199997,None,[],,,['z'],288.0824004999995,None,z,3.4990538000020024,1,1,0.6666666666666666,None,291.41895999999906,None,291.41895999999906,None,[1.4990538000020024],,,,,,,,,,,,,,,,,,CBC_1016,4,3,2,1,15,0.95,2023-06-25_16h33.10.466,MSI_TV_v3,2022.1.1,59.97156148673703,
21,0,21,0,,,,,,,,,,3,3,2,z,63,1,4.190022164497369,0.974903167432984,None,293.2258901999994,None,294.17590701999836,294.17590701999836,294.1932397199995,None,[],,,['z'],296.1798514999973,None,z,2.345223600001191,1,1,0.6818181818181818,None,300.3824518000001,None,300.3824518000001,None,[0.3452236000011908],,,,,,,,,,,,,,,,,,CBC_1016,4,3,2,1,15,0.95,2023-06-25_16h33.10.466,MSI_TV_v3,2022.1.1,59.97156148673703,
22,0,22,0,,,,,,,,,,2,0,1,b,63,1,2.342239579230602,1.43470440954152,None,302.1925018999973,None,303.60961301999816,303.60961301999816,303.62628341999846,None,[],,,['z'],305.6129003999995,None,z,3.0240017999967677,0,0,0.6521739130434783,None,307.9619544999987,None,307.9619544999987,None,[1.0240017999967677],,,,,,,,,,,,,,,,,,CBC_1016,4,3,2,1,15,0.95,2023-06-25_16h33.10.466,MSI_TV_v3,2022.1.1,59.97156148673703,
23,0,23,0,,,,,,,,,,1,2,1,z,9,1,3.6438386551209,0.917519910446003,None,309.77595289999954,None,310.67618361999814,310.67618361999814,310.69289231999903,z,['z'],1.6096634000023187,[1.6096634000023187],None,312.6899279999998,None,z,1.6096634000023187,1,1,0.6666666666666666,None,316.33711669999684,None,316.33711669999684,None,,,,,,,,,,,,,,,,,,,CBC_1016,4,3,2,1,15,0.95,2023-06-25_16h33.10.466,MSI_TV_v3,2022.1.1,59.97156148673703,
24,0,24,0,,,,,,,,,,3,2,3,b,63,1,2.693348633324513,2.10421507306074,None,318.14204450000034,None,320.225981119998,320.225981119998,320.24280571999736,None,[],,,['b'],322.2312404000004,None,b,2.1830614999998943,1,1,0.68,None,324.9254411999973,None,324.9254411999973,None,[0.1830614999998943],,,,,,,,,,,,,,,,,,CBC_1016,4,3,2,1,15,0.95,2023-06-25_16h33.10.466,MSI_TV_v3,2022.1.1,59.97156148673703,
25,0,25,0,,,,,,,,,,0,2,3,z,63,1,2.678526077912375,0.77703640172831,None,326.7260022999981,None,327.476102819997,327.476102819997,327.49279001999787,z,['z'],1.6363053000022774,[1.6363053000022774],None,329.5171096999984,None,z,1.6363053000022774,1,1,0.6923076923076923,None,332.20373069999914,None,332.20373069999914,None,,,,,,,,,,,,,,,,,,,CBC_1016,4,3,2,1,15,0.95,2023-06-25_16h33.10.466,MSI_TV_v3,2022.1.1,59.97156148673703,
26,0,26,0,,,,,,,,,,1,0,1,z,63,1,2.433630701072358,0.979776149765883,None,334.0095984999971,None,334.9597412199979,334.9597412199979,334.97644292000007,None,[],,,['z'],336.9610025999973,None,z,2.629188899998553,1,1,0.7037037037037037,None,339.3979388999978,None,339.3979388999978,None,[0.6291888999985531],,,,,,,,,,,,,,,,,,CBC_1016,4,3,2,1,15,0.95,2023-06-25_16h33.10.466,MSI_TV_v3,2022.1.1,59.97156148673703,
27,0,27,0,,,,,,,,,,2,0,2,b,27,1,2.629554641171433,1.18065738546375,None,341.2082808999985,None,342.3593614199996,342.3593614199996,342.37612971999954,b,['b'],1.2444546000006085,[1.2444546000006085],None,344.39915969999856,None,b,1.2444546000006085,1,1,0.7142857142857143,None,347.0217860999983,None,347.0217860999983,None,,,,,,,,,,,,,,,,,,,CBC_1016,4,3,2,1,15,0.95,2023-06-25_16h33.10.466,MSI_TV_v3,2022.1.1,59.97156148673703,
28,0,28,0,,,,,,,,,,0,1,3,z,27,1,3.31929419319838,1.52290599571961,None,348.82549639999706,None,350.326182319997,350.326182319997,350.3432955200002,None,[],,,['z'],352.3302404999995,None,z,2.337875699999131,1,1,0.7241379310344828,None,355.666212199998,None,355.666212199998,None,[0.33787569999913103],,,,,,,,,,,,,,,,,,CBC_1016,4,3,2,1,15,0.95,2023-06-25_16h33.10.466,MSI_TV_v3,2022.1.1,59.97156148673703,
29,0,29,0,,,,,,,,,,2,1,0,z,63,1,2.517541937862754,1.60731937853708,None,357.4760792999987,None,359.0589317199989,359.0589317199989,359.07522711999957,None,[],,,['b'],361.0538876999999,None,b,2.2825905999998213,0,0,0.7,None,363.56555119999757,None,363.56555119999757,None,[0.2825905999998213],,,,,,,,,,,,,,,,,,CBC_1016,4,3,2,1,15,0.95,2023-06-25_16h33.10.466,MSI_TV_v3,2022.1.1,59.97156148673703,
30,0,30,0,,,,,,,,,,3,2,0,b,27,1,2.496959177995529,1.27538462653558,None,365.3759524999987,None,366.6250283199985,366.6250283199985,366.64242151999827,None,[],,,['b'],368.619215499999,None,b,2.2115325999984634,1,1,0.7096774193548387,None,371.1175567999999,None,371.1175567999999,None,[0.2115325999984634],,,,,,,,,,,,,,,,,,CBC_1016,4,3,2,1,15,0.95,2023-06-25_16h33.10.466,MSI_TV_v3,2022.1.1,59.97156148673703,
31,0,31,0,,,,,,,,,,0,2,3,z,63,1,2.294664843639333,1.95130344756745,None,372.9263237999985,None,374.85965061999707,374.85965061999707,374.8761194199975,z,['z'],1.828652800002601,[1.828652800002601],None,376.88396869999997,None,z,1.828652800002601,1,1,0.71875,None,379.18618419999984,None,379.18618419999984,None,,,,,,,,,,,,,,,,,,,CBC_1016,4,3,2,1,15,0.95,2023-06-25_16h33.10.466,MSI_TV_v3,2022.1.1,59.97156148673703,
32,0,32,0,,,,,,,,,,1,1,0,b,63,1,2.91303524001082,3.06992456303453,None,380.99271119999685,None,384.0428929199985,384.0428929199985,384.05959781999957,b,['b'],1.6519169000021066,[1.6519169000021066],None,386.0817853999979,None,b,1.6519169000021066,1,1,0.7272727272727273,None,388.98677849999876,None,388.98677849999876,None,,,,,,,,,,,,,,,,,,,CBC_1016,4,3,2,1,15,0.95,2023-06-25_16h33.10.466,MSI_TV_v3,2022.1.1,59.97156148673703,
