trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
8,0,8,0,,,,,,,,,,2,2.0,3.0,z,63.0,1.0,2.397501916,3.264468617,None,155.90589969999928,None,159.19398550000005,None,159.19398550000005,None,159.18928349999896,None,['z'],159.19398550000005,None,None,,161.1931618999988,None,z,1.647720400000253,1,1,0.8888888888888888,163.59686169999986,None,None,163.59686169999986,None,[1.647720400000253],,,,,,,,,,,,,,,,,,CBC_1002,4,3,1,1,1,0.95,2023-05-31_17h20.54.856,MSI_AV_v3,2022.1.1,59.95315260687711,
9,0,9,0,,,,,,,,,,3,3.0,2.0,z,63.0,1.0,3.044827724,2.128027194,None,165.6053295999991,None,167.73286149999876,None,167.73286149999876,None,167.73927540000022,None,['z'],167.73286149999876,None,None,,169.74264699999912,None,z,1.5207918000014615,1,1,0.9,172.7963235999996,None,None,172.7963235999996,None,[1.5207918000014615],,,,,,,,,,,,,,,,,,CBC_1002,4,3,1,1,1,0.95,2023-05-31_17h20.54.856,MSI_AV_v3,2022.1.1,59.95315260687711,
10,0,10,0,,,,,,,,,,2,3.0,1.0,b,27.0,1.0,2.078483356,2.071213329,None,174.80607400000008,None,176.90044899999884,None,176.90044899999884,None,176.8898065000003,None,None,176.90044899999884,None,['b'],[0.8414303000008658],178.8726984999994,None,b,2.841430300000866,1,1,0.9090909090909091,180.93997619999936,None,None,180.93997619999936,None,,,,,,,,,,,,,,,,,,,CBC_1002,4,3,1,1,1,0.95,2023-05-31_17h20.54.856,MSI_AV_v3,2022.1.1,59.95315260687711,
11,0,11,0,,,,,,,,,,0,0.0,1.0,b,63.0,0.0,3.589438522,1.75396268,None,182.9393973999995,None,184.70880260000013,None,184.70880260000013,None,184.70595690000027,None,['b'],184.70880260000013,None,None,,186.70903120000003,None,b,0.966707800002041,1,0,0.9166666666666666,190.31216889999996,None,None,190.31216889999996,None,[0.966707800002041],,,,,,,,,,,,,,,,,,CBC_1002,4,3,1,1,1,0.95,2023-05-31_17h20.54.856,MSI_AV_v3,2022.1.1,59.95315260687711,
12,0,12,0,,,,,,,,,,3,3.0,2.0,z,63.0,1.0,4.268032915,0.789129603,None,192.3227840999989,None,193.12963669999954,None,193.12963669999954,None,193.13950750000004,None,['z'],193.12963669999954,None,None,,195.12372479999976,None,z,1.4679847000006703,1,1,0.9230769230769231,199.3962578999999,None,None,199.3962578999999,None,[1.4679847000006703],,,,,,,,,,,,,,,,,,CBC_1002,4,3,1,1,1,0.95,2023-05-31_17h20.54.856,MSI_AV_v3,2022.1.1,59.95315260687711,
13,0,13,0,,,,,,,,,,0,2.0,0.0,z,27.0,1.0,4.21669271,2.648704933,None,201.40564970000014,None,204.04100870000002,None,204.04100870000002,None,204.03867019999961,None,['z'],204.04100870000002,None,None,,206.0418013999988,None,z,1.3950066000015795,1,1,0.9285714285714286,210.26130960000046,None,None,210.26130960000046,None,[1.3950066000015795],,,,,,,,,,,,,,,,,,CBC_1002,4,3,1,1,1,0.95,2023-05-31_17h20.54.856,MSI_AV_v3,2022.1.1,59.95315260687711,
14,0,14,0,,,,,,,,,,1,1.0,0.0,b,63.0,1.0,1.3262934849999999,1.554037824,None,212.27273979999882,None,213.82957979999992,None,213.82957979999992,None,213.8390047999992,None,['b'],213.82957979999992,None,None,,215.84458859999904,None,b,1.7449811000005866,1,1,0.9333333333333333,217.16326619999927,None,None,217.16326619999927,None,[1.7449811000005866],,,,,,,,,,,,,,,,,,CBC_1002,4,3,1,1,1,0.95,2023-05-31_17h20.54.856,MSI_AV_v3,2022.1.1,59.95315260687711,
15,0,15,0,,,,,,,,,,2,2.0,3.0,z,63.0,1.0,1.758742576,1.086048241,None,219.17291789999945,None,220.27837240000008,None,220.27837240000008,None,220.28983809999954,None,['z'],220.27837240000008,None,None,,222.27058020000004,None,z,1.7775313000020105,1,1,0.9375,224.03903589999936,None,None,224.03903589999936,None,[1.7775313000020105],,,,,,,,,,,,,,,,,,CBC_1002,4,3,1,1,1,0.95,2023-05-31_17h20.54.856,MSI_AV_v3,2022.1.1,59.95315260687711,
16,0,16,0,,,,,,,,,,1,2.0,1.0,z,9.0,1.0,3.278108735,1.411911144,None,226.0395381999988,None,227.47640789999969,None,227.47640789999969,None,227.472951499999,None,['z'],227.47640789999969,None,['z'],[0.04043260000071314],229.4749467999991,None,z,0.9653153000017483,1,1,0.9411764705882353,232.76357639999878,None,None,232.76357639999878,None,[0.9653153000017483],,,,,,,,,,,,,,,,,,CBC_1002,4,3,1,1,1,0.95,2023-05-31_17h20.54.856,MSI_AV_v3,2022.1.1,59.95315260687711,
17,0,17,0,,,,,,,,,,2,3.0,1.0,b,27.0,1.0,2.0845750460000003,2.232990834,None,234.7729677999996,None,237.02877379999882,None,237.02877379999882,None,237.03966690000016,None,['b'],237.02877379999882,None,None,,239.02372699999978,None,b,1.3966204000007565,1,1,0.9444444444444444,241.11335179999878,None,None,241.11335179999878,None,[1.3966204000007565],,,,,,,,,,,,,,,,,,CBC_1002,4,3,1,1,1,0.95,2023-05-31_17h20.54.856,MSI_AV_v3,2022.1.1,59.95315260687711,
