trials_runs.thisRepN;trials_runs.thisTrialN;trials_runs.thisN;trials_runs.thisIndex;standbild_start.started;standbild_start.stopped;trigger.keys;trigger.rt;trigger.started;trigger.stopped;keys_2.keys;keys_2.started;keys_2.stopped;trials_runs.tactile_stim;trials_runs.visual_stim_left;trials_runs.visual_stim_right;trials_runs.correctKey;trials_runs.presentationFrequncy;trials_runs.FBaccuracy;trials_runs.ISI_s;trials_runs.ITI_s;keys_3.keys;keys_3.started;keys_3.stopped;image_stim_left.started;image_stim_right.started;tactile.started;response_4.keys;allKeys.keys;response_5.keys;response_5.rt;response_5.started;response_5.stopped;response_runs.keys;response_runs.rt;trials_runs.correct_answer;trials_runs.feedback_given;trials_runs.running_mean;feedback_6.stopped;feedback_6.started;keys_6.keys;keys_6.started;keys_6.stopped;response_4.rt;allKeys.rt;keys_6.rt;keys_7.keys;keys_7.started;keys_7.stopped;standbild_end.started;standbild_end.stopped;Stop_exp.keys;Stop_exp.started;Stop_exp.stopped;trials_runs.rightKey;trials_runs.leftKey;ts_difficulty;visualPair;tactilePair;trials_runs.mean_acc_1stFourth;trials_runs.mean_acc_2ndFourth;trials_runs.mean_acc_3rdFourth;trials_runs.mean_acc_4thFourth;nbCorrect;nbOmissions;nbIncorrect;participant;session;visual set [1-6];tactile set [1-3];trial structure [0-3 / 4-7];pairing [0-23];prob Feedback;date;expName;psychopyVersion;frameRate
35;0;35;0;;;;;;;;;;3;0;2;b;27;1;3.319294193;1.124389584;None;482.9576643;None;484.0573425;484.0573425;484.0741063;b;['b'];None;;486.0973462;None;b;1.8382053;1;1;0.666666667;None;489.4192397;None;489.4192397;None;1.8382053;[1.8382053000004817];;;;;;;;;;;;;;;;;;;;;;CBC_1020;4;5;1;7;19;0.95;2023-06-28_16h55.43.253;MSI_TV_v3;01.01.2022;59.89272016
36;0;36;0;;;;;;;;;;0;0;1;z;63;1;4.115145368;3.401559799;None;491.2243069;None;494.6080659;494.6080659;494.6241361;z;['z'];None;;496.6342179;None;z;1.8447867;1;1;0.675675676;None;500.7521432;None;500.7521432;None;1.8447867;[1.8447866999995313];;;;;;;;;;;;;;;;;;;;;;CBC_1020;4;5;1;7;19;0.95;2023-06-28_16h55.43.253;MSI_TV_v3;01.01.2022;59.89272016
37;0;37;0;;;;;;;;;;1;2;3;z;63;1;4.610046692;1.951303448;None;502.5575431;None;504.4909777;504.4909777;504.5076354;None;[];['b'];[0.46570489999976417];506.4934263;None;b;2.4657049;0;0;0.657894737;None;511.097686;None;511.097686;None;;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;4;5;1;7;19;0.95;2023-06-28_16h55.43.253;MSI_TV_v3;01.01.2022;59.89272016
38;0;38;0;;;;;;;;;;0;1;2;b;9;1;4.777236671;1.948584858;None;512.9077396;None;514.8410577;514.8410577;514.8574538;None;[];['b'];[0.46249039999929664];516.8436599;None;b;2.4624904;1;1;0.666666667;None;521.6277087;None;521.6277087;None;;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;4;5;1;7;19;0.95;2023-06-28_16h55.43.253;MSI_TV_v3;01.01.2022;59.89272016
39;0;39;0;;;;;;;;;;1;1;3;z;27;1;2.678526078;1.522905996;None;523.4411103;None;524.9408823;524.9408823;524.957713;None;[];['z'];[0.44689239999934216];526.9459792;None;z;2.4468924;1;1;0.675;None;529.6196316;None;529.6196316;None;;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;4;5;1;7;19;0.95;2023-06-28_16h55.43.253;MSI_TV_v3;01.01.2022;59.89272016
40;0;40;0;;;;;;;;;;3;1;0;z;63;1;2.496959178;1.644211099;None;531.4244715;None;533.0575684;533.0575684;533.0741794;None;[];['z'];[0.4876690000000963];535.0599594;None;z;2.487669;1;1;0.682926829;None;537.547402;None;537.547402;None;;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;4;5;1;7;19;0.95;2023-06-28_16h55.43.253;MSI_TV_v3;01.01.2022;59.89272016
41;0;41;0;;;;;;;;;;3;0;1;b;63;1;2.526044641;1.786435855;None;539.3576984;None;541.1246024;541.1246024;541.1410691;None;[];['b'];[0.9988704999996116];543.1280847;None;b;2.9988705;1;1;0.69047619;None;545.6476326;None;545.6476326;None;;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;4;5;1;7;19;0.95;2023-06-28_16h55.43.253;MSI_TV_v3;01.01.2022;59.89272016
42;0;42;0;;;;;;;;;;2;2;0;b;27;1;4.53337422;1.21250262;None;547.4577758;None;548.6577749;548.6577749;548.6744273;None;[];['b'];[1.6146109999990585];550.6622726;None;b;3.614611;1;1;0.697674419;None;555.1915069;None;555.1915069;None;;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;4;5;1;7;19;0.95;2023-06-28_16h55.43.253;MSI_TV_v3;01.01.2022;59.89272016
43;0;43;0;;;;;;;;;;0;0;1;z;63;1;2.639174735;0.761758675;None;556.991466;None;557.7414751;557.7414751;557.7580737;None;[];['z'];[0.7276574000006804];559.745159;None;z;2.7276574;1;1;0.704545455;None;562.3901107;None;562.3901107;None;;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;4;5;1;7;19;0.95;2023-06-28_16h55.43.253;MSI_TV_v3;01.01.2022;59.89272016
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;None;564.1916904;None;;;;;;;;;;;;;;;;;;CBC_1020;4;5;1;7;19;0.95;2023-06-28_16h55.43.253;MSI_TV_v3;01.01.2022;59.89272016
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;569.1746473;None;None;569.1746473;574.1579686;;;;;;;;;;;;;CBC_1020;4;5;1;7;19;0.95;2023-06-28_16h55.43.253;MSI_TV_v3;01.01.2022;59.89272016
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;z;b;hard;[0, 1, 2, 3];[3, 0, 2, 1];0.727272727;0.545454545;0.727272727;0.818181818;31;0;13;;;;;;;;;;;
