trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,response_4.rt,allKeys.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
19,0,19,0,,,,,,,,,,2,0,1,z,63,0,3.478547126,2.108332021,None,241.68207899999925,None,243.7651978899994,243.7651978899994,243.78193288999955,None,[],['z'],245.76284429999941,None,z,2.4407830000000104,1,0,0.4,None,249.2553100999994,None,249.2553100999994,None,[0.44078300000001036],,,,,,,,,,,,,,,,,,,,CBC_1006,2,4,3,6,8,0.9,2023-06-03_12h08.01.236,MSI_TV_v3,2022.1.1,60.07304882740825,
20,0,20,0,,,,,,,,,,3,1,3,z,27,1,2.949122761,1.142638656,None,251.26558440000008,None,252.38249578999967,252.38249578999967,252.39911608999955,None,[],['b'],254.40614789999927,None,b,2.3439390000003186,0,0,0.38095238095238093,None,257.3422805,None,257.3422805,None,[0.34393900000031863],,,,,,,,,,,,,,,,,,,,CBC_1006,2,4,3,6,8,0.9,2023-06-03_12h08.01.236,MSI_TV_v3,2022.1.1,60.07304882740825,
21,0,21,0,,,,,,,,,,0,2,3,b,63,1,4.176609572,2.962224669,None,259.3490928000001,None,262.2992934899994,262.2992934899994,262.31574588999956,None,[],['z'],264.30286889999934,None,z,2.7080541000004814,0,0,0.36363636363636365,None,268.4849448999994,None,268.4849448999994,None,[0.7080541000004814],,,,,,,,,,,,,,,,,,,,CBC_1006,2,4,3,6,8,0.9,2023-06-03_12h08.01.236,MSI_TV_v3,2022.1.1,60.07304882740825,
22,0,22,0,,,,,,,,,,2,1,0,b,63,1,4.196249082,2.648704933,None,270.4987216999998,None,273.13229298999977,273.13229298999977,273.1489350899992,b,['b'],None,275.17356689999997,None,b,1.2663234999999986,1,1,0.391304347826087,None,279.3777044999997,None,279.3777044999997,None,,1.2663234999999986,[1.2663234999999986],,,,,,,,,,,,,,,,,,CBC_1006,2,4,3,6,8,0.9,2023-06-03_12h08.01.236,MSI_TV_v3,2022.1.1,60.07304882740825,
23,0,23,0,,,,,,,,,,1,2,0,z,27,1,2.818459073,1.75396268,None,281.3825630000001,None,283.1156867899999,283.1156867899999,283.13221878999957,None,[],['z'],285.1180945999995,None,z,2.818695900000421,1,1,0.4166666666666667,None,287.94323540000005,None,287.94323540000005,None,[0.8186959000004208],,,,,,,,,,,,,,,,,,,,CBC_1006,2,4,3,6,8,0.9,2023-06-03_12h08.01.236,MSI_TV_v3,2022.1.1,60.07304882740825,
24,0,24,0,,,,,,,,,,3,2,3,z,63,1,1.556335756,1.84422311,None,289.9489481999999,None,291.76539128999957,291.76539128999957,291.7820749899993,None,[],['z'],293.7690157999996,None,z,2.8942706000007092,1,1,0.44,None,295.33053479999944,None,295.33053479999944,None,[0.8942706000007092],,,,,,,,,,,,,,,,,,,,CBC_1006,2,4,3,6,8,0.9,2023-06-03_12h08.01.236,MSI_TV_v3,2022.1.1,60.07304882740825,
25,0,25,0,,,,,,,,,,0,2,0,b,27,1,1.3262934849999999,0.977134615,None,297.33257159999994,None,298.2826570899997,298.2826570899997,298.2991188899996,None,[],['b'],300.28368259999934,None,b,2.927503300000353,1,1,0.46153846153846156,None,301.6157411999993,None,301.6157411999993,None,[0.9275033000003532],,,,,,,,,,,,,,,,,,,,CBC_1006,2,4,3,6,8,0.9,2023-06-03_12h08.01.236,MSI_TV_v3,2022.1.1,60.07304882740825,
26,0,26,0,,,,,,,,,,2,1,0,b,63,1,1.595506577,2.232990834,None,303.6155190999998,None,305.83225008999943,305.83225008999943,305.8488151900001,None,[],['z'],307.83423739999944,None,z,2.3532580000010057,0,0,0.4444444444444444,None,309.44631729999946,None,309.44631729999946,None,[0.3532580000010057],,,,,,,,,,,,,,,,,,,,CBC_1006,2,4,3,6,8,0.9,2023-06-03_12h08.01.236,MSI_TV_v3,2022.1.1,60.07304882740825,
27,0,27,0,,,,,,,,,,1,0,1,b,63,1,3.869831913,2.757001452,None,311.44941649999964,None,314.1824302899995,314.1824302899995,314.1991786899998,None,[],['z'],316.1852650999999,None,z,3.2267929000008735,0,0,0.42857142857142855,None,320.05925559999923,None,320.05925559999923,None,[1.2267929000008735],,,,,,,,,,,,,,,,,,,,CBC_1006,2,4,3,6,8,0.9,2023-06-03_12h08.01.236,MSI_TV_v3,2022.1.1,60.07304882740825,
28,0,28,0,,,,,,,,,,0,3,2,z,63,0,2.917714675,3.264468617,None,322.0656933999999,None,325.31606199,325.31606199,325.33270938999976,None,[],['z'],327.31923109999934,None,z,2.4308889000003546,1,0,0.4482758620689655,None,330.23941939999986,None,330.23941939999986,None,[0.4308889000003546],,,,,,,,,,,,,,,,,,,,CBC_1006,2,4,3,6,8,0.9,2023-06-03_12h08.01.236,MSI_TV_v3,2022.1.1,60.07304882740825,
29,0,29,0,,,,,,,,,,3,3,1,b,27,1,2.67601813,1.293060736,None,332.2492853999993,None,333.51568118999967,333.51568118999967,333.5322110899997,b,['b'],None,335.5626595999993,None,b,1.141107500000544,1,1,0.4666666666666667,None,338.2269744999994,None,338.2269744999994,None,,1.141107500000544,[1.141107500000544],,,,,,,,,,,,,,,,,,CBC_1006,2,4,3,6,8,0.9,2023-06-03_12h08.01.236,MSI_TV_v3,2022.1.1,60.07304882740825,
30,0,30,0,,,,,,,,,,1,1,0,z,63,1,4.334629553,1.24796184,None,340.2323458000001,None,341.4661819899993,341.4661819899993,341.4827530899993,None,[],['z'],343.46837679999953,None,z,2.7104407000006177,1,1,0.4838709677419355,None,347.8095161000001,None,347.8095161000001,None,[0.7104407000006177],,,,,,,,,,,,,,,,,,,,CBC_1006,2,4,3,6,8,0.9,2023-06-03_12h08.01.236,MSI_TV_v3,2022.1.1,60.07304882740825,
31,0,31,0,,,,,,,,,,3,3,2,b,63,1,2.078483356,2.128027194,None,349.8157640999998,None,351.9164190900001,351.9164190900001,351.9324751899994,b,['b'],None,353.9573246,None,b,1.5504483000004257,1,1,0.5,None,356.04339869999967,None,356.04339869999967,None,,1.5504483000004257,[1.5504483000004257],,,,,,,,,,,,,,,,,,CBC_1006,2,4,3,6,8,0.9,2023-06-03_12h08.01.236,MSI_TV_v3,2022.1.1,60.07304882740825,
