trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,allKeys.rt,keys_3.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.rt,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
8,0,8,0,,,,,,,,,,2,3,2,b,63,1,4.82531807167306,1.18065738546375,['b'],179.60124609999912,None,180.7680857199992,180.7680857199992,180.78449682000047,None,[],['z'],[0.771537200000239],182.77197429999978,None,z,2.771537200000239,0,0,0.3333333333333333,None,187.6113064000001,None,187.6113064000001,None,,,[0.6772017000002961],,,,,,,,,,,,,,,,,,,,,,,CBC_1031,3,3,1,5,4,0.95,2023-10-20_12h11.47.981,MSI_TV_v3,2022.1.1,60.15967581184385,
9,0,9,0,,,,,,,,,,1,2,3,b,63,1,2.526044641065533,0.979776149765883,None,189.4167464000002,None,190.36785751999906,190.36785751999906,190.38473562000019,None,[],['b'],[0.7866027000018221],192.37475819999963,None,b,2.786602700001822,1,1,0.4,None,194.887665799999,None,194.887665799999,None,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1031,3,3,1,5,4,0.95,2023-10-20_12h11.47.981,MSI_TV_v3,2022.1.1,60.15967581184385,
10,0,10,0,,,,,,,,,,2,1,3,z,27,1,4.01714354611405,1.64421109900286,None,196.70057069999893,None,198.31769151999998,198.31769151999998,198.33436862000036,None,[],['z'],[0.5768016000001808],200.32177500000034,None,z,2.5768016000001808,1,1,0.45454545454545453,None,204.3558008,None,204.3558008,None,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1031,3,3,1,5,4,0.95,2023-10-20_12h11.47.981,MSI_TV_v3,2022.1.1,60.15967581184385,
11,0,11,0,,,,,,,,,,0,1,0,z,63,0,2.82320408183943,2.09887870490381,None,206.16826409999885,None,208.25106511999894,208.25106511999894,208.26777892000047,None,[],['z'],[1.1894601999993029],210.25581749999947,None,z,3.189460199999303,1,0,0.5,None,213.07820960000026,None,213.07820960000026,None,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1031,3,3,1,5,4,0.95,2023-10-20_12h11.47.981,MSI_TV_v3,2022.1.1,60.15967581184385,
12,0,12,0,,,,,,,,,,1,2,3,b,63,1,3.35133458220192,1.34668860557497,None,214.88367730000027,None,216.2011205199995,216.2011205199995,216.2177296200005,None,[],['z'],[1.4139016999997693],218.20523549999962,None,z,3.4139016999997693,0,0,0.46153846153846156,None,221.5705412999996,None,221.5705412999996,None,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1031,3,3,1,5,4,0.95,2023-10-20_12h11.47.981,MSI_TV_v3,2022.1.1,60.15967581184385,
13,0,13,0,,,,,,,,,,0,0,2,b,27,1,4.77034425507967,0.917519910446003,None,223.38455690000046,None,224.28452441999963,224.28452441999963,224.30111172000016,None,[],['b'],[1.3035868000006303],226.2872924000003,None,b,3.3035868000006303,1,1,0.5,None,231.06345479999982,None,231.06345479999982,None,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1031,3,3,1,5,4,0.95,2023-10-20_12h11.47.981,MSI_TV_v3,2022.1.1,60.15967581184385,
14,0,14,0,,,,,,,,,,3,0,1,z,63,1,2.666404967794728,3.1424449555106,None,232.86682429999928,None,235.98457451999985,235.98457451999985,236.0017308200002,None,[],['b'],[1.1257619999996678],237.9835320000002,None,b,3.1257619999996678,0,0,0.4666666666666667,None,240.66169869999976,None,240.66169869999976,None,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1031,3,3,1,5,4,0.95,2023-10-20_12h11.47.981,MSI_TV_v3,2022.1.1,60.15967581184385,
15,0,15,0,,,,,,,,,,2,3,2,b,63,1,2.629554641171433,2.10421507306074,None,242.46800819999953,None,244.55130122000065,244.55130122000065,244.5679003200001,None,[],['b'],[1.3375543000001926],246.5556233999996,None,b,3.3375543000001926,1,1,0.5,None,249.19077149999976,None,249.19077149999976,None,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1031,3,3,1,5,4,0.95,2023-10-20_12h11.47.981,MSI_TV_v3,2022.1.1,60.15967581184385,
16,0,16,0,,,,,,,,,,3,1,2,b,9,1,3.71372710086949,1.21250262048173,None,251.00105059999987,None,252.20166091999982,252.20166091999982,252.21775662000056,None,[],None,,254.20527709999988,None,None,[],0,3,0.47058823529411764,None,257.94367500000044,['z'],257.94367500000044,None,,,,[0.7703498000009859],,,,,,,,,,,,,,,,,,,,,,CBC_1031,3,3,1,5,4,0.95,2023-10-20_12h11.47.981,MSI_TV_v3,2022.1.1,60.15967581184385,
17,0,17,0,,,,,,,,,,2,1,3,z,27,1,3.26539063535182,0.77703640172831,None,259.7350970999996,None,260.5016239199993,260.5016239199993,260.5182096200004,None,[],['z'],[1.4504381000006106],262.50686569999925,None,z,3.4504381000006106,1,1,0.5,None,265.7729502000002,None,265.7729502000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1031,3,3,1,5,4,0.95,2023-10-20_12h11.47.981,MSI_TV_v3,2022.1.1,60.15967581184385,
18,0,18,0,,,,,,,,,,0,0,1,b,63,1,4.11514536789087,2.49839527409216,None,267.5849853999989,None,270.06786902000005,270.06786902000005,270.08456561999975,None,[],None,,272.07131239999944,None,None,[],0,3,0.47368421052631576,None,276.1836523000002,['b'],276.1836523000002,None,,,,[0.862375400000019],,,,,,,,,,,,,,,,,,,,,,CBC_1031,3,3,1,5,4,0.95,2023-10-20_12h11.47.981,MSI_TV_v3,2022.1.1,60.15967581184385,
