trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_4.rt,allKeys.rt,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
8,0,8,0,,,,,,,,,,3,2.0,3.0,z,63.0,1.0,4.01714354611405,1.27538462653558,None,387.6819269000007,None,388.93187479000227,388.93187479000227,388.94842578999925,None,[],,,['z'],390.9383353000012,None,z,3.590579699997761,1,1,0.8888888888888888,None,394.9481880000021,None,394.9481880000021,None,[1.590579699997761],,,,,,,,,,,,,,,,,,,,,CBC_1051,003,2,1,7,6,0.95,2024-05-03_17h13.22.033,MSI_TV_v3,2022.1.1,60.03709091456827,
9,0,9,0,,,,,,,,,,0,1.0,3.0,b,27.0,1.0,2.91303524001082,1.53243550275999,None,396.748475299999,None,398.26512239000186,398.26512239000186,398.28180889000106,None,[],,,['z'],400.2704450000019,None,z,2.709797899999103,0,0,0.8,None,403.1794986999994,None,403.1794986999994,None,[0.7097978999991028],,,,,,,,,,,,,,,,,,,,,CBC_1051,003,2,1,7,6,0.95,2024-05-03_17h13.22.033,MSI_TV_v3,2022.1.1,60.03709091456827,
10,0,10,0,,,,,,,,,,2,2.0,3.0,b,63.0,1.0,4.40017271499661,0.761758675042088,None,404.98239340000146,None,405.7153637899999,405.7153637899999,405.7320231900001,None,[],,,"['z', 'b']",407.72164189999967,None,z,2.2516531000001123,0,0,0.7272727272727273,None,412.1099219000025,None,412.1099219000025,None,"[0.2516531000001123, 2.457617600000958]",,,,,,,,,,,,,,,,,,,,,CBC_1051,003,2,1,7,6,0.95,2024-05-03_17h13.22.033,MSI_TV_v3,2022.1.1,60.03709091456827,
11,0,11,0,,,,,,,,,,0,3.0,1.0,z,27.0,1.0,3.35133458220192,2.40378712856304,None,413.91523400000005,None,416.2984156900009,416.2984156900009,416.3149461900019,z,['z'],1.8139749000001757,[1.8139749000001757],None,418.33993100000225,None,z,1.8139749000001757,1,1,0.75,None,421.69581520000065,None,421.69581520000065,None,,,,,,,,,,,,,,,,,,,,,,CBC_1051,003,2,1,7,6,0.95,2024-05-03_17h13.22.033,MSI_TV_v3,2022.1.1,60.03709091456827,
12,0,12,0,,,,,,,,,,2,2.0,3.0,b,63.0,1.0,3.76873691643126,1.25920145784721,None,423.49876140000197,None,424.7319550900018,424.7319550900018,424.74860019000226,None,[],,,['b'],426.7357529000001,None,b,2.3707158000033814,1,1,0.7692307692307693,None,430.5072208999991,None,430.5072208999991,None,[0.37071580000338145],,,,,,,,,,,,,,,,,,,,,CBC_1051,003,2,1,7,6,0.95,2024-05-03_17h13.22.033,MSI_TV_v3,2022.1.1,60.03709091456827,
13,0,13,0,,,,,,,,,,3,2.0,3.0,z,63.0,1.0,2.629554641171433,0.979776149765883,None,432.31517090000125,None,433.2655860900002,433.2655860900002,433.2822289900021,None,[],,,['z'],435.2692997000013,None,z,2.462857800001075,1,1,0.7857142857142857,None,437.89942190000147,None,437.89942190000147,None,[0.4628578000010748],,,,,,,,,,,,,,,,,,,,,CBC_1051,003,2,1,7,6,0.95,2024-05-03_17h13.22.033,MSI_TV_v3,2022.1.1,60.03709091456827,
14,0,14,0,,,,,,,,,,1,3.0,0.0,z,9.0,1.0,4.12485271162806,3.4543169006169,None,439.6988014000017,None,443.13210429000065,443.13210429000065,443.1488073899989,None,[],,,['z'],445.1373338000012,None,z,2.5266719999999623,1,1,0.8,None,449.2626278000025,None,449.2626278000025,None,[0.5266719999999623],,,,,,,,,,,,,,,,,,,,,CBC_1051,003,2,1,7,6,0.95,2024-05-03_17h13.22.033,MSI_TV_v3,2022.1.1,60.03709091456827,
15,0,15,0,,,,,,,,,,0,1.0,0.0,b,63.0,0.0,2.517541937862754,1.38289892513751,None,451.0654805000013,None,452.43219099000163,452.43219099000163,452.448721890002,None,[],,,['z'],454.4395420000001,None,z,2.745629800003371,0,1,0.75,None,456.95149110000057,None,456.95149110000057,None,[0.7456298000033712],,,,,,,,,,,,,,,,,,,,,CBC_1051,003,2,1,7,6,0.95,2024-05-03_17h13.22.033,MSI_TV_v3,2022.1.1,60.03709091456827,
16,0,16,0,,,,,,,,,,3,3.0,2.0,b,63.0,1.0,3.02234236141277,1.43470440954152,None,458.76556730000084,None,460.1821372900002,460.1821372900002,460.198708990002,None,[],,,['b'],462.1864902000016,None,b,2.5090092999998888,1,1,0.7647058823529411,None,465.1990418000023,None,465.1990418000023,None,[0.5090092999998888],,,,,,,,,,,,,,,,,,,,,CBC_1051,003,2,1,7,6,0.95,2024-05-03_17h13.22.033,MSI_TV_v3,2022.1.1,60.03709091456827,
17,0,17,0,,,,,,,,,,2,2.0,0.0,b,27.0,1.0,2.592312596923728,1.95130344756745,None,466.99886250000054,None,468.93193289000084,468.93193289000084,468.9484983899991,z,['z'],1.9253559000026144,[1.9253559000026144],['b'],470.9744580000006,None,z,1.9253559000026144,0,0,0.7222222222222222,None,473.5771703999999,None,473.5771703999999,None,[1.369852500003617],,,,,,,,,,,,,,,,,,,,,CBC_1051,003,2,1,7,6,0.95,2024-05-03_17h13.22.033,MSI_TV_v3,2022.1.1,60.03709091456827,
18,0,18,0,,,,,,,,,,1,1.0,0.0,z,63.0,1.0,2.2759877950103027,2.6299100644723,None,475.3816446000019,None,477.98230029000007,477.98230029000007,477.99870239000194,None,[],,,['z'],479.98601079999935,None,z,2.4743849000042246,1,1,0.7368421052631579,None,482.26165369999944,None,482.26165369999944,None,[0.4743849000042246],,,,,,,,,,,,,,,,,,,,,CBC_1051,003,2,1,7,6,0.95,2024-05-03_17h13.22.033,MSI_TV_v3,2022.1.1,60.03709091456827,
19,0,19,0,,,,,,,,,,0,0.0,1.0,z,63.0,1.0,4.61004669244928,1.94858485820231,None,484.06592060000185,None,485.99928939000057,485.99928939000057,486.01589249000136,None,[],,,['b'],488.00360830000136,None,b,3.801182000002882,0,0,0.7,None,492.6116116000012,None,492.6116116000012,None,[1.801182000002882],,,,,,,,,,,,,,,,,,,,,CBC_1051,003,2,1,7,6,0.95,2024-05-03_17h13.22.033,MSI_TV_v3,2022.1.1,60.03709091456827,
20,0,20,0,,,,,,,,,,3,3.0,1.0,b,27.0,1.0,2.693348633324513,2.96653053743745,None,494.4154382000015,None,497.36585708999957,497.36585708999957,497.38237158999874,None,[],,,['b'],499.3719708000026,None,b,4.18418820000079,1,1,0.7142857142857143,None,502.0587336000026,None,502.0587336000026,None,[2.18418820000079],,,,,,,,,,,,,,,,,,,,,CBC_1051,003,2,1,7,6,0.95,2024-05-03_17h13.22.033,MSI_TV_v3,2022.1.1,60.03709091456827,
