trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.rt,keys_6.started,keys_6.stopped,response_5.rt,response_4.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
18,0,18,0,,,,,,,,,,3,2,1,b,9,1,2.7134565917469198,2.10421507306074,None,466.7543460000006,None,468.8754963000001,None,468.8754963000001,None,468.88737286000014,None,None,468.8754963000001,None,['z'],470.85366350000004,None,z,2.5319448999989618,0,0,0.3684210526315789,473.58448210000006,None,None,,473.58448210000006,None,[0.5319448999989618],,,,,,,,,,,,,,,,,,,,,,CBC_1110,001,4,1,0,15,0.95,2024-08-25_14h33.39.375,MSI_AV_v3,2022.1.1,59.95006159868488,
19,0,19,0,,,,,,,,,,1,1,3,b,27,1,2.92731383428727,1.21250262048173,None,475.38650570000027,None,476.60803340000075,None,476.60803340000075,None,476.60401107000007,None,None,476.60803340000075,None,['z'],478.5872220000001,None,z,3.0324056999997993,0,0,0.35,481.49656380000033,None,None,,481.49656380000033,None,[1.0324056999997993],,,,,,,,,,,,,,,,,,,,,,CBC_1110,001,4,1,0,15,0.95,2024-08-25_14h33.39.375,MSI_AV_v3,2022.1.1,59.95006159868488,
20,0,20,0,,,,,,,,,,0,2,3,z,63,1,2.433630701072358,2.09887870490381,None,483.30306010000004,None,485.4096558000001,None,485.4096558000001,None,485.41936207000026,None,None,485.4096558000001,None,['b'],487.3875418000007,None,b,3.1522790999997596,0,0,0.3333333333333333,489.81139840000014,None,None,,489.81139840000014,None,[1.1522790999997596],,,,,,,,,,,,,,,,,,,,,,CBC_1110,001,4,1,0,15,0.95,2024-08-25_14h33.39.375,MSI_AV_v3,2022.1.1,59.95006159868488,
21,0,21,0,,,,,,,,,,1,0,1,z,63,0,2.526044641065533,0.761758675042088,None,491.6205624000004,None,492.39156190000085,None,492.39156190000085,None,492.3872667700002,None,None,492.39156190000085,None,['z'],494.3704664000006,None,z,2.871821299999283,1,0,0.36363636363636365,496.88649370000076,None,None,,496.88649370000076,None,[0.8718212999992829],,,,,,,,,,,,,,,,,,,,,,CBC_1110,001,4,1,0,15,0.95,2024-08-25_14h33.39.375,MSI_AV_v3,2022.1.1,59.95006159868488,
22,0,22,0,,,,,,,,,,2,0,3,b,9,1,4.52047235037039,2.6299100644723,None,498.6870499000006,None,501.3438021000002,None,501.3438021000002,None,501.3541818600006,None,None,501.3438021000002,None,['b'],503.3199306000006,None,b,3.5223447999997006,1,1,0.391304347826087,507.8226287000007,None,None,,507.8226287000007,None,[1.5223447999997006],,,,,,,,,,,,,,,,,,,,,,CBC_1110,001,4,1,0,15,0.95,2024-08-25_14h33.39.375,MSI_AV_v3,2022.1.1,59.95006159868488,
23,0,23,0,,,,,,,,,,0,3,2,b,63,1,2.82320408183943,1.94858485820231,None,509.6373070000009,None,511.61054390000027,None,511.61054390000027,None,511.62124896000023,None,None,511.61054390000027,None,['z'],513.5866850000002,None,z,3.13621189999958,0,0,0.375,516.4087219000003,None,None,,516.4087219000003,None,[1.13621189999958],,,,,,,,,,,,,,,,,,,,,,CBC_1110,001,4,1,0,15,0.95,2024-08-25_14h33.39.375,MSI_AV_v3,2022.1.1,59.95006159868488,
24,0,24,0,,,,,,,,,,1,3,1,z,27,1,3.26539063535182,1.78643585472448,None,518.2204878000002,None,520.0214853000007,None,520.0214853000007,None,520.0203903700008,None,None,520.0214853000007,None,['b'],522.0036835000001,None,b,2.6274518999989596,0,0,0.36,525.2530072000009,None,None,,525.2530072000009,None,[0.6274518999989596],,,,,,,,,,,,,,,,,,,,,,CBC_1110,001,4,1,0,15,0.95,2024-08-25_14h33.39.375,MSI_AV_v3,2022.1.1,59.95006159868488,
25,0,25,0,,,,,,,,,,3,3,2,z,63,1,3.71372710086949,2.49839527409216,None,527.0538628000004,None,529.5770600000005,None,529.5770600000005,None,529.5875636600003,None,None,529.5770600000005,None,['z'],531.5529067000007,None,z,2.4197882999987996,1,1,0.38461538461538464,535.2458541000005,None,None,,535.2458541000005,None,[0.41978829999879963],,,,,,,,,,,,,,,,,,,,,,CBC_1110,001,4,1,0,15,0.95,2024-08-25_14h33.39.375,MSI_AV_v3,2022.1.1,59.95006159868488,
26,0,26,0,,,,,,,,,,3,0,2,z,27,1,4.77723667052879,2.78346932462847,None,537.0539089000004,None,539.8573893000002,None,539.8573893000002,None,539.8539911700004,None,None,539.8573893000002,None,['b'],541.8362472000008,None,b,3.0167610999997123,0,0,0.37037037037037035,546.6068826000001,None,None,,546.6068826000001,None,[1.0167610999997123],,,,,,,,,,,,,,,,,,,,,,CBC_1110,001,4,1,0,15,0.95,2024-08-25_14h33.39.375,MSI_AV_v3,2022.1.1,59.95006159868488,
27,0,27,0,,,,,,,,,,1,1,0,b,63,1,4.11514536789087,2.96653053743745,None,548.4207268,None,551.4070521000003,None,551.4070521000003,None,551.4041539700006,None,None,551.4070521000003,None,['z'],553.3876434000003,None,z,3.6763597999988633,0,0,0.35714285714285715,557.4884790000006,None,None,,557.4884790000006,None,[1.6763597999988633],,,,,,,,,,,,,,,,,,,,,,CBC_1110,001,4,1,0,15,0.95,2024-08-25_14h33.39.375,MSI_AV_v3,2022.1.1,59.95006159868488,
28,0,28,0,,,,,,,,,,3,3,2,z,63,1,4.72585056748869,2.15533949826702,None,559.2873109000002,None,561.4596786000002,None,561.4596786000002,None,561.4709682600005,None,None,561.4596786000002,None,['b'],563.4375546000001,None,b,6.122236100000009,0,0,0.3448275862068966,568.1522325000005,None,None,,568.1522325000005,None,[4.122236100000009],,,,,,,,,,,,,,,,,,,,,,CBC_1110,001,4,1,0,15,0.95,2024-08-25_14h33.39.375,MSI_AV_v3,2022.1.1,59.95006159868488,
29,0,29,0,,,,,,,,,,2,0,1,b,63,1,3.2062024266105302,0.952147612306987,None,569.9534452000007,None,570.9274814,None,570.9274814,None,570.9376798600006,None,None,570.9274814,None,['b'],572.9040526000008,None,b,4.2184277999995174,1,1,0.36666666666666664,576.1072900000008,None,None,,576.1072900000008,None,[2.2184277999995174],,,,,,,,,,,,,,,,,,,,,,CBC_1110,001,4,1,0,15,0.95,2024-08-25_14h33.39.375,MSI_AV_v3,2022.1.1,59.95006159868488,
30,0,30,0,,,,,,,,,,0,3,2,b,63,1,4.12485271162806,1.25920145784721,None,577.9200089000005,None,579.1893320000008,None,579.1893320000008,None,579.1874336700007,None,None,579.1893320000008,None,['b'],581.1704903000009,None,b,6.005479800000103,1,1,0.3870967741935484,585.2894803000008,None,None,,585.2894803000008,None,[4.005479800000103],,,,,,,,,,,,,,,,,,,,,,CBC_1110,001,4,1,0,15,0.95,2024-08-25_14h33.39.375,MSI_AV_v3,2022.1.1,59.95006159868488,
31,0,31,0,,,,,,,,,,3,3,2,z,63,1,2.693348633324513,3.33124983260532,None,587.1042080000007,None,590.4400541000005,None,590.4400541000005,None,590.4363906800008,None,None,590.4400541000005,None,None,592.4204147,None,[],[],0,3,0.375,595.0924458000009,None,['z'],[1.0217140999993717],595.0924458000009,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1110,001,4,1,0,15,0.95,2024-08-25_14h33.39.375,MSI_AV_v3,2022.1.1,59.95006159868488,
