trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
13,0,13,0,,,,,,,,,,3,2.0,0.0,b,27.0,1.0,3.622505815,3.321420384,None,223.64745930000026,None,226.94803120000068,226.94803120000068,226.9646824000003,None,[],['z'],[0.9333563999989565],228.94573560000026,None,z,2.9333563999989565,0,0,0.6428571428571429,None,232.57204280000042,None,232.57204280000042,None,,,,,,,,,,,,,,,,,,,CBC_1002,001,1,3,0,1,0.95,2023-05-31_16h13.57.205,MSI_TV_v3,2022.1.1,60.133303507409174,
14,0,14,0,,,,,,,,,,0,0.0,1.0,b,63.0,1.0,1.887650177,1.086048241,None,234.58142810000027,None,235.64820380000054,235.64820380000054,235.66472560000074,None,[],['b'],[0.7070593999978882],237.65174540000044,None,b,2.7070593999978882,1,1,0.6666666666666666,None,239.5416427,None,239.5416427,None,,,,,,,,,,,,,,,,,,,CBC_1002,001,1,3,0,1,0.95,2023-05-31_16h13.57.205,MSI_TV_v3,2022.1.1,60.133303507409174,
15,0,15,0,,,,,,,,,,1,1.0,3.0,b,27.0,1.0,4.196249082,2.757001452,None,241.54709860000003,None,244.28110590000068,244.28110590000068,244.29733500000037,None,[],['b'],[0.7539303999983531],246.2763573000011,None,b,2.753930399998353,1,1,0.6875,None,250.47169610000128,None,250.47169610000128,None,,,,,,,,,,,,,,,,,,,CBC_1002,001,1,3,0,1,0.95,2023-05-31_16h13.57.205,MSI_TV_v3,2022.1.1,60.133303507409174,
16,0,16,0,,,,,,,,,,3,3.0,2.0,z,63.0,1.0,2.917714675,0.977134615,None,252.4812862000017,None,253.4319249000011,253.4319249000011,253.44832550000064,None,[],['b'],[0.6488326999988203],255.45748790000107,None,b,2.6488326999988203,0,0,0.6470588235294118,None,258.37220980000166,None,258.37220980000166,None,,,,,,,,,,,,,,,,,,,CBC_1002,001,1,3,0,1,0.95,2023-05-31_16h13.57.205,MSI_TV_v3,2022.1.1,60.133303507409174,
17,0,17,0,,,,,,,,,,2,2.0,3.0,z,63.0,0.0,2.232488062,1.24796184,None,260.3814751000009,None,261.6148713000013,261.6148713000013,261.63150350000177,None,[],['b'],[0.702633999999307],263.6175729000006,None,b,2.702633999999307,0,1,0.6111111111111112,None,265.85479250000026,None,265.85479250000026,None,,,,,,,,,,,,,,,,,,,CBC_1002,001,1,3,0,1,0.95,2023-05-31_16h13.57.205,MSI_TV_v3,2022.1.1,60.133303507409174,
18,0,18,0,,,,,,,,,,1,1.0,0.0,b,63.0,1.0,3.278108735,2.210349838,None,267.8655759000012,None,270.0476879000009,270.0476879000009,270.0639787000011,None,[],['z'],[0.9993808999988687],272.0466832000002,None,z,2.9993808999988687,0,0,0.5789473684210527,None,275.3314941000008,None,275.3314941000008,None,,,,,,,,,,,,,,,,,,,CBC_1002,001,1,3,0,1,0.95,2023-05-31_16h13.57.205,MSI_TV_v3,2022.1.1,60.133303507409174,
19,0,19,0,,,,,,,,,,0,2.0,0.0,z,27.0,1.0,1.109698721,1.142638656,None,277.3308607000017,None,278.44826480000046,278.44826480000046,278.46529050000134,None,[],None,,280.4515854000001,None,None,[],0,3,0.55,None,281.57260230000065,['b'],281.57260230000065,None,[0.0016818999993120087],,,,,,,,,,,,,,,,,,CBC_1002,001,1,3,0,1,0.95,2023-05-31_16h13.57.205,MSI_TV_v3,2022.1.1,60.133303507409174,
20,0,20,0,,,,,,,,,,2,0.0,3.0,z,9.0,1.0,3.478547126,1.293060736,None,283.5919102000007,None,284.84820730000064,284.84820730000064,284.8649971000006,None,[],['z'],[0.8750901999992493],286.85119470000063,None,z,2.8750901999992493,1,1,0.5714285714285714,None,290.3328592000016,None,290.3328592000016,None,,,,,,,,,,,,,,,,,,,CBC_1002,001,1,3,0,1,0.95,2023-05-31_16h13.57.205,MSI_TV_v3,2022.1.1,60.133303507409174,
21,0,21,0,,,,,,,,,,3,2.0,3.0,b,63.0,1.0,2.518459073,1.313600181,None,292.34823830000096,None,293.64826750000174,293.64826750000174,293.6647979000001,None,[],['b'],[0.668893099998968],295.6457865000011,None,b,2.668893099998968,1,1,0.5909090909090909,None,298.1684167000003,None,298.1684167000003,None,,,,,,,,,,,,,,,,,,,CBC_1002,001,1,3,0,1,0.95,2023-05-31_16h13.57.205,MSI_TV_v3,2022.1.1,60.133303507409174,
22,0,22,0,,,,,,,,,,1,3.0,1.0,z,27.0,1.0,2.397501916,3.264468617,None,300.1815434,None,303.43148930000024,303.43148930000024,303.44817790000087,None,[],['b'],[1.0152125999993586],305.4294836000008,None,b,3.0152125999993586,0,0,0.5652173913043478,None,307.8381698000012,None,307.8381698000012,None,,,,,,,,,,,,,,,,,,,CBC_1002,001,1,3,0,1,0.95,2023-05-31_16h13.57.205,MSI_TV_v3,2022.1.1,60.133303507409174,
23,0,23,0,,,,,,,,,,3,3.0,2.0,z,63.0,1.0,1.543156518,2.297139377,None,309.8482952000013,None,312.13185490000177,312.13185490000177,312.14869030000153,None,[],['z'],[0.656019699998069],314.13579050000044,None,z,2.656019699998069,1,1,0.5833333333333334,None,315.6819220000016,None,315.6819220000016,None,,,,,,,,,,,,,,,,,,,CBC_1002,001,1,3,0,1,0.95,2023-05-31_16h13.57.205,MSI_TV_v3,2022.1.1,60.133303507409174,
24,0,24,0,,,,,,,,,,2,2.0,3.0,z,63.0,1.0,2.242058058,0.789129603,None,317.68175770000016,None,318.4476357000014,318.4476357000014,318.4645086000011,None,[],['b'],[0.4763604999989184],320.4428334000004,None,b,2.4763604999989184,0,0,0.56,None,322.69074460000047,None,322.69074460000047,None,,,,,,,,,,,,,,,,,,,CBC_1002,001,1,3,0,1,0.95,2023-05-31_16h13.57.205,MSI_TV_v3,2022.1.1,60.133303507409174,
