trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
18,0,18,0,,,,,,,,,,2,2,1,b,9,1,2.693348633324513,1.25817747924478,None,255.74466080000002,None,257.01746550000007,None,257.01746550000007,None,257.0275675799998,None,None,257.01746550000007,None,['z'],[0.42348799999854236],258.9943011000005,None,z,2.4234879999985424,0,0,0.42105263157894735,261.68220200000087,None,None,261.68220200000087,None,,,,,,,,,,,,,,,,,,,,,,CBC_1022,002,4,1,0,21,0.95,2023-07-18_13h44.55.295,MSI_AV_v3,2022.1.1,59.923764986231205,
19,0,19,0,,,,,,,,,,1,1,3,b,27,1,2.592312596923728,3.1424449555106,None,263.49462180000046,None,266.6502547,None,266.6502547,None,266.6611989799998,None,None,266.6502547,None,['b'],[0.6792689999992945],268.6278398000004,None,b,2.6792689999992945,1,1,0.45,271.21204710000075,None,None,271.21204710000075,None,,,,,,,,,,,,,,,,,,,,,,CBC_1022,002,4,1,0,21,0.95,2023-07-18_13h44.55.295,MSI_AV_v3,2022.1.1,59.923764986231205,
20,0,20,0,,,,,,,,,,0,2,3,z,63,1,2.433630701072358,1.34668860557497,None,273.01097780000055,None,274.3825142000005,None,274.3825142000005,None,274.39430938000027,None,None,274.3825142000005,None,['z'],[0.3100899999990361],276.3606554000007,None,z,2.310089999999036,1,1,0.47619047619047616,278.7752407000007,None,None,278.7752407000007,None,,,,,,,,,,,,,,,,,,,,,,CBC_1022,002,4,1,0,21,0.95,2023-07-18_13h44.55.295,MSI_AV_v3,2022.1.1,59.923764986231205,
21,0,21,0,,,,,,,,,,1,0,1,z,63,0,4.61004669244928,0.917519910446003,None,280.5780239000005,None,281.51586450000013,None,281.51586450000013,None,281.5280708800005,None,None,281.51586450000013,None,['b'],[0.7512624999999389],283.49436460000015,None,b,2.751262499999939,0,1,0.45454545454545453,288.0837726000009,None,None,288.0837726000009,None,,,,,,,,,,,,,,,,,,,,,,CBC_1022,002,4,1,0,21,0.95,2023-07-18_13h44.55.295,MSI_AV_v3,2022.1.1,59.923764986231205,
22,0,22,0,,,,,,,,,,3,0,3,b,9,1,3.7500315165247198,1.94858485820231,None,289.8946128000007,None,291.8656780000001,None,291.8656780000001,None,291.87753707999985,None,None,291.8656780000001,None,['z'],[0.05466869999963819],293.8440117,None,z,2.054668699999638,0,0,0.43478260869565216,297.5786342000001,None,None,297.5786342000001,None,,,,,,,,,,,,,,,,,,,,,,CBC_1022,002,4,1,0,21,0.95,2023-07-18_13h44.55.295,MSI_AV_v3,2022.1.1,59.923764986231205,
23,0,23,0,,,,,,,,,,0,3,2,b,63,1,3.2062024266105302,2.40378712856304,None,299.3777387,None,301.7793264000002,None,301.7793264000002,None,301.77696174000016,None,None,301.7793264000002,None,['z'],[0.38792429999921296],303.76147480000054,None,z,2.387924299999213,0,0,0.4166666666666667,306.95181500000035,None,None,306.95181500000035,None,,,,,,,,,,,,,,,,,,,,,,CBC_1022,002,4,1,0,21,0.95,2023-07-18_13h44.55.295,MSI_AV_v3,2022.1.1,59.923764986231205,
24,0,24,0,,,,,,,,,,1,3,1,z,27,1,4.12485271162806,1.52290599571961,None,308.7613734000006,None,310.2994638,None,310.2994638,None,310.3112691800001,None,['b'],310.2994638,None,None,,312.2852003000007,None,b,1.8834998999991512,0,0,0.4,316.3998996,None,None,316.3998996,None,[1.8834998999991512],,,,,,,,,,,,,,,,,,,,,CBC_1022,002,4,1,0,21,0.95,2023-07-18_13h44.55.295,MSI_AV_v3,2022.1.1,59.923764986231205,
25,0,25,0,,,,,,,,,,2,3,2,z,63,1,2.517541937862754,1.53122835510861,None,318.21127440000055,None,319.76756660000046,None,319.76756660000046,None,319.7781620800001,None,None,319.76756660000046,None,['b'],[0.5279648999994606],321.74457490000077,None,b,2.5279648999994606,0,0,0.38461538461538464,324.2424767000002,None,None,324.2424767000002,None,,,,,,,,,,,,,,,,,,,,,,CBC_1022,002,4,1,0,21,0.95,2023-07-18_13h44.55.295,MSI_AV_v3,2022.1.1,59.923764986231205,
26,0,26,0,,,,,,,,,,2,0,2,z,27,1,3.68371079902891,2.96653053743745,None,326.04451490000065,None,329.0333356000001,None,329.0333356000001,None,329.04456307999993,None,None,329.0333356000001,None,['z'],[0.8938273999992816],331.0113377000007,None,z,2.8938273999992816,1,1,0.4074074074074074,334.6942073,None,None,334.6942073,None,,,,,,,,,,,,,,,,,,,,,,CBC_1022,002,4,1,0,21,0.95,2023-07-18_13h44.55.295,MSI_AV_v3,2022.1.1,59.923764986231205,
27,0,27,0,,,,,,,,,,1,1,0,b,63,1,4.01714354611405,1.96568735158996,None,336.4947703000007,None,338.4818081000003,None,338.4818081000003,None,338.49459838000024,None,None,338.4818081000003,None,['b'],[0.7627663999992365],340.4612308000005,None,b,2.7627663999992365,1,1,0.42857142857142855,344.4836501000009,None,None,344.4836501000009,None,,,,,,,,,,,,,,,,,,,,,,CBC_1022,002,4,1,0,21,0.95,2023-07-18_13h44.55.295,MSI_AV_v3,2022.1.1,59.923764986231205,
