trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
8,0,8,0,,,,,,,,,,3,2.0,0.0,b,27.0,1.0,3.76873691643126,1.96568735158996,None,155.63325899999836,None,157.602598999998,None,157.602598999998,None,157.5995700599982,None,None,157.602598999998,None,['b'],[0.731954399998358],159.58379159999822,None,b,2.731954399998358,1,1,1.0,163.34958030000053,None,None,163.34958030000053,None,,,,,,,,,,,,,,,,,,,CBC_1016,003,4,1,0,15,0.95,2023-06-25_15h20.06.953,MSI_AV_v3,2022.1.1,59.95947938329022,
9,0,9,0,,,,,,,,,,0,2.0,3.0,z,63.0,1.0,4.01714354611405,1.25817747924478,None,165.15027579999878,None,166.42294390000097,None,166.42294390000097,None,166.43369641999814,None,None,166.42294390000097,None,['z'],[0.32604640000135987],168.40035160000116,None,z,2.32604640000136,1,1,1.0,172.41001219999816,None,None,172.41001219999816,None,,,,,,,,,,,,,,,,,,,CBC_1016,003,4,1,0,15,0.95,2023-06-25_15h20.06.953,MSI_AV_v3,2022.1.1,59.95947938329022,
10,0,10,0,,,,,,,,,,1,1.0,0.0,b,63.0,1.0,3.02234236141277,2.40378712856304,None,174.21692489999987,None,176.63446660000045,None,176.63446660000045,None,176.633951540001,None,['b'],176.63446660000045,None,None,,178.63066350000008,None,b,1.06003950000013,1,1,1.0,181.65370679999978,None,None,181.65370679999978,None,[1.06003950000013],,,,,,,,,,,,,,,,,,CBC_1016,003,4,1,0,15,0.95,2023-06-25_15h20.06.953,MSI_AV_v3,2022.1.1,59.95947938329022,
11,0,11,0,,,,,,,,,,2,0.0,1.0,b,63.0,1.0,3.2062024266105302,1.36309078069689,None,183.4672099999989,None,184.85499680000066,None,184.85499680000066,None,184.8668769199983,None,['b'],184.85499680000066,None,None,,186.8501314999994,None,b,1.3784051000002364,1,1,1.0,190.05724279999777,None,None,190.05724279999777,None,[1.3784051000002364],,,,,,,,,,,,,,,,,,CBC_1016,003,4,1,0,15,0.95,2023-06-25_15h20.06.953,MSI_AV_v3,2022.1.1,59.95947938329022,
12,0,12,0,,,,,,,,,,0,2.0,3.0,z,63.0,1.0,2.82320408183943,0.974903167432984,None,191.86696110000048,None,192.85458819999985,None,192.85458819999985,None,192.86689191999974,None,None,192.85458819999985,None,['z'],[0.2811247999998159],194.83346700000038,None,z,2.281124799999816,1,1,1.0,197.64495969999916,None,None,197.64495969999916,None,,,,,,,,,,,,,,,,,,,CBC_1016,003,4,1,0,15,0.95,2023-06-25_15h20.06.953,MSI_AV_v3,2022.1.1,59.95947938329022,
13,0,13,0,,,,,,,,,,3,2.0,0.0,b,27.0,1.0,4.12485271162806,1.94858485820231,None,199.45090640000126,None,201.4230619000009,None,201.4230619000009,None,201.43381301999833,None,None,201.4230619000009,None,['z'],[0.7342282999998133],203.3999588000006,None,z,2.7342282999998133,0,0,0.9285714285714286,207.50145150000026,None,None,207.50145150000026,None,,,,,,,,,,,,,,,,,,,CBC_1016,003,4,1,0,15,0.95,2023-06-25_15h20.06.953,MSI_AV_v3,2022.1.1,59.95947938329022,
14,0,14,0,,,,,,,,,,2,0.0,1.0,b,63.0,1.0,2.678526077912375,0.80788063606262,None,209.31707090000054,None,210.13853839999865,None,210.13853839999865,None,210.15031841999806,None,None,210.13853839999865,None,['b'],[0.288641799998004],212.11695229999896,None,b,2.288641799998004,1,1,0.9333333333333333,214.7871669999986,None,None,214.7871669999986,None,,,,,,,,,,,,,,,,,,,CBC_1016,003,4,1,0,15,0.95,2023-06-25_15h20.06.953,MSI_AV_v3,2022.1.1,59.95947938329022,
15,0,15,0,,,,,,,,,,1,1.0,3.0,b,27.0,1.0,2.2759877950103027,3.06992456303453,None,216.59935010000117,None,219.6830946000009,None,219.6830946000009,None,219.68344243999817,None,['b'],219.6830946000009,None,None,,221.66641199999867,None,b,1.2178795999971044,1,1,0.9375,223.94973639999807,None,None,223.94973639999807,None,[1.2178795999971044],,,,,,,,,,,,,,,,,,CBC_1016,003,4,1,0,15,0.95,2023-06-25_15h20.06.953,MSI_AV_v3,2022.1.1,59.95947938329022,
16,0,16,0,,,,,,,,,,3,3.0,2.0,z,63.0,1.0,2.342239579230602,1.52290599571961,None,225.75033469999835,None,227.28467459999956,None,227.28467459999956,None,227.28381514000066,None,None,227.28467459999956,None,['b'],[0.6404382000000624],229.26590719999876,None,b,2.6404382000000624,0,0,0.8823529411764706,231.59742249999908,None,None,231.59742249999908,None,,,,,,,,,,,,,,,,,,,CBC_1016,003,4,1,0,15,0.95,2023-06-25_15h20.06.953,MSI_AV_v3,2022.1.1,59.95947938329022,
17,0,17,0,,,,,,,,,,0,2.0,3.0,z,63.0,0.0,3.3728785608729996,2.10421507306074,None,233.40081780000037,None,235.52292250000028,None,235.52292250000028,None,235.53388232000069,None,['z'],235.52292250000028,None,None,,237.51698039999974,None,z,1.4372339000001375,1,0,0.8888888888888888,240.88946999999825,None,None,240.88946999999825,None,[1.4372339000001375],,,,,,,,,,,,,,,,,,CBC_1016,003,4,1,0,15,0.95,2023-06-25_15h20.06.953,MSI_AV_v3,2022.1.1,59.95947938329022,
