trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
30,0,30,0,,,,,,,,,,3,0,1,b,63,1,4.52047235037039,1.25817747924478,None,575.9319533000007,None,577.1653437400004,577.1653437400004,577.1822070399998,None,[],['b'],[0.5810162999996464],579.1664998999995,None,b,2.5810162999996464,1,1,0.6451612903225806,None,583.7049902000008,None,583.7049902000008,None,,,,,,,,,,,,,,,,,,,,,,CBC_1042,001,6,2,2,19,0.95,2024-07-26_15h40.22.663,MSI_TV_v3,2022.1.1,59.99826005074259,
31,0,31,0,,,,,,,,,,1,2,3,z,63,1,2.496959177995529,1.25920145784721,None,585.5153218999994,None,586.7479110400003,586.7479110400003,586.7646871399996,None,[],['b'],[0.9850828000007823],588.7462053999998,None,b,2.9850828000007823,0,0,0.625,None,591.2464841999999,None,591.2464841999999,None,,,,,,,,,,,,,,,,,,,,,,CBC_1042,001,6,2,2,19,0.95,2024-07-26_15h40.22.663,MSI_TV_v3,2022.1.1,59.99826005074259,
32,0,32,0,,,,,,,,,,0,1,2,b,9,1,2.693348633324513,3.06992456303453,None,593.0488840000007,None,596.0987604400001,596.0987604400001,596.1163469400002,None,[],['b'],[2.2910987999994177],598.1050948000002,None,b,4.291098799999418,1,1,0.6363636363636364,None,600.8117028000006,None,600.8117028000006,None,,,,,,,,,,,,,,,,,,,,,,CBC_1042,001,6,2,2,19,0.95,2024-07-26_15h40.22.663,MSI_TV_v3,2022.1.1,59.99826005074259,
33,0,33,0,,,,,,,,,,3,0,1,b,63,1,3.35133458220192,2.6299100644723,None,602.6153597000002,None,605.2322924399999,605.2322924399999,605.2488389400008,None,[],['z'],[1.028330600001027],607.2314763999993,None,z,3.028330600001027,0,0,0.6176470588235294,None,610.5939174999994,None,610.5939174999994,None,,,,,,,,,,,,,,,,,,,,,,CBC_1042,001,6,2,2,19,0.95,2024-07-26_15h40.22.663,MSI_TV_v3,2022.1.1,59.99826005074259,
34,0,34,0,,,,,,,,,,2,1,2,z,9,1,2.294664843639333,2.22427187882546,None,612.3983056999996,None,614.5988687400007,614.5988687400007,614.6155657399999,None,[],['b'],[0.9857141999991654],616.6039002000007,None,b,2.9857141999991654,0,0,0.6,None,618.8938403999991,None,618.8938403999991,None,,,,,,,,,,,,,,,,,,,,,,CBC_1042,001,6,2,2,19,0.95,2024-07-26_15h40.22.663,MSI_TV_v3,2022.1.1,59.99826005074259,
35,0,35,0,,,,,,,,,,0,0,1,z,63,1,4.40017271499661,0.80788063606262,None,620.6989490999995,None,621.4823435399998,621.4823435399998,621.4988841399994,None,[],['b'],[0.6164964999998119],623.4877084999998,None,b,2.616496499999812,0,0,0.5833333333333334,None,627.8988142000007,None,627.8988142000007,None,,,,,,,,,,,,,,,,,,,,,,CBC_1042,001,6,2,2,19,0.95,2024-07-26_15h40.22.663,MSI_TV_v3,2022.1.1,59.99826005074259,
36,0,36,0,,,,,,,,,,3,1,0,z,63,0,2.6391747348430608,2.96653053743745,None,629.6989626999994,None,632.6491123399995,632.6491123399995,632.6658040400001,None,[],['z'],[0.5845400999996855],634.6567478999996,None,z,2.5845400999996855,1,0,0.5945945945945946,None,637.2944629000003,None,637.2944629000003,None,,,,,,,,,,,,,,,,,,,,,,CBC_1042,001,6,2,2,19,0.95,2024-07-26_15h40.22.663,MSI_TV_v3,2022.1.1,59.99826005074259,
37,0,37,0,,,,,,,,,,0,1,0,b,63,1,2.92731383428727,3.33124983260532,None,639.0993102000002,None,642.4157814400008,642.4157814400008,642.4324711400008,None,[],['b'],[0.9181937999992442],644.4216365999991,None,b,2.918193799999244,1,1,0.6052631578947368,None,647.3553196999992,None,647.3553196999992,None,,,,,,,,,,,,,,,,,,,,,,CBC_1042,001,6,2,2,19,0.95,2024-07-26_15h40.22.663,MSI_TV_v3,2022.1.1,59.99826005074259,
38,0,38,0,,,,,,,,,,1,3,1,b,27,1,3.02234236141277,1.96568735158996,None,649.1664941999998,None,651.1145888400009,651.1145888400009,651.1316085399998,None,[],['z'],[0.6167996999984098],653.1114755000008,None,z,2.61679969999841,0,0,0.5897435897435898,None,656.1290283999997,None,656.1290283999997,None,,,,,,,,,,,,,,,,,,,,,,CBC_1042,001,6,2,2,19,0.95,2024-07-26_15h40.22.663,MSI_TV_v3,2022.1.1,59.99826005074259,
39,0,39,0,,,,,,,,,,2,2,3,b,63,1,2.678526077912375,2.15533949826702,None,657.9325524000005,None,660.0658762400002,660.0658762400002,660.0825140399996,None,[],['b'],[0.5105967999998029],662.0701127999992,None,b,2.510596799999803,1,1,0.6,None,664.7544138000003,None,664.7544138000003,None,,,,,,,,,,,,,,,,,,,,,,CBC_1042,001,6,2,2,19,0.95,2024-07-26_15h40.22.663,MSI_TV_v3,2022.1.1,59.99826005074259,
40,0,40,0,,,,,,,,,,3,2,0,z,27,1,4.12485271162806,1.27538462653558,None,666.5658200999997,None,667.8165478400009,667.8165478400009,667.8327812400006,None,[],['z'],[0.5414224000005561],669.8221364999999,None,z,2.541422400000556,1,1,0.6097560975609756,None,673.9421857999996,None,673.9421857999996,None,,,,,,,,,,,,,,,,,,,,,,CBC_1042,001,6,2,2,19,0.95,2024-07-26_15h40.22.663,MSI_TV_v3,2022.1.1,59.99826005074259,
41,0,41,0,,,,,,,,,,1,3,2,b,63,1,4.11514536789087,3.4543169006169,None,675.7493602000004,None,679.1821591400006,679.1821591400006,679.1983637399993,None,[],['b'],[0.725462499999594],681.1794670000008,None,b,2.725462499999594,1,1,0.6190476190476191,None,685.2963336999992,None,685.2963336999992,None,,,,,,,,,,,,,,,,,,,,,,CBC_1042,001,6,2,2,19,0.95,2024-07-26_15h40.22.663,MSI_TV_v3,2022.1.1,59.99826005074259,
42,0,42,0,,,,,,,,,,0,3,1,z,27,1,2.526044641065533,0.974903167432984,None,687.0994951000002,None,688.0496250399996,688.0496250399996,688.0662853399994,None,[],['z'],[0.7103238999998212],690.0549887999996,None,z,2.710323899999821,1,1,0.627906976744186,None,692.5890336999992,None,692.5890336999992,None,,,,,,,,,,,,,,,,,,,,,,CBC_1042,001,6,2,2,19,0.95,2024-07-26_15h40.22.663,MSI_TV_v3,2022.1.1,59.99826005074259,
43,0,43,0,,,,,,,,,,2,2,3,b,63,1,4.7533305109883095,2.10421507306074,None,694.3983505000006,None,696.4827468400002,696.4827468400002,696.49923204,None,[],['b'],[0.453777199999422],698.4894109999996,None,b,2.453777199999422,1,1,0.6363636363636364,None,703.2437132999994,None,703.2437132999994,None,,,,,,,,,,,,,,,,,,,,,,CBC_1042,001,6,2,2,19,0.95,2024-07-26_15h40.22.663,MSI_TV_v3,2022.1.1,59.99826005074259,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,705.0494564999999,None,,,,,,,,,,,,,,,,,,CBC_1042,001,6,2,2,19,0.95,2024-07-26_15h40.22.663,MSI_TV_v3,2022.1.1,59.99826005074259,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,710.0320087000009,None,None,710.0320087000009,714.9988617999998,,,,,,,,,,,,,CBC_1042,001,6,2,2,19,0.95,2024-07-26_15h40.22.663,MSI_TV_v3,2022.1.1,59.99826005074259,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z,b,hard,"[0, 1, 2, 3]","[3, 0, 2, 1]",0.5454545454545454,0.7272727272727273,0.6363636363636364,0.6363636363636364,28,1,15,,,,,,,,,,,,
