trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
18,0,18,0,,,,,,,,,,2,1.0,0.0,b,63.0,1.0,1.6718976049999998,2.071213329,None,246.06309109999984,None,248.15819650000003,None,248.15819650000003,None,248.16300151999994,None,None,248.15819650000003,None,['z'],[1.0650195000002896],250.12974729999996,None,z,3.0650195000002896,0,0,0.42105263157894735,251.79546219999975,None,None,251.79546219999975,None,,,,,,,,,,,,,,,,,,,,CBC_1003,001,4,3,0,2,0.8,2023-06-14_14h56.33.053,MSI_AV_v3,2022.1.1,59.94909123168829,
19,0,19,0,,,,,,,,,,0,2.0,0.0,z,27.0,1.0,3.501824497,3.388090306,None,253.79643910000004,None,257.20061899999973,None,257.20061899999973,None,257.19698504,None,None,257.20061899999973,None,['z'],[0.3410295000003316],259.1796215999998,None,z,2.3410295000003316,1,1,0.45,262.67276909999964,None,None,262.67276909999964,None,,,,,,,,,,,,,,,,,,,,CBC_1003,001,4,3,0,2,0.8,2023-06-14_14h56.33.053,MSI_AV_v3,2022.1.1,59.94909123168829,
20,0,20,0,,,,,,,,,,3,0.0,3.0,z,9.0,1.0,3.869831913,2.232990834,None,264.67983019999974,None,266.9333284999998,None,266.9333284999998,None,266.9298075400001,None,None,266.9333284999998,None,['z'],[1.2357020999997985],268.9130519,None,z,3.2357020999997985,1,1,0.47619047619047616,272.7784975999998,None,None,272.7784975999998,None,,,,,,,,,,,,,,,,,,,,CBC_1003,001,4,3,0,2,0.8,2023-06-14_14h56.33.053,MSI_AV_v3,2022.1.1,59.94909123168829,
21,0,21,0,,,,,,,,,,1,2.0,3.0,b,63.0,1.0,3.589438522,3.274187802,None,274.7795417999996,None,278.06468529999984,None,278.06468529999984,None,278.06297584,None,None,278.06468529999984,None,['z'],[1.2657719000003453],280.0464453999998,None,z,3.2657719000003453,0,0,0.45454545454545453,283.62304270000004,None,None,283.62304270000004,None,,,,,,,,,,,,,,,,,,,,CBC_1003,001,4,3,0,2,0.8,2023-06-14_14h56.33.053,MSI_AV_v3,2022.1.1,59.94909123168829,
22,0,22,0,,,,,,,,,,2,3.0,1.0,z,27.0,1.0,2.232488062,1.75396268,None,285.6298348,None,287.4019739999999,None,287.4019739999999,None,287.41343311999987,None,['b'],287.4019739999999,None,None,,289.39531149999993,None,b,1.530639400000382,0,0,0.43478260869565216,291.63586719999967,None,None,291.63586719999967,None,[1.530639400000382],,,,,,,,,,,,,,,,,,,CBC_1003,001,4,3,0,2,0.8,2023-06-14_14h56.33.053,MSI_AV_v3,2022.1.1,59.94909123168829,
23,0,23,0,,,,,,,,,,1,3.0,2.0,z,63.0,1.0,2.67601813,2.757001452,None,293.6463976,None,296.4184309999996,None,296.4184309999996,None,296.42978692,None,None,296.4184309999996,None,['b'],[1.251916500000334],298.3966220999996,None,b,3.251916500000334,0,0,0.4166666666666667,301.05879779999987,None,None,301.05879779999987,None,,,,,,,,,,,,,,,,,,,,CBC_1003,001,4,3,0,2,0.8,2023-06-14_14h56.33.053,MSI_AV_v3,2022.1.1,59.94909123168829,
24,0,24,0,,,,,,,,,,3,2.0,3.0,z,63.0,1.0,3.478547126,2.128027194,None,303.0631920999999,None,305.20138899999984,None,305.20138899999984,None,305.21376642,None,['z'],305.20138899999984,None,None,,307.1970188,None,z,1.8431836999998268,1,1,0.44,310.68558399999984,None,None,310.68558399999984,None,[1.8431836999998268],,,,,,,,,,,,,,,,,,,CBC_1003,001,4,3,0,2,0.8,2023-06-14_14h56.33.053,MSI_AV_v3,2022.1.1,59.94909123168829,
25,0,25,0,,,,,,,,,,2,1.0,0.0,b,63.0,1.0,4.268032915,2.349749758,None,312.70357369999965,None,315.04704909999964,None,315.04704909999964,None,315.04582505999974,None,None,315.04704909999964,None,['z'],[2.2411863000002086],317.0298531999997,None,z,4.241186300000209,0,0,0.4230769230769231,321.2872629999997,None,None,321.2872629999997,None,,,,,,,,,,,,,,,,,,,,CBC_1003,001,4,3,0,2,0.8,2023-06-14_14h56.33.053,MSI_AV_v3,2022.1.1,59.94909123168829,
26,0,26,0,,,,,,,,,,0,0.0,3.0,b,9.0,1.0,1.556335756,1.554037824,None,323.308446,None,324.86715879999974,None,324.86715879999974,None,324.86310543999974,None,None,324.86715879999974,None,None,,326.8462929999996,None,[],[],0,3,0.4074074074074074,328.3842958,None,['b'],328.3842958,None,,[0.7691604000001462],,,,,,,,,,,,,,,,,,CBC_1003,001,4,3,0,2,0.8,2023-06-14_14h56.33.053,MSI_AV_v3,2022.1.1,59.94909123168829,
27,0,27,0,,,,,,,,,,3,2.0,3.0,z,63.0,0.0,2.117809983,2.962224669,None,330.39649089999966,None,333.3678576999996,None,333.3678576999996,None,333.36356003999975,None,"['z', 'b']",333.3678576999996,None,None,,335.3483884999996,None,z,1.0633914000004552,1,0,0.42857142857142855,337.4685621999997,None,None,337.4685621999997,None,"[1.0633914000004552, 1.8717297000002873]",,,,,,,,,,,,,,,,,,,CBC_1003,001,4,3,0,2,0.8,2023-06-14_14h56.33.053,MSI_AV_v3,2022.1.1,59.94909123168829,
28,0,28,0,,,,,,,,,,1,2.0,0.0,b,27.0,1.0,1.899747326,1.84422311,None,339.4797983999997,None,341.3349555,None,341.3349555,None,341.3466067199998,None,None,341.3349555,None,['b'],[0.9229654000000664],343.31264599999986,None,b,2.9229654000000664,1,1,0.4482758620689655,345.1895632999999,None,None,345.1895632999999,None,,,,,,,,,,,,,,,,,,,,CBC_1003,001,4,3,0,2,0.8,2023-06-14_14h56.33.053,MSI_AV_v3,2022.1.1,59.94909123168829,
29,0,29,0,,,,,,,,,,0,1.0,0.0,z,63.0,0.0,1.543156518,0.971483559,None,347.1964877999999,None,348.18523909999976,None,348.18523909999976,None,348.19653762000013,None,None,348.18523909999976,None,None,,350.1631126999996,None,[],[],0,3,0.43333333333333335,351.68528739999965,None,['b'],351.68528739999965,None,,[0.690349999999853],,,,,,,,,,,,,,,,,,CBC_1003,001,4,3,0,2,0.8,2023-06-14_14h56.33.053,MSI_AV_v3,2022.1.1,59.94909123168829,
30,0,30,0,,,,,,,,,,2,1.0,0.0,b,63.0,1.0,4.176609572,2.234398566,None,353.6964785,None,355.9296863999998,None,355.9296863999998,None,355.92888665999976,None,None,355.9296863999998,None,['b'],[0.015722099999948114],357.9131431999999,None,b,2.015722099999948,1,1,0.45161290322580644,362.0797413999999,None,None,362.0797413999999,None,,,,,,,,,,,,,,,,,,,,CBC_1003,001,4,3,0,2,0.8,2023-06-14_14h56.33.053,MSI_AV_v3,2022.1.1,59.94909123168829,
31,0,31,0,,,,,,,,,,3,3.0,1.0,b,27.0,1.0,1.758742576,0.789129603,None,364.0799823999996,None,364.88425469999993,None,364.88425469999993,None,364.8799983399999,None,['b'],364.88425469999993,None,None,,366.8796312999998,None,b,1.6059392000001935,1,1,0.46875,368.6294549999998,None,None,368.6294549999998,None,[1.6059392000001935],,,,,,,,,,,,,,,,,,,CBC_1003,001,4,3,0,2,0.8,2023-06-14_14h56.33.053,MSI_AV_v3,2022.1.1,59.94909123168829,
32,0,32,0,,,,,,,,,,1,3.0,2.0,z,63.0,1.0,4.196249082,2.210349838,None,370.6298704999999,None,372.8501521999997,None,372.8501521999997,None,372.8465247399999,None,None,372.8501521999997,None,['b'],[1.0656763000001774],374.82990299999983,None,b,3.0656763000001774,0,0,0.45454545454545453,379.0211583999999,None,None,379.0211583999999,None,,,,,,,,,,,,,,,,,,,,CBC_1003,001,4,3,0,2,0.8,2023-06-14_14h56.33.053,MSI_AV_v3,2022.1.1,59.94909123168829,
