trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,tactile_4.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,keys_6.rt,response_4.rt,allKeys.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,tactilePair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
9,0,9,0,,,,,,,,,,1.0,1,1.0,50.0,1.0,4.08205346963855,2.99272735241982,None,163.32624309999937,None,166.29317372999986,166.29317372999986,None,[],"['z', 'b']","[1.1928117999996175, 2.5834477999997034]",168.29386309999973,None,z,3.1928117999996175,0,0,0.3,172.38810159999957,None,None,172.38810159999957,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1089,2,3,1,3,18,0.95,2024-10-02_14h23.15.490,MSI_TV_v1,2022.1.1,60.330551089607354,
10,0,10,0,,,,,,,,,,0.0,2,0.0,14.0,1.0,3.35750049552731,0.886051557539332,None,174.19290229999933,None,175.0598451299996,175.0598451299996,None,[],['b'],[1.0003593999999794],177.0654829999994,None,b,3.0003593999999794,0,0,0.2727272727272727,180.43788689999928,None,None,180.43788689999928,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1089,2,3,1,3,18,0.95,2024-10-02_14h23.15.490,MSI_TV_v1,2022.1.1,60.330551089607354,
11,0,11,0,,,,,,,,,,1.0,1,1.0,50.0,1.0,2.755584162388418,2.18142366553255,None,182.24318099999982,None,184.41002642999985,184.41002642999985,None,[],['z'],[0.928326900000684],186.41468389999955,None,z,2.928326900000684,0,0,0.25,189.19055069999922,None,None,189.19055069999922,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1089,2,3,1,3,18,0.95,2024-10-02_14h23.15.490,MSI_TV_v1,2022.1.1,60.330551089607354,
12,0,12,0,,,,,,,,,,2.0,0,0.0,36.0,1.0,2.8965037234387068,1.1680331695907,None,190.99251969999932,None,192.14325222999952,192.14325222999952,None,[],['z'],[1.1735943999992742],194.14855179999995,None,z,3.173594399999274,1,1,0.3076923076923077,197.07375059999958,None,None,197.07375059999958,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1089,2,3,1,3,18,0.95,2024-10-02_14h23.15.490,MSI_TV_v1,2022.1.1,60.330551089607354,
13,0,13,0,,,,,,,,,,1.0,2,0.0,36.0,1.0,2.533372966674614,2.68012679460483,None,198.87534439999945,None,201.52608773000003,201.52608773000003,None,[],['z'],[0.6947675999999774],203.52241429999958,None,z,2.6947675999999774,1,1,0.35714285714285715,206.07367389999945,None,None,206.07367389999945,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1089,2,3,1,3,18,0.95,2024-10-02_14h23.15.490,MSI_TV_v1,2022.1.1,60.330551089607354,
14,0,14,0,,,,,,,,,,2.0,0,0.0,36.0,1.0,3.00565230777806,3.093067417437,None,207.87638139999945,None,210.94316202999954,210.94316202999954,None,[],['b'],[1.6158924999999726],212.95208309999998,None,b,3.6158924999999726,0,0,0.3333333333333333,215.9733053,None,None,215.9733053,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1089,2,3,1,3,18,0.95,2024-10-02_14h23.15.490,MSI_TV_v1,2022.1.1,60.330551089607354,
15,0,15,0,,,,,,,,,,1.0,1,1.0,50.0,1.0,4.79595120749692,1.09364692357212,None,217.77616409999973,None,218.8432527299995,218.8432527299995,None,[],['b'],[3.8594066000005114],220.84806939999999,None,b,5.859406600000511,1,1,0.375,225.65766039999926,None,None,225.65766039999926,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1089,2,3,1,3,18,0.95,2024-10-02_14h23.15.490,MSI_TV_v1,2022.1.1,60.330551089607354,
16,0,16,0,,,,,,,,,,2.0,0,0.0,36.0,1.0,4.75208449114276,0.859460502749755,None,227.46001109999997,None,228.29339372999976,228.29339372999976,None,[],['b'],[4.689285000000382],230.29822419999982,None,b,6.689285000000382,0,0,0.35294117647058826,235.0625657999999,None,None,235.0625657999999,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1089,2,3,1,3,18,0.95,2024-10-02_14h23.15.490,MSI_TV_v1,2022.1.1,60.330551089607354,
17,0,17,0,,,,,,,,,,1.0,1,1.0,50.0,1.0,4.057112590273469,1.23760834810881,None,236.87639279999985,None,238.09330752999932,238.09330752999932,None,[],['b'],[0.6199702000003526],240.09443659999943,None,b,2.6199702000003526,1,1,0.3888888888888889,244.17338759999984,None,None,244.17338759999984,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1089,2,3,1,3,18,0.95,2024-10-02_14h23.15.490,MSI_TV_v1,2022.1.1,60.330551089607354,
18,0,18,0,,,,,,,,,,0.0,0,1.0,50.0,1.0,4.18755802100366,2.71666458349534,None,245.9763514999995,None,248.67710382999968,248.67710382999968,None,[],['b'],[0.7253621999998359],250.67950389999987,None,b,2.725362199999836,1,1,0.42105263157894735,254.89212169999973,None,None,254.89212169999973,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1089,2,3,1,3,18,0.95,2024-10-02_14h23.15.490,MSI_TV_v1,2022.1.1,60.330551089607354,
19,0,19,0,,,,,,,,,,2.0,2,1.0,50.0,1.0,2.260653249681576,2.19546497995913,None,256.6934732999998,None,258.86068062999976,258.86068062999976,None,[],['b'],[0.36223059999974794],260.86480949999986,None,b,2.362230599999748,1,1,0.45,263.1252779999995,None,None,263.1252779999995,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1089,2,3,1,3,18,0.95,2024-10-02_14h23.15.490,MSI_TV_v1,2022.1.1,60.330551089607354,
