trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,tactile_4.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,tactilePair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
8,0,8,0,,,,,,,,,,2,2,0,36,1,2.9608932424063896,2.32696722275902,None,163.65361660000053,None,165.95355639000007,165.95355639000007,None,[],['z'],[1.1476813000008406],167.9543393999993,None,z,3.1476813000008406,0,0,0.6666666666666666,170.9289250999991,None,None,170.9289250999991,None,,,,,,,,,,,,,,,,,,,,CBC_1039,4,2,3,6,16,0.95,2024-01-31_15h54.46.456,MSI_TV_v1,2022.1.1,60.07676609116642,
9,0,9,0,,,,,,,,,,0,0,0,36,1,4.638307379983409,1.93473628110684,None,172.73711150000054,None,174.65385858999906,174.65385858999906,None,[],['b'],[1.1620813999998063],176.65073250000023,None,b,3.1620813999998063,1,1,0.7,181.31401150000056,None,None,181.31401150000056,None,,,,,,,,,,,,,,,,,,,,CBC_1039,4,2,3,6,16,0.95,2024-01-31_15h54.46.456,MSI_TV_v1,2022.1.1,60.07676609116642,
10,0,10,0,,,,,,,,,,2,2,0,36,1,4.89745263827305,2.19546497995913,None,183.12065579999944,None,185.28705288999953,185.28705288999953,None,[],['b'],[1.5945131999997102],187.28909860000022,None,b,3.59451319999971,1,1,0.7272727272727273,192.19647369999984,None,None,192.19647369999984,None,,,,,,,,,,,,,,,,,,,,CBC_1039,4,2,3,6,16,0.95,2024-01-31_15h54.46.456,MSI_TV_v1,2022.1.1,60.07676609116642,
11,0,11,0,,,,,,,,,,0,1,0,14,1,3.08399219778019,0.760509851028298,None,194.0037124999999,None,194.73717198999947,194.73717198999947,None,[],['b'],[2.4335567000016454],196.73738670000057,None,b,4.433556700001645,1,1,0.75,199.8309749,None,None,199.8309749,None,,,,,,,,,,,,,,,,,,,,CBC_1039,4,2,3,6,16,0.95,2024-01-31_15h54.46.456,MSI_TV_v1,2022.1.1,60.07676609116642,
12,0,12,0,,,,,,,,,,1,0,1,50,1,2.143942873030107,3.093067417437,None,201.63673670000026,None,204.7038616900001,204.7038616900001,None,[],['z'],[0.7348548000009032],206.70471630000065,None,z,2.734854800000903,1,1,0.7692307692307693,208.86405270000068,None,None,208.86405270000068,None,,,,,,,,,,,,,,,,,,,,CBC_1039,4,2,3,6,16,0.95,2024-01-31_15h54.46.456,MSI_TV_v1,2022.1.1,60.07676609116642,
13,0,13,0,,,,,,,,,,2,1,1,50,1,2.533372966674614,2.2926827756088,None,210.67018869999993,None,212.93734329000034,212.93734329000034,None,[],['z'],[2.348768800000471],214.93578340000022,None,z,4.348768800000471,1,1,0.7857142857142857,217.4802878999999,None,None,217.4802878999999,None,,,,,,,,,,,,,,,,,,,,CBC_1039,4,2,3,6,16,0.95,2024-01-31_15h54.46.456,MSI_TV_v1,2022.1.1,60.07676609116642,
14,0,14,0,,,,,,,,,,0,0,0,36,1,3.6791616380244196,1.09364692357212,None,219.28702580000027,None,220.35380388999982,220.35380388999982,None,[],['b'],[0.3270962000005966],222.3545481000001,None,b,2.3270962000005966,1,1,0.8,226.0464396999996,None,None,226.0464396999996,None,,,,,,,,,,,,,,,,,,,,CBC_1039,4,2,3,6,16,0.95,2024-01-31_15h54.46.456,MSI_TV_v1,2022.1.1,60.07676609116642,
15,0,15,0,,,,,,,,,,2,1,1,50,0,3.0795770157756097,2.711340609857,None,227.85397759999978,None,230.53732278999922,230.53732278999922,None,[],['z'],[0.8891753000007157],232.5368484999999,None,z,2.8891753000007157,1,0,0.8125,235.6290059999992,None,None,235.6290059999992,None,,,,,,,,,,,,,,,,,,,,CBC_1039,4,2,3,6,16,0.95,2024-01-31_15h54.46.456,MSI_TV_v1,2022.1.1,60.07676609116642,
16,0,16,0,,,,,,,,,,0,2,1,50,1,3.0109893695593497,2.31238477131615,None,237.4371358999997,None,239.73725178999956,239.73725178999956,None,[],['b'],[1.865432200000214],241.73389019999922,None,b,3.865432200000214,0,0,0.7647058823529411,244.76238980000016,None,None,244.76238980000016,None,,,,,,,,,,,,,,,,,,,,CBC_1039,4,2,3,6,16,0.95,2024-01-31_15h54.46.456,MSI_TV_v1,2022.1.1,60.07676609116642,
17,0,17,0,,,,,,,,,,1,1,0,36,1,4.18755802100366,2.93253104700369,None,246.5704898999993,None,249.48722749000007,249.48722749000007,None,[],['b'],[0.35835860000042885],251.48485260000052,None,b,2.358358600000429,1,1,0.7777777777777778,255.69750890000068,None,None,255.69750890000068,None,,,,,,,,,,,,,,,,,,,,CBC_1039,4,2,3,6,16,0.95,2024-01-31_15h54.46.456,MSI_TV_v1,2022.1.1,60.07676609116642,
