trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,tactile_4.started,response_4.keys,allKeys.keys,response_4.rt,allKeys.rt,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,keys_6.rt,response_5.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,tactilePair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
9,0,9,0,,,,,,,,,,0.0,0,0.0,36.0,1.0,4.79595120749692,2.46643561303325,None,238.92386179999994,None,241.3737159299988,241.3737159299988,None,[],,,['z'],243.37658949999968,None,z,2.4876996999992116,1,1,0.4,248.18578989999878,None,None,248.18578989999878,None,,[0.4876996999992116],,,,,,,,,,,,,,,,,,,,CBC_1063,3,3,2,0,16,0.95,2024-02-17_12h19.50.763,MSI_TV_v1,2022.1.1,59.98077016507771,
10,0,10,0,,,,,,,,,,1.0,1,0.0,36.0,1.0,2.0935163976022517,2.32696722275902,None,249.98938859999907,None,252.2901808300001,252.2901808300001,b,['b'],0.8442457000001014,[0.8442457000001014],None,254.29579479999848,None,b,0.8442457000001014,0,0,0.36363636363636365,256.4013516999985,None,None,256.4013516999985,None,,,,,,,,,,,,,,,,,,,,,,CBC_1063,3,3,2,0,16,0.95,2024-02-17_12h19.50.763,MSI_TV_v1,2022.1.1,59.98077016507771,
11,0,11,0,,,,,,,,,,0.0,2,1.0,50.0,1.0,3.6791616380244196,2.18142366553255,None,258.2073423999991,None,260.3725299299993,260.3725299299993,z,['z'],1.6103660000007949,[1.6103660000007949],None,262.36956889999965,None,z,1.6103660000007949,0,0,0.3333333333333333,266.066487099999,None,None,266.066487099999,None,,,,,,,,,,,,,,,,,,,,,,CBC_1063,3,3,2,0,16,0.95,2024-02-17_12h19.50.763,MSI_TV_v1,2022.1.1,59.98077016507771,
12,0,12,0,,,,,,,,,,0.0,2,1.0,50.0,1.0,3.35750049552731,1.49618260131236,None,267.8730048999987,None,269.35698142999973,269.35698142999973,z,['z'],0.6587389000014809,[0.6587389000014809],"['z', 'z']",271.3609340999992,None,z,0.6587389000014809,0,0,0.3076923076923077,274.73440839999967,None,None,274.73440839999967,None,,"[0.05600110000159475, 0.8624433000004501]",,,,,,,,,,,,,,,,,,,,CBC_1063,3,3,2,0,16,0.95,2024-02-17_12h19.50.763,MSI_TV_v1,2022.1.1,59.98077016507771,
13,0,13,0,,,,,,,,,,1.0,1,0.0,36.0,1.0,3.0795770157756097,2.19546497995913,None,276.5402637999996,None,278.7071149299998,278.7071149299998,b,['b'],0.7445057000004454,[0.7445057000004454],None,280.7043916999992,None,b,0.7445057000004454,0,0,0.2857142857142857,283.8012276999998,None,None,283.8012276999998,None,,,,,,,,,,,,,,,,,,,,,,CBC_1063,3,3,2,0,16,0.95,2024-02-17_12h19.50.763,MSI_TV_v1,2022.1.1,59.98077016507771,
14,0,14,0,,,,,,,,,,0.0,2,1.0,50.0,1.0,4.18755802100366,1.49331160364633,None,285.607250699999,None,287.07363032999893,287.07363032999893,z,['z'],0.4524858000004315,[0.4524858000004315],None,289.0792088999988,None,z,0.4524858000004315,0,0,0.26666666666666666,293.2833264000001,None,None,293.2833264000001,None,,,,,,,,,,,,,,,,,,,,,,CBC_1063,3,3,2,0,16,0.95,2024-02-17_12h19.50.763,MSI_TV_v1,2022.1.1,59.98077016507771,
15,0,15,0,,,,,,,,,,2.0,0,0.0,14.0,1.0,2.070770331037005,1.85507739556255,None,295.0903230999993,None,296.9239178300002,296.9239178300002,b,['b'],1.0964442000004055,[1.0964442000004055],['b'],298.9203338999996,None,b,1.0964442000004055,0,0,0.25,301.0022565999989,None,None,301.0022565999989,None,,[1.4253392000009626],,,,,,,,,,,,,,,,,,,,CBC_1063,3,3,2,0,16,0.95,2024-02-17_12h19.50.763,MSI_TV_v1,2022.1.1,59.98077016507771,
16,0,16,0,,,,,,,,,,1.0,1,0.0,36.0,1.0,2.396355568442425,2.31238477131615,None,302.8074586999992,None,305.09039332999856,305.09039332999856,z,['z'],0.7852495000006456,[0.7852495000006456],None,307.09512149999864,None,z,0.7852495000006456,1,1,0.29411764705882354,309.5022317999992,None,None,309.5022317999992,None,,,,,,,,,,,,,,,,,,,,,,CBC_1063,3,3,2,0,16,0.95,2024-02-17_12h19.50.763,MSI_TV_v1,2022.1.1,59.98077016507771,
17,0,17,0,,,,,,,,,,0.0,2,1.0,50.0,0.0,4.3560033776911595,1.09364692357212,None,311.30706370000007,None,312.3737436299987,312.3737436299987,z,['z'],0.6921814000015729,[0.6921814000015729],['z'],314.37304779999977,None,z,0.6921814000015729,0,1,0.2777777777777778,318.7518498999998,None,None,318.7518498999998,None,,[0.6574622000007366],,,,,,,,,,,,,,,,,,,,CBC_1063,3,3,2,0,16,0.95,2024-02-17_12h19.50.763,MSI_TV_v1,2022.1.1,59.98077016507771,
18,0,18,0,,,,,,,,,,2.0,1,1.0,50.0,1.0,4.08205346963855,2.68012679460483,None,320.5573637999987,None,323.2238169299988,323.2238169299988,b,['b'],0.758082900001682,[0.758082900001682],None,325.2277734999989,None,b,0.758082900001682,1,1,0.3157894736842105,329.32274619999953,None,None,329.32274619999953,None,,,,,,,,,,,,,,,,,,,,,,CBC_1063,3,3,2,0,16,0.95,2024-02-17_12h19.50.763,MSI_TV_v1,2022.1.1,59.98077016507771,
19,0,19,0,,,,,,,,,,1.0,0,1.0,50.0,1.0,3.8873543302872697,2.71666458349534,None,331.1237528999991,None,333.8243117299997,333.8243117299997,z,['z'],0.9037404000009701,[0.9037404000009701],None,335.8286761999989,None,z,0.9037404000009701,0,0,0.3,339.722925099999,None,None,339.722925099999,None,,,,,,,,,,,,,,,,,,,,,,CBC_1063,3,3,2,0,16,0.95,2024-02-17_12h19.50.763,MSI_TV_v1,2022.1.1,59.98077016507771,
20,0,20,0,,,,,,,,,,2.0,2,0.0,36.0,1.0,3.19303509672656,2.41859016397919,None,341.5237941999985,None,343.9241058300002,343.9241058300002,b,['b'],0.7298589000001812,[0.7298589000001812],None,345.92813079999905,None,b,0.7298589000001812,0,0,0.2857142857142857,349.1338304000001,None,None,349.1338304000001,None,,,,,,,,,,,,,,,,,,,,,,CBC_1063,3,3,2,0,16,0.95,2024-02-17_12h19.50.763,MSI_TV_v1,2022.1.1,59.98077016507771,
21,0,21,0,,,,,,,,,,1.0,1,0.0,36.0,1.0,3.3535975560099702,0.823898895776125,None,350.9406894999993,None,351.7406421299991,351.7406421299991,b,['b'],0.7653673999993771,[0.7653673999993771],None,353.7461463999989,None,b,0.7653673999993771,0,0,0.2727272727272727,357.1171218999989,None,None,357.1171218999989,None,,,,,,,,,,,,,,,,,,,,,,CBC_1063,3,3,2,0,16,0.95,2024-02-17_12h19.50.763,MSI_TV_v1,2022.1.1,59.98077016507771,
