trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.auditory_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,image_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.rt,response_4.started,response_4.stopped,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,audioPair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
33,0,33,0,,,,,,,,,,0.0,0,0.0,36.0,1.0,2.8965037234387068,1.90695111352951,None,391.5747138000006,None,393.53158820000044,None,393.5414607200004,None,['b'],[0.8890976999991835],393.53158820000044,None,None,395.4746539000007,None,b,0.8890976999991835,0,0,0.4117647058823529,398.38059240000075,None,None,398.38059240000075,None,,,,,,,,,,,,,,,,,,,,,,CBC_1063,2,2,3,3,16,0.95,2024-02-17_10h54.14.818,MSI_AV_v1,2022.1.1,59.8817455291758,
34,0,34,0,,,,,,,,,,2.0,1,1.0,50.0,0.0,3.08399219778019,2.18142366553255,None,400.19087500000023,None,402.41139210000074,None,402.4079912500006,None,None,,402.41139210000074,None,['z'],404.35797400000047,None,z,2.6146499999995285,0,1,0.4,407.4484407,None,None,407.4484407,None,[0.6146499999995285],,,,,,,,,,,,,,,,,,,,,CBC_1063,2,2,3,3,16,0.95,2024-02-17_10h54.14.818,MSI_AV_v1,2022.1.1,59.8817455291758,
35,0,35,0,,,,,,,,,,0.0,0,0.0,36.0,1.0,3.75606544973216,2.55132244875705,None,409.25814620000074,None,411.86287750000065,None,411.87469442000054,None,['b'],[0.7343921999990926],411.86287750000065,None,None,413.8081538000006,None,b,0.7343921999990926,0,0,0.3888888888888889,417.5812412000005,None,None,417.5812412000005,None,,,,,,,,,,,,,,,,,,,,,,CBC_1063,2,2,3,3,16,0.95,2024-02-17_10h54.14.818,MSI_AV_v1,2022.1.1,59.8817455291758,
36,0,36,0,,,,,,,,,,2.0,1,1.0,50.0,1.0,4.638307379983409,2.31238477131615,None,419.3915205000003,None,421.7630927,None,421.77477642000065,None,['b'],[0.657303599999068],421.7630927,None,None,423.7081576999999,None,b,0.657303599999068,1,1,0.40540540540540543,428.35788670000056,None,None,428.35788670000056,None,,,,,,,,,,,,,,,,,,,,,,CBC_1063,2,2,3,3,16,0.95,2024-02-17_10h54.14.818,MSI_AV_v1,2022.1.1,59.8817455291758,
37,0,37,0,,,,,,,,,,1.0,0,1.0,50.0,1.0,2.143942873030107,1.49331160364633,None,430.15791380000064,None,431.69551260000026,None,431.70807442000057,None,['b'],[0.6321377999993274],431.69551260000026,None,None,433.64107630000035,None,b,0.6321377999993274,1,1,0.42105263157894735,435.7995828000003,None,None,435.7995828000003,None,,,,,,,,,,,,,,,,,,,,,,CBC_1063,2,2,3,3,16,0.95,2024-02-17_10h54.14.818,MSI_AV_v1,2022.1.1,59.8817455291758,
38,0,38,0,,,,,,,,,,1.0,0,1.0,50.0,1.0,2.096051788593735,0.859460502749755,['z'],437.60822840000037,None,438.5103749,None,438.50809965000053,None,['z'],[1.3742550999995728],438.5103749,None,None,440.4582513000005,None,z,1.3742550999995728,0,0,0.41025641025641024,442.56497320000017,None,None,442.56497320000017,None,,[0.4711375999995653],,,,,,,,,,,,,,,,,,,,CBC_1063,2,2,3,3,16,0.95,2024-02-17_10h54.14.818,MSI_AV_v1,2022.1.1,59.8817455291758,
39,0,39,0,,,,,,,,,,2.0,2,0.0,36.0,1.0,2.0935163976022517,0.886051557539332,None,444.3749277000006,None,445.31312160000016,None,445.3247977200002,None,['b'],[0.6026771999995617],445.31312160000016,None,None,447.25811740000063,None,b,0.6026771999995617,0,0,0.4,449.364407,None,None,449.364407,None,,,,,,,,,,,,,,,,,,,,,,CBC_1063,2,2,3,3,16,0.95,2024-02-17_10h54.14.818,MSI_AV_v1,2022.1.1,59.8817455291758,
40,0,40,0,,,,,,,,,,0.0,1,0.0,14.0,1.0,2.038421555814887,1.52074017648695,None,451.17500310000014,None,452.74560100000053,None,452.75821552000014,None,['b'],[1.6415315999993254],452.74560100000053,None,None,454.69165690000045,None,b,1.6415315999993254,0,0,0.3902439024390244,456.7409744000006,None,None,456.7409744000006,None,,,,,,,,,,,,,,,,,,,,,,CBC_1063,2,2,3,3,16,0.95,2024-02-17_10h54.14.818,MSI_AV_v1,2022.1.1,59.8817455291758,
41,0,41,0,,,,,,,,,,2.0,2,0.0,36.0,1.0,2.0691390047117237,3.44771472893932,None,458.5422466,None,462.0231173000002,None,462.02450088000074,None,['z'],[0.5976250999992772],462.0231173000002,None,None,463.97503959999995,None,z,0.5976250999992772,1,1,0.40476190476190477,466.0658592,None,None,466.0658592,None,,,,,,,,,,,,,,,,,,,,,,CBC_1063,2,2,3,3,16,0.95,2024-02-17_10h54.14.818,MSI_AV_v1,2022.1.1,59.8817455291758,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,467.87509880000016,None,,,,,,,,,,,,,,,,,CBC_1063,2,2,3,3,16,0.95,2024-02-17_10h54.14.818,MSI_AV_v1,2022.1.1,59.8817455291758,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,472.8750822000002,None,None,472.8750822000002,None,,,,,,,,,,,,CBC_1063,2,2,3,3,16,0.95,2024-02-17_10h54.14.818,MSI_AV_v1,2022.1.1,59.8817455291758,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,easy,"[0, 1, 2, 3]","[2, 0, 1]",b,z,0.2857142857142857,0.42857142857142855,0.5,17,0,25,,,,,,,,,,,,
