trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.auditory_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,image_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.rt,response_4.started,response_4.stopped,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,audioPair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
8,0,8,0,,,,,,,,,,2,1,0,36,1,2.533372966674614,2.46643561303325,None,458.93675070000063,None,461.4539722999998,None,461.4539700000014,None,['b'],[1.1419528000005812],461.4539722999998,None,None,463.40400260000024,None,b,1.1419528000005812,1,1,1.0,465.9483858000003,None,None,465.9483858000003,None,,,,,,,,,,,,,,,,,,,,,CBC_1074,1,4,3,6,3,0.95,2024-03-13_16h24.28.080,MSI_AV_v1,2022.1.1,60.00124802607584,
9,0,9,0,,,,,,,,,,0,2,0,36,1,4.3560033776911595,2.2926827756088,None,467.7539401000013,None,470.08840170000076,None,470.0872691000013,None,None,,470.08840170000076,None,['b'],472.03648990000147,None,b,2.2743785999991815,1,1,1.0,476.4127258999997,None,None,476.4127258999997,None,[0.27437859999918146],,,,,,,,,,,,,,,,,,,,CBC_1074,1,4,3,6,3,0.95,2024-03-13_16h24.28.080,MSI_AV_v1,2022.1.1,60.00124802607584,
10,0,10,0,,,,,,,,,,2,1,0,36,1,3.19303509672656,2.46471651569721,None,478.220715200001,None,480.7349455000003,None,480.7381505000003,None,None,,480.7349455000003,None,['b'],482.6873379999997,None,b,2.344053700000586,1,1,1.0,485.8948949000005,None,None,485.8948949000005,None,[0.3440537000005861],,,,,,,,,,,,,,,,,,,,CBC_1074,1,4,3,6,3,0.95,2024-03-13_16h24.28.080,MSI_AV_v1,2022.1.1,60.00124802607584,
11,0,11,0,,,,,,,,,,1,2,1,50,1,3.0795770157756097,0.760509851028298,None,487.7038923,None,488.50388290000046,None,488.5039131000003,None,None,,488.50388290000046,None,['z'],490.45467629999985,None,z,2.1098689999998896,1,1,1.0,493.54546310000114,None,None,493.54546310000114,None,[0.10986899999988964],,,,,,,,,,,,,,,,,,,,CBC_1074,1,4,3,6,3,0.95,2024-03-13_16h24.28.080,MSI_AV_v1,2022.1.1,60.00124802607584,
12,0,12,0,,,,,,,,,,0,1,1,50,1,4.18755802100366,2.68012679460483,None,495.3539294000002,None,498.0884263000007,None,498.0873212000015,None,None,,498.0884263000007,None,['z'],500.0364887000014,None,z,2.1124120999993465,1,1,1.0,504.2457864000007,None,None,504.2457864000007,None,[0.11241209999934654],,,,,,,,,,,,,,,,,,,,CBC_1074,1,4,3,6,3,0.95,2024-03-13_16h24.28.080,MSI_AV_v1,2022.1.1,60.00124802607584,
13,0,13,0,,,,,,,,,,2,0,1,50,1,2.396355568442425,1.49331160364633,None,506.0545321999998,None,507.5633515999998,None,507.56967988000036,None,['z'],[0.929149999999936],507.5633515999998,None,None,509.5206674000001,None,z,0.929149999999936,1,1,1.0,511.92895339999995,None,None,511.92895339999995,None,,,,,,,,,,,,,,,,,,,,,CBC_1074,1,4,3,6,3,0.95,2024-03-13_16h24.28.080,MSI_AV_v1,2022.1.1,60.00124802607584,
14,0,14,0,,,,,,,,,,0,2,0,36,1,2.070770331037005,2.99272735241982,None,513.7376362000014,None,516.7678032000003,None,516.7710284000013,None,['b'],[1.7427787999986322],516.7678032000003,None,None,518.7207890000009,None,b,1.7427787999986322,1,1,1.0,520.8125158000003,None,None,520.8125158000003,None,,,,,,,,,,,,,,,,,,,,,CBC_1074,1,4,3,6,3,0.95,2024-03-13_16h24.28.080,MSI_AV_v1,2022.1.1,60.00124802607584,
15,0,15,0,,,,,,,,,,2,0,1,50,1,2.096051788593735,1.1680331695907,None,522.6207293000007,None,523.8382125000007,None,523.8373793000001,None,['z'],[1.3319377999996505],523.8382125000007,None,None,525.7866728000008,None,z,1.3319377999996505,1,1,1.0,527.8960704000001,None,None,527.8960704000001,None,,,,,,,,,,,,,,,,,,,,,CBC_1074,1,4,3,6,3,0.95,2024-03-13_16h24.28.080,MSI_AV_v1,2022.1.1,60.00124802607584,
16,0,16,0,,,,,,,,,,0,1,1,50,1,2.8965037234387068,0.767372347918183,None,529.7043439999998,None,530.5191983000004,None,530.520727600001,None,['z'],[1.7753063999989536],530.5191983000004,None,None,532.4714762000003,None,z,1.7753063999989536,1,1,1.0,535.3774502000015,None,None,535.3774502000015,None,,,,,,,,,,,,,,,,,,,,,CBC_1074,1,4,3,6,3,0.95,2024-03-13_16h24.28.080,MSI_AV_v1,2022.1.1,60.00124802607584,
17,0,17,0,,,,,,,,,,1,0,0,36,1,2.664345149861413,2.18142366553255,None,537.1875868000006,None,539.4207961000011,None,539.4208288,None,['b'],[1.219329799998377],539.4207961000011,None,None,541.3708533999998,None,b,1.219329799998377,1,1,1.0,544.0370276000012,None,None,544.0370276000012,None,,,,,,,,,,,,,,,,,,,,,CBC_1074,1,4,3,6,3,0.95,2024-03-13_16h24.28.080,MSI_AV_v1,2022.1.1,60.00124802607584,
18,0,18,0,,,,,,,,,,0,1,1,50,1,4.08205346963855,2.24098228083631,None,545.8375734000001,None,548.1180720000011,None,548.1207688000004,None,None,,548.1180720000011,None,None,550.0714363000006,None,[],[],0,3,0.9473684210526315,554.1907455,None,None,554.1907455,None,,,,,,,,,,,,,,,,,,,,,CBC_1074,1,4,3,6,3,0.95,2024-03-13_16h24.28.080,MSI_AV_v1,2022.1.1,60.00124802607584,
19,0,19,0,,,,,,,,,,1,2,1,50,1,3.9110799880328697,2.711340609857,None,555.9709284,None,558.7152077999999,None,558.7208037000009,None,['z'],[1.5137888000008388],558.7152077999999,None,None,560.6713580000014,None,z,1.5137888000008388,1,1,0.95,564.5950917000009,None,None,564.5950917000009,None,,,,,,,,,,,,,,,,,,,,,CBC_1074,1,4,3,6,3,0.95,2024-03-13_16h24.28.080,MSI_AV_v1,2022.1.1,60.00124802607584,
20,0,20,0,,,,,,,,,,0,0,0,14,1,3.00565230777806,1.85507739556255,None,566.4031981000007,None,568.3039598000014,None,568.3040912000006,None,['b'],[1.0668251999995846],568.3039598000014,None,['b'],570.2542653,None,b,1.0668251999995846,1,1,0.9523809523809523,573.278980000001,None,None,573.278980000001,None,[0.038243400000283145],,,,,,,,,,,,,,,,,,,,CBC_1074,1,4,3,6,3,0.95,2024-03-13_16h24.28.080,MSI_AV_v1,2022.1.1,60.00124802607584,
21,0,21,0,,,,,,,,,,1,2,1,50,1,4.638307379983409,1.93473628110684,None,575.0875989000015,None,577.0464260999997,None,577.0532504800016,None,['z'],[1.4937207000002672],577.0464260999997,None,['z'],579.0043299000008,None,z,1.4937207000002672,1,1,0.9545454545454546,583.6630763000012,None,None,583.6630763000012,None,[0.39148300000124436],,,,,,,,,,,,,,,,,,,,CBC_1074,1,4,3,6,3,0.95,2024-03-13_16h24.28.080,MSI_AV_v1,2022.1.1,60.00124802607584,
22,0,22,0,,,,,,,,,,2,0,1,50,0,2.143942873030107,2.31238477131615,None,585.4716375000007,None,587.8360412000002,None,587.8376014000014,None,['z'],[0.9906573000007484],587.8360412000002,None,['z'],589.7870514000006,None,z,0.9906573000007484,1,0,0.9565217391304348,591.942055200001,None,None,591.942055200001,None,[0.32911300000159827],,,,,,,,,,,,,,,,,,,,CBC_1074,1,4,3,6,3,0.95,2024-03-13_16h24.28.080,MSI_AV_v1,2022.1.1,60.00124802607584,
23,0,23,0,,,,,,,,,,1,1,0,14,1,4.057112590273469,1.92795341140246,None,593.7542708000001,None,595.7170874000003,None,595.7208644000011,None,['b'],[1.7174160000013217],595.7170874000003,None,None,597.6714778000005,None,b,1.7174160000013217,1,1,0.9583333333333334,601.7430461000004,None,None,601.7430461000004,None,,,,,,,,,,,,,,,,,,,,,CBC_1074,1,4,3,6,3,0.95,2024-03-13_16h24.28.080,MSI_AV_v1,2022.1.1,60.00124802607584,
