trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.auditory_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,image_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.rt,response_4.started,response_4.stopped,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_6.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,audioPair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
18,0,18,0,,,,,,,,,,0,2,1,50,1,3.3535975560099702,0.823898895776125,None,610.3173002000003,None,611.1911184,None,611.2007681800002,None,['r'],[1.443858900000123],611.1911184,None,['r'],613.1338683000013,None,r,1.443858900000123,1,1,0.6842105263157895,616.5067577000009,None,None,616.5067577000009,None,[0.0849874000014097],,,,,,,,,,,,,,,,,,,,,,CBC_1101,004,3,3,6,4,0.95,2024-05-26_12h37.06.924,MSI_AV_v1,2022.1.1,59.9623196784719,
19,0,19,0,,,,,,,,,,1,0,1,50,1,2.269747919971076,2.19546497995913,None,618.3177702000012,None,620.5552360000001,None,620.5673981800006,None,None,,620.5552360000001,None,['r'],622.5004292000012,None,r,2.2775096999994275,1,1,0.7,624.7905040000005,None,None,624.7905040000005,None,[0.27750969999942754],,,,,,,,,,,,,,,,,,,,,,CBC_1101,004,3,3,6,4,0.95,2024-05-26_12h37.06.924,MSI_AV_v1,2022.1.1,59.9623196784719,
20,0,20,0,,,,,,,,,,0,1,0,14,1,3.35750049552731,1.92795341140246,None,626.6007979000005,None,628.5718213,None,628.5679777500009,None,None,,628.5718213,None,['b'],630.5175646999996,None,b,3.635128600000826,1,1,0.7142857142857143,633.8923938000007,None,None,633.8923938000007,None,[1.6351286000008258],,,,,,,,,,,,,,,,,,,,,,CBC_1101,004,3,3,6,4,0.95,2024-05-26_12h37.06.924,MSI_AV_v1,2022.1.1,59.9623196784719,
21,0,21,0,,,,,,,,,,1,0,1,50,1,2.396355568442425,2.31238477131615,None,635.7011576000004,None,638.0523556000007,None,638.0496877200006,None,['r'],[1.2121165999997174],638.0523556000007,None,None,640.0007968000009,None,r,1.2121165999997174,1,1,0.7272727272727273,642.4112875999999,None,None,642.4112875999999,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1101,004,3,3,6,4,0.95,2024-05-26_12h37.06.924,MSI_AV_v1,2022.1.1,59.9623196784719,
22,0,22,0,,,,,,,,,,2,1,1,50,0,3.75606544973216,0.864984636888209,None,644.217476400001,None,645.1398069000006,None,645.1506620800006,None,None,,645.1398069000006,None,['r'],647.0841926000012,None,r,2.479271100000915,1,0,0.7391304347826086,650.8500225999996,None,None,650.8500225999996,None,[0.4792711000009149],,,,,,,,,,,,,,,,,,,,,,CBC_1101,004,3,3,6,4,0.95,2024-05-26_12h37.06.924,MSI_AV_v1,2022.1.1,59.9623196784719,
23,0,23,0,,,,,,,,,,1,2,0,14,1,2.533372966674614,1.93473628110684,None,652.651023800001,None,654.6385265999998,None,654.6507755800009,None,None,,654.6385265999998,None,['b'],656.5841271999998,None,b,2.6100588999997854,1,1,0.75,659.1243059999997,None,None,659.1243059999997,None,[0.6100588999997854],,,,,,,,,,,,,,,,,,,,,,CBC_1101,004,3,3,6,4,0.95,2024-05-26_12h37.06.924,MSI_AV_v1,2022.1.1,59.9623196784719,
24,0,24,0,,,,,,,,,,2,1,1,50,1,2.0691390047117237,2.18142366553255,None,660.9333132000011,None,663.1544902000005,None,663.1508820500003,None,None,,663.1544902000005,None,['r'],665.1007571999999,None,r,3.1172640999993746,1,1,0.76,667.1909690000011,None,None,667.1909690000011,None,[1.1172640999993746],,,,,,,,,,,,,,,,,,,,,,CBC_1101,004,3,3,6,4,0.95,2024-05-26_12h37.06.924,MSI_AV_v1,2022.1.1,59.9623196784719,
25,0,25,0,,,,,,,,,,0,0,0,36,1,3.9110799880328697,2.711340609857,None,669.0007697000001,None,671.7540501000003,None,671.7509207500007,None,None,,671.7540501000003,None,['b'],673.6999322000011,None,b,2.250089000001026,1,1,0.7692307692307693,677.6258104999997,None,None,677.6258104999997,None,[0.25008900000102585],,,,,,,,,,,,,,,,,,,,,,CBC_1101,004,3,3,6,4,0.95,2024-05-26_12h37.06.924,MSI_AV_v1,2022.1.1,59.9623196784719,
26,0,26,0,,,,,,,,,,2,2,0,36,1,4.79396941305267,2.96697800987238,None,679.4342408000011,None,682.4607336000008,None,682.4676389800003,None,"['r', 'b']","[0.776259399999617, 1.5564620999994077]",682.4607336000008,None,None,684.4008644000005,None,r,0.776259399999617,0,0,0.7407407407407407,689.1998980000008,None,None,689.1998980000008,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1101,004,3,3,6,4,0.95,2024-05-26_12h37.06.924,MSI_AV_v1,2022.1.1,59.9623196784719,
27,0,27,0,,,,,,,,,,1,1,0,36,1,2.0935163976022517,2.46643561303325,None,691.0008510999996,None,693.5265433000004,None,693.5342439800003,None,None,,693.5265433000004,None,['b'],695.4673039999998,None,b,2.7212094999995315,1,1,0.75,697.5756572000009,None,None,697.5756572000009,None,[0.7212094999995315],,,,,,,,,,,,,,,,,,,,,,CBC_1101,004,3,3,6,4,0.95,2024-05-26_12h37.06.924,MSI_AV_v1,2022.1.1,59.9623196784719,
28,0,28,0,,,,,,,,,,0,2,1,50,1,4.057112590273469,1.23760834810881,None,699.3833345000003,None,700.6710067000004,None,700.6674564500008,None,['r'],[1.3991929000003438],700.6710067000004,None,None,702.6177602999996,None,r,1.3991929000003438,1,1,0.7586206896551724,706.6923095000002,None,None,706.6923095000002,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1101,004,3,3,6,4,0.95,2024-05-26_12h37.06.924,MSI_AV_v1,2022.1.1,59.9623196784719,
